,acc1,acc2,acc3,acc4,duration
70763,-2;2;0,-1;0;1,0;0;1,1;0;1,70763
71029,,,,,71029
71031,0;0;0,0;1;0,0;0;2,1;0;3,71031
71292,,,,,71292
71301,-1;0;-3,-1;0;-3,0;0;-4,0;1;0,71301
71567,,,,,71567
71570,0;0;0,0;0;-1,0;0;-2,0;1;1,71570
71830,,,,,71830
71832,-1;0;0,-1;1;0,0;0;-1,-1;0;-1,71832
72105,,,,,72105
72109,1;0;0,-1;-2;2,0;0;0,0;0;-2,72109
72380,,,,,72380
72383,1;0;3,1;0;2,-1;0;0,0;0;0,72383
72656,,,,,72656
72659,0;0;-3,0;-1;-4,-1;1;0,1;0;0,72659
72929,,,,,72929
72932,0;0;-4,0;0;0,-1;0;-2,0;0;0,72932
73194,,,,,73194
73201,0;0;-2,0;0;0,0;0;-2,0;0;-2,73201
73469,,,,,73469
73472,0;-2;1,0;0;-2,0;0;0,0;0;-3,73472
73732,,,,,73732
73735,0;0;0,-1;-1;-2,0;0;-3,0;0;-2,73735
74001,,,,,74001
74004,0;0;-1,0;0;-1,0;1;-3,-2;0;0,74004
74270,,,,,74270
74272,0;-1;0,0;0;0,-1;0;0,0;1;-2,74272
74546,,,,,74546
74553,0;0;1,2;0;1,1;0;0,0;0;1,74553
74821,,,,,74821
74823,-1;0;0,0;0;0,-1;0;1,0;0;0,74823
75088,,,,,75088
75091,0;-1;0,2;-1;0,0;0;1,0;-1;0,75091
75383,,,,,75383
75386,0;1;1,0;0;1,1;0;0,0;-2;0,75386
75658,,,,,75658
75661,0;1;-2,1;0;0,0;0;2,-1;0;0,75661
75926,,,,,75926
75929,0;0;-2,0;0;0,0;1;2,0;-1;3,75929
76191,,,,,76191
76193,1;0;1,0;0;0,0;1;3,1;2;0,76193
76466,,,,,76466
76474,0;0;0,-1;0;-3,0;0;-4,0;0;-1,76474
76737,,,,,76737
76739,0;0;-1,-1;-1;0,3;0;0,0;0;0,76739
77009,,,,,77009
77012,2;0;2,3;-2;-1,1;0;0,0;-1;0,77012
77286,,,,,77286
77288,1;0;-1,0;0;0,0;0;1,0;0;2,77288
77558,,,,,77558
77561,0;0;0,0;0;0,0;0;2,0;0;0,77561
77830,,,,,77830
77832,0;0;-2,0;0;-2,0;0;0,0;1;0,77832
78099,,,,,78099
78101,0;0;-2,0;0;0,0;0;1,0;0;0,78101
78362,,,,,78362
78369,0;0;0,-1;1;-1,0;0;0,0;1;0,78369
78631,,,,,78631
78635,0;0;0,0;-2;-2,0;0;-2,0;0;-3,78635
78909,,,,,78909
78911,0;0;-1,0;-1;0,0;-1;-3,0;0;0,78911
79187,,,,,79187
79191,0;0;1,0;-1;0,-2;0;0,1;0;0,79191
79450,,,,,79450
79453,1;1;3,1;0;1,0;-1;0,0;0;1,79453
79727,,,,,79727
79734,0;0;-3,0;0;-2,-1;0;-2,0;1;0,79734
80001,,,,,80001
80004,0;0;-2,-1;-2;-1,-2;0;0,0;0;-1,80004
80270,,,,,80270
80272,0;0;-2,0;-1;0,0;0;-3,0;0;-1,80272
80550,,,,,80550
80553,0;0;2,0;0;1,1;0;1,1;0;2,80553
80827,,,,,80827
80829,-1;0;-4,0;0;-2,0;1;0,0;1;1,80829
81102,,,,,81102
81104,1;0;1,0;-1;0,-1;0;-1,-2;1;-1,81104
81371,,,,,81371
81374,0;0;2,0;0;3,1;0;2,1;-1;3,81374
81640,,,,,81640
81648,0;0;-1,2;0;3,0;0;2,0;0;2,81648
81909,,,,,81909
81912,0;-1;-3,0;0;-1,0;1;-1,0;0;0,81912
82186,,,,,82186
82188,0;0;0,1;0;0,0;0;0,0;0;-3,82188
82453,,,,,82453
82455,1;0;1,0;-1;0,-1;0;-3,0;0;-2,82455
82716,,,,,82716
82719,1;0;3,1;0;3,1;-1;2,0;0;0,82719
82993,,,,,82993
82995,0;0;-2,0;0;0,-1;0;0,0;0;-2,82995
83266,,,,,83266
83268,0;0;0,1;0;-2,-1;0;-1,-2;0;-1,83268
83529,,,,,83529
83537,1;0;2,0;0;2,0;-1;1,0;1;0,83537
83806,,,,,83806
83808,-1;0;2,0;0;0,1;0;1,1;0;0,83808
84073,,,,,84073
84075,0;0;-4,1;0;0,0;-1;2,2;0;0,84075
84342,,,,,84342
84345,-2;1;-3,-1;2;-1,1;0;1,1;-2;2,84345
84606,,,,,84606
84610,0;-2;-1,0;0;0,0;0;-1,0;-1;2,84610
84879,,,,,84879
84886,1;-1;0,0;0;0,1;0;-3,0;1;-3,84886
85149,,,,,85149
85152,1;-1;1,4;0;1,0;-1;-1,0;0;0,85152
85419,,,,,85419
85422,0;0;0,-1;0;1,0;1;2,1;0;0,85422
85693,,,,,85693
85696,0;0;-2,0;0;1,-1;0;0,0;0;3,85696
85966,,,,,85966
85969,0;1;0,1;0;0,0;0;0,0;0;0,85969
86236,,,,,86236
86239,0;-1;0,0;-2;0,0;0;1,0;1;0,86239
86506,,,,,86506
86509,1;-1;1,-1;0;0,0;-1;-1,0;0;0,86509
86769,,,,,86769
86778,0;0;2,-1;1;-1,1;0;-1,-2;-1;-2,86778
87045,,,,,87045
87047,0;0;2,0;0;2,0;0;-2,-1;0;-2,87047
87308,,,,,87308
87310,1;-1;0,0;1;0,0;1;-1,0;0;0,87310
87582,,,,,87582
87585,0;1;0,1;0;1,0;0;1,0;-1;2,87585
87845,,,,,87845
87848,-1;0;0,0;0;0,0;1;2,-2;0;0,87848
88109,,,,,88109
88117,0;0;0,0;0;0,-1;0;1,0;0;2,88117
88383,,,,,88383
88386,0;0;-2,0;1;0,1;0;0,0;0;2,88386
88646,,,,,88646
88649,0;0;0,0;0;1,0;0;1,1;0;1,88649
88918,,,,,88918
88920,0;0;-1,0;0;0,0;0;2,2;1;0,88920
89185,,,,,89185
89188,0;-1;-1,1;0;-1,1;0;0,1;0;1,89188
89459,,,,,89459
89462,1;0;-3,-1;0;-1,1;0;-1,-1;1;-2,89462
89730,,,,,89730
89732,0;0;-1,0;0;-2,0;0;-3,0;1;-4,89732
89997,,,,,89997
90004,0;-1;0,1;0;1,0;0;0,1;0;0,90004
90272,,,,,90272
90275,1;0;0,0;-1;1,0;1;1,0;-1;0,90275
90536,,,,,90536
90539,0;-1;-2,-1;-1;0,0;0;2,1;0;-2,90539
90811,,,,,90811
90814,0;1;-1,0;1;-2,0;0;-2,0;0;-1,90814
91086,,,,,91086
91088,2;0;1,1;0;2,0;0;2,0;0;-1,91088
91385,,,,,91385
91388,0;0;0,0;0;1,0;0;1,0;0;1,91388
91650,,,,,91650
91652,-1;1;0,0;0;-1,0;0;-2,0;-1;0,91652
91926,,,,,91926
91935,0;0;0,0;0;0,0;0;1,-1;0;0,91935
92199,,,,,92199
92201,0;0;0,0;1;0,0;-1;0,0;0;1,92201
92472,,,,,92472
92475,0;0;2,0;1;0,2;1;0,1;0;0,92475
92745,,,,,92745
92747,0;0;0,0;0;-1,0;0;2,-1;1;0,92747
93017,,,,,93017
93019,0;0;-3,0;0;-3,0;0;-1,0;0;0,93019
93288,,,,,93288
93296,1;-1;0,0;-1;0,0;0;-2,0;0;-2,93296
93564,,,,,93564
93566,1;0;0,2;0;1,1;0;2,0;0;0,93566
93839,,,,,93839
93842,0;0;0,0;1;1,0;0;2,0;0;2,93842
94115,,,,,94115
94117,0;-1;-2,2;3;-1,-1;1;-2,0;0;-1,94117
94389,,,,,94389
94392,0;0;0,1;0;3,0;0;1,0;0;0,94392
94669,,,,,94669
94672,0;0;-1,0;1;-3,1;-2;1,1;-2;0,94672
94940,,,,,94940
94943,0;0;-2,0;0;-1,0;0;-2,0;0;-2,94943
95209,,,,,95209
95216,1;0;1,0;2;0,0;0;-1,1;0;-2,95216
95485,,,,,95485
95488,0;0;0,1;0;1,0;0;0,0;0;-1,95488
95757,,,,,95757
95760,0;0;1,0;0;0,0;0;1,0;0;0,95760
96041,,,,,96041
96044,0;1;-1,0;0;0,0;-10;1,0;1;0,96044
96305,,,,,96305
96308,1;6;-3,4;-3;0,0;2;1,0;0;2,96308
96582,,,,,96582
96585,0;0;-2,-10;18;5,-2;-1;4,-2;0;-3,96585
96856,,,,,96856
96859,0;-1;1,2;1;4,1;-1;3,1;-2;0,96859
97129,,,,,97129
97137,0;1;-1,0;0;0,0;1;0,0;0;0,97137
97405,,,,,97405
97408,0;0;-3,0;0;-2,-1;0;-1,-1;0;0,97408
97679,,,,,97679
97682,1;0;0,1;-1;0,0;0;-2,1;0;2,97682
97960,,,,,97960
97964,0;0;-1,0;0;0,0;1;3,0;0;3,97964
98231,,,,,98231
98234,0;0;0,0;1;0,0;0;0,0;0;0,98234
98506,,,,,98506
98514,0;0;-1,0;0;-2,0;0;-2,0;1;-2,98514
98787,,,,,98787
98790,0;0;0,0;0;-1,0;0;0,0;0;-1,98790
99056,,,,,99056
99058,0;0;0,0;0;-2,0;0;0,0;1;-1,99058
99328,,,,,99328
99331,0;-1;0,1;0;0,0;-1;1,-1;0;0,99331
99595,,,,,99595
99598,0;1;0,0;0;0,0;0;1,1;0;0,99598
99886,,,,,99886
99889,1;0;0,0;0;0,0;0;-2,0;0;-4,99889
100152,,,,,100152
100155,0;1;-1,-1;-1;-1,0;1;-3,0;0;-1,100155
100421,,,,,100421
100428,0;0;-2,1;0;-1,1;1;-3,0;0;-3,100428
100689,,,,,100689
100692,0;1;0,-1;0;-1,0;0;-2,0;0;-1,100692
100965,,,,,100965
100974,0;0;2,0;0;0,0;0;1,0;0;0,100974
101236,,,,,101236
101238,0;0;0,0;0;1,0;1;1,0;0;0,101238
101509,,,,,101509
101512,0;0;0,0;0;-1,0;1;-1,-1;0;0,101512
101784,,,,,101784
101786,0;-1;0,0;0;0,0;0;-1,0;1;0,101786
102047,,,,,102047
102049,0;0;-2,0;-1;0,0;0;1,0;0;2,102049
102316,,,,,102316
102319,0;0;0,0;0;-3,0;0;0,-1;0;1,102319
102585,,,,,102585
102588,1;0;0,0;0;0,-1;0;-1,0;-1;0,102588
102848,,,,,102848
102855,0;1;0,-1;0;0,0;0;0,0;1;-2,102855
103124,,,,,103124
103128,0;0;2,0;0;0,0;-2;0,0;0;-1,103128
103392,,,,,103392
103400,0;0;-1,0;0;0,0;0;0,-1;0;0,103400
103661,,,,,103661
103663,0;0;0,0;1;0,0;0;-1,0;0;0,103663
103925,,,,,103925
103927,0;0;2,0;0;2,0;0;0,0;0;1,103927
104199,,,,,104199
104202,1;0;1,1;0;0,0;0;1,1;0;1,104202
104468,,,,,104468
104471,1;0;1,0;0;1,1;0;1,0;0;1,104471
104736,,,,,104736
104739,-1;-1;0,0;0;2,0;0;1,0;0;0,104739
104999,,,,,104999
105003,0;0;2,0;0;1,1;0;-1,0;1;0,105003
105277,,,,,105277
105284,0;0;-1,0;-2;-2,0;0;0,0;0;0,105284
105549,,,,,105549
105552,0;-1;0,1;0;-1,0;0;0,1;-1;0,105552
105826,,,,,105826
105834,1;0;0,0;0;-1,0;0;0,0;0;0,105834
106115,,,,,106115
106118,0;0;0,1;0;0,1;0;2,0;0;0,106118
106387,,,,,106387
106390,1;0;0,-1;0;-1,1;0;1,0;0;-2,106390
106663,,,,,106663
106667,0;-1;0,0;0;-2,0;0;0,0;0;0,106667
106927,,,,,106927
106930,-1;0;0,0;0;-1,0;0;0,0;0;-3,106930
107202,,,,,107202
107204,2;-3;-2,2;-2;0,-1;4;0,-1;3;4,107204
107470,,,,,107470
107473,0;1;1,-1;0;-2,-1;-2;-2,1;0;-4,107473
107742,,,,,107742
107745,0;0;1,-1;0;0,-1;0;-1,-2;0;-1,107745
108009,,,,,108009
108011,1;0;3,1;0;0,0;0;2,0;-1;0,108011
108286,,,,,108286
108295,0;0;-2,0;0;-1,0;1;-1,0;1;3,108295
108560,,,,,108560
108562,0;1;-1,0;0;-2,0;2;0,0;0;0,108562
108828,,,,,108828
108836,0;0;0,0;0;-1,-1;1;0,0;0;-2,108836
109105,,,,,109105
109108,0;0;-1,0;0;-1,-1;0;0,0;0;-1,109108
109377,,,,,109377
109379,1;0;0,0;2;-2,0;0;0,-1;0;2,109379
109667,,,,,109667
109669,-1;0;-1,-1;0;0,0;0;0,0;0;0,109669
109930,,,,,109930
109932,0;-88;-4,0;-6;-11,-1;10;-3,0;3;0,109932
110194,,,,,110194
110197,0;1;2,0;0;-1,-1;1;-3,0;-1;0,110197
110468,,,,,110468
110471,0;0;0,0;0;0,0;-1;0,0;0;0,110471
110749,,,,,110749
110752,0;0;2,1;0;1,1;0;-2,0;0;-2,110752
111017,,,,,111017
111021,0;0;0,0;0;0,-1;0;0,-1;0;0,111021
111282,,,,,111282
111289,0;0;0,0;0;1,0;0;1,0;0;-1,111289
111556,,,,,111556
111559,0;0;0,0;0;1,1;0;1,1;0;0,111559
111832,,,,,111832
111835,0;0;-1,0;0;-1,-1;0;-2,0;0;0,111835
112106,,,,,112106
112109,0;0;-1,-1;0;-1,0;0;0,-1;-1;-1,112109
112369,,,,,112369
112372,0;-1;0,0;0;-1,0;0;-1,0;0;0,112372
112645,,,,,112645
112648,0;0;1,0;1;-1,0;0;0,0;0;-2,112648
112908,,,,,112908
112910,0;0;0,0;-1;-1,0;0;-1,1;1;0,112910
113189,,,,,113189
113191,0;0;0,0;1;0,-1;0;0,0;0;3,113191
113459,,,,,113459
113461,-1;0;-1,0;-2;-1,-1;-1;1,0;0;0,113461
113726,,,,,113726
113734,-1;0;0,0;1;0,0;-1;0,-2;0;-2,113734
113995,,,,,113995
113998,1;-1;0,0;0;-1,0;0;1,0;0;0,113998
114259,,,,,114259
114268,0;1;-1,1;0;-2,0;0;-1,0;0;1,114268
114535,,,,,114535
114537,-1;0;0,0;0;0,0;-1;0,-1;1;0,114537
114809,,,,,114809
114812,0;0;0,0;0;3,0;0;0,0;0;-2,114812
115085,,,,,115085
115087,0;0;0,0;0;2,1;-1;0,0;0;0,115087
115347,,,,,115347
115350,1;0;0,0;-1;0,3;-1;0,0;1;0,115350
115629,,,,,115629
115632,0;0;0,0;0;-1,0;0;0,0;0;-1,115632
115904,,,,,115904
115907,0;0;-3,0;0;-2,0;-1;-2,0;1;0,115907
116180,,,,,116180
116184,1;0;1,0;0;0,2;0;1,-1;2;-1,116184
116449,,,,,116449
116451,0;0;0,0;-1;3,1;-1;0,0;0;1,116451
116725,,,,,116725
116733,0;1;0,0;0;0,0;0;0,-1;1;-1,116733
116999,,,,,116999
117001,0;0;0,1;-1;0,0;0;-2,0;0;1,117001
117268,,,,,117268
117271,0;0;0,1;0;0,0;0;0,-2;0;0,117271
117544,,,,,117544
117548,0;0;1,0;0;0,0;0;1,-2;0;2,117548
117814,,,,,117814
117817,0;0;0,-1;0;0,0;1;0,0;0;-1,117817
118097,,,,,118097
118100,0;1;0,-1;0;-1,-1;0;-1,0;0;-2,118100
118364,,,,,118364
118366,0;0;-1,1;0;1,1;0;-1,0;0;-1,118366
118640,,,,,118640
118642,0;0;1,0;-2;0,0;0;0,0;-1;-2,118642
118907,,,,,118907
118910,0;-1;0,0;0;0,0;0;-1,0;0;-1,118910
119184,,,,,119184
119193,0;0;0,0;0;0,1;1;3,0;0;2,119193
119464,,,,,119464
119468,-1;1;-4,-1;0;0,0;0;0,0;-1;2,119468
119735,,,,,119735
119743,0;-1;0,0;0;-1,0;-1;-1,-1;0;-1,119743
120008,,,,,120008
120011,-1;0;1,-1;0;0,0;0;-1,0;0;0,120011
120286,,,,,120286
120288,0;0;-1,0;0;-1,0;0;1,2;0;0,120288
120565,,,,,120565
120568,0;1;-1,0;0;0,0;-1;0,0;0;-3,120568
120838,,,,,120838
120840,-1;0;-1,-1;-1;-2,0;0;0,0;-1;-1,120840
121109,,,,,121109
121112,1;0;3,3;0;0,0;0;0,1;2;0,121112
121378,,,,,121378
121381,0;1;1,0;0;1,0;1;0,0;0;2,121381
121660,,,,,121660
121663,-1;0;-1,0;0;-1,0;0;0,0;-1;1,121663
121928,,,,,121928
121931,0;0;-1,0;0;-2,-1;1;0,1;0;0,121931
122191,,,,,122191
122199,-1;0;1,0;0;0,0;1;-1,0;0;-1,122199
122467,,,,,122467
122470,1;0;0,0;-1;0,0;0;-1,0;1;0,122470
122743,,,,,122743
122752,0;1;-1,1;0;1,0;0;0,0;0;1,122752
123026,,,,,123026
123029,0;0;0,0;0;0,0;0;0,2;-1;0,123029
123294,,,,,123294
123297,0;0;-2,-1;0;-1,0;0;-1,0;0;0,123297
123578,,,,,123578
123581,0;0;0,0;0;0,0;0;-1,1;0;0,123581
123843,,,,,123843
123846,0;0;0,-1;1;-2,0;1;0,0;0;0,123846
124120,,,,,124120
124123,-1;1;-2,0;1;-1,0;0;-1,0;0;0,124123
124388,,,,,124388
124391,0;0;0,0;0;-1,2;-1;0,0;2;2,124391
124656,,,,,124656
124663,1;0;0,0;0;1,0;2;0,0;-1;0,124663
124936,,,,,124936
124939,0;0;0,0;0;0,0;0;0,0;1;1,124939
125207,,,,,125207
125215,0;0;0,1;-1;0,-1;0;0,0;1;-1,125215
125484,,,,,125484
125487,0;0;-1,0;0;0,0;1;-1,0;1;0,125487
125757,,,,,125757
125760,0;0;0,0;0;0,0;0;0,2;0;0,125760
126035,,,,,126035
126038,0;0;0,0;0;-2,-1;0;-1,-1;1;-2,126038
126308,,,,,126308
126311,-1;-1;2,0;-1;0,1;0;1,0;0;1,126311
126589,,,,,126589
126592,0;0;-1,0;0;-1,-1;0;-2,0;0;-2,126592
126859,,,,,126859
126862,0;0;2,0;-1;0,1;0;2,0;0;1,126862
127139,,,,,127139
127142,-1;0;-1,0;0;-2,2;-1;-1,0;0;-2,127142
127409,,,,,127409
127412,0;0;1,1;0;-1,1;0;0,0;0;0,127412
127677,,,,,127677
127685,0;0;-3,-1;0;-1,0;0;-1,-1;1;1,127685
127947,,,,,127947
127949,0;0;0,0;0;0,-1;0;0,0;0;0,127949
128224,,,,,128224
128227,0;0;2,0;0;-1,0;0;0,0;0;-1,128227
128576,,,,,128576
128579,0;0;0,0;0;2,0;-1;0,0;0;0,128579
128847,,,,,128847
128850,1;1;1,0;0;1,0;0;0,0;1;1,128850
129124,,,,,129124
129127,0;0;-3,1;0;-3,0;-1;-1,-1;0;1,129127
129394,,,,,129394
129396,0;2;0,1;0;-1,0;0;0,0;0;-2,129396
129666,,,,,129666
129668,0;0;-1,0;-1;0,0;0;0,-1;0;-2,129668
129930,,,,,129930
129933,0;0;0,0;0;0,0;1;0,-1;0;0,129933
130206,,,,,130206
130214,0;0;-1,0;1;0,0;-1;-1,-1;0;-2,130214
130487,,,,,130487
130490,0;0;-2,0;0;0,0;0;-3,0;0;-3,130490
130757,,,,,130757
130792,0;-1;0,0;-1;1,0;-1;0,0;2;-2,130792
131057,,,,,131057
131059,0;0;1,0;0;2,0;0;1,1;0;0,131059
131324,,,,,131324
131328,0;-1;0,0;0;0,0;0;-1,0;-1;0,131328
131601,,,,,131601
131604,1;1;-1,0;0;-2,-1;1;0,0;0;0,131604
131870,,,,,131870
131872,1;0;-1,0;1;-3,1;1;-2,0;2;0,131872
132154,,,,,132154
132157,3;0;2,1;-2;2,1;0;1,0;0;-2,132157
132425,,,,,132425
132428,0;0;0,1;0;2,0;0;2,0;0;0,132428
132688,,,,,132688
132698,0;1;0,0;0;1,0;1;0,1;0;1,132698
132964,,,,,132964
132967,0;0;0,0;0;-2,0;0;0,0;1;0,132967
133227,,,,,133227
133234,0;1;0,0;-1;-2,0;0;0,-1;0;-1,133234
133495,,,,,133495
133498,-1;1;0,0;0;0,0;1;0,0;0;-1,133498
133765,,,,,133765
133768,0;-1;0,0;0;0,0;1;2,0;0;0,133768
134041,,,,,134041
134043,0;0;0,0;0;-1,1;0;-2,0;1;0,134043
134316,,,,,134316
134319,0;0;-3,1;0;-1,0;0;0,0;0;0,134319
134597,,,,,134597
134599,1;0;0,1;0;0,0;0;0,0;0;-1,134599
134865,,,,,134865
134868,1;1;0,0;1;-1,0;-1;-1,0;0;-3,134868
135136,,,,,135136
135138,1;0;1,1;0;0,0;0;-2,0;0;-3,135138
135404,,,,,135404
135406,0;0;0,0;0;1,0;1;0,0;0;-3,135406
135667,,,,,135667
135674,1;0;0,1;-1;0,1;0;-1,0;0;-1,135674
135942,,,,,135942
135945,0;0;1,0;-1;2,-1;0;-1,0;-1;-1,135945
136205,,,,,136205
136213,-1;0;0,1;-1;0,0;0;1,0;0;0,136213
136480,,,,,136480
136483,0;0;0,1;1;0,1;0;0,0;0;0,136483
136756,,,,,136756
136759,-1;2;0,0;1;-1,0;0;0,0;1;0,136759
137030,,,,,137030
137033,1;0;0,-1;0;-1,0;0;0,-1;0;0,137033
137299,,,,,137299
137303,0;0;0,0;-1;2,0;0;0,0;0;0,137303
137574,,,,,137574
137577,0;1;0,0;0;1,0;-1;0,1;0;0,137577
137843,,,,,137843
137846,0;1;2,1;0;2,1;1;0,0;0;0,137846
138106,,,,,138106
138114,-1;0;0,0;-1;1,0;1;0,0;0;-1,138114
138383,,,,,138383
