,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
40,0;-1;-1,0;0;-2,0;0;1,0;-1;1,48092,6,2021-10-27
41,,,,,48365,6,2021-10-27
42,0;-1;2,0;0;0,0;0;0,-2;0;-1,48373,6,2021-10-27
43,,,,,48636,6,2021-10-27
44,0;-1;2,1;0;0,1;0;2,0;-2;0,48640,6,2021-10-27
45,,,,,48910,6,2021-10-27
46,0;1;0,0;0;3,0;0;0,0;-1;1,48912,6,2021-10-27
47,,,,,49172,6,2021-10-27
48,0;0;2,1;0;-1,1;1;-1,0;0;0,49174,6,2021-10-27
49,,,,,49437,6,2021-10-27
50,0;-1;2,1;0;1,0;2;2,1;-2;0,49439,6,2021-10-27
51,,,,,49710,6,2021-10-27
52,1;0;2,0;0;-1,0;-1;-2,0;0;0,49712,6,2021-10-27
53,,,,,49986,6,2021-10-27
54,-1;1;0,0;0;-1,1;0;1,1;0;0,49988,6,2021-10-27
55,,,,,50248,6,2021-10-27
56,-1;0;-3,0;0;-1,0;0;1,1;0;3,50250,6,2021-10-27
57,,,,,50515,6,2021-10-27
58,-1;0;-4,0;0;-3,0;0;-1,-1;0;-1,50518,6,2021-10-27
59,,,,,50786,6,2021-10-27
60,0;0;0,0;0;0,0;0;2,-2;0;-1,50788,6,2021-10-27
61,,,,,51060,6,2021-10-27
62,1;0;2,0;0;0,1;-1;1,0;-2;0,51063,6,2021-10-27
63,,,,,51332,6,2021-10-27
64,-1;0;-2,0;0;0,1;0;2,0;0;0,51334,6,2021-10-27
65,,,,,51610,6,2021-10-27
66,-1;1;-1,0;0;-2,-1;0;-2,-1;0;-1,51612,6,2021-10-27
67,,,,,51876,6,2021-10-27
68,0;0;-1,0;0;1,1;0;-1,0;0;-1,51884,6,2021-10-27
69,,,,,52162,6,2021-10-27
70,2;0;0,0;0;1,0;0;0,0;0;1,52164,6,2021-10-27
71,,,,,52431,6,2021-10-27
72,0;1;0,0;0;-1,1;0;2,1;0;0,52433,6,2021-10-27
73,,,,,52708,6,2021-10-27
74,0;0;-1,0;1;-1,0;0;0,2;1;1,52710,6,2021-10-27
75,,,,,52977,6,2021-10-27
76,0;0;-1,0;0;0,1;0;0,1;0;0,52979,6,2021-10-27
77,,,,,53238,6,2021-10-27
78,0;0;0,0;0;1,0;0;2,0;-1;0,53241,6,2021-10-27
79,,,,,53516,6,2021-10-27
80,-1;1;-2,0;0;0,0;0;1,1;0;1,53518,6,2021-10-27
81,,,,,53783,6,2021-10-27
82,0;0;-2,-1;0;0,0;0;-2,0;0;0,53785,6,2021-10-27
83,,,,,54051,6,2021-10-27
84,-1;1;0,0;0;0,0;0;0,0;1;1,54060,6,2021-10-27
85,,,,,54327,6,2021-10-27
86,0;-1;0,0;0;1,-1;0;0,-1;1;-1,54329,6,2021-10-27
87,,,,,54590,6,2021-10-27
88,0;-1;0,0;0;0,0;0;1,0;0;0,54592,6,2021-10-27
89,,,,,54865,6,2021-10-27
90,-1;0;0,1;0;2,0;0;0,-1;0;0,54867,6,2021-10-27
91,,,,,55128,6,2021-10-27
92,0;0;0,0;0;0,0;0;-1,0;0;1,55130,6,2021-10-27
93,,,,,55391,6,2021-10-27
94,-1;0;0,1;1;2,0;0;3,0;0;3,55399,6,2021-10-27
95,,,,,55665,6,2021-10-27
96,0;1;-1,1;0;1,0;0;1,0;0;-1,55668,6,2021-10-27
97,,,,,55928,6,2021-10-27
98,1;0;3,1;0;1,0;0;0,0;0;0,55930,6,2021-10-27
99,,,,,56196,6,2021-10-27
100,0;0;2,0;0;0,0;0;1,0;0;0,56199,6,2021-10-27
101,,,,,56467,6,2021-10-27
102,0;0;1,1;0;1,-1;-1;0,0;0;1,56469,6,2021-10-27
103,,,,,56729,6,2021-10-27
104,0;-1;0,0;0;1,0;-1;0,0;0;0,56732,6,2021-10-27
105,,,,,57006,6,2021-10-27
106,0;0;0,0;-1;0,0;0;2,0;0;2,57008,6,2021-10-27
107,,,,,57268,6,2021-10-27
108,1;-1;2,1;0;2,1;0;1,2;0;1,57270,6,2021-10-27
109,,,,,57542,6,2021-10-27
110,0;1;0,0;0;-3,0;0;0,0;1;0,57549,6,2021-10-27
111,,,,,57812,6,2021-10-27
112,0;0;-1,0;0;0,-1;0;-2,0;1;0,57815,6,2021-10-27
113,,,,,58084,6,2021-10-27
114,1;0;-1,1;0;0,0;0;-1,0;0;0,58086,6,2021-10-27
115,,,,,58364,6,2021-10-27
116,0;0;1,0;0;1,2;-1;1,0;0;-1,58366,6,2021-10-27
117,,,,,58634,6,2021-10-27
118,2;2;0,1;-1;0,0;0;0,0;1;-1,58636,6,2021-10-27
119,,,,,58897,6,2021-10-27
120,-1;0;0,0;0;0,0;-1;0,0;0;0,58904,6,2021-10-27
121,,,,,59171,6,2021-10-27
122,0;0;0,0;1;2,0;0;0,0;1;-1,59173,6,2021-10-27
123,,,,,59446,6,2021-10-27
124,0;0;-1,0;0;-4,0;0;0,0;0;-2,59449,6,2021-10-27
125,,,,,59718,6,2021-10-27
126,0;0;1,0;0;0,0;0;0,-1;0;0,59721,6,2021-10-27
127,,,,,59992,6,2021-10-27
128,1;0;2,1;0;1,0;-3;1,0;0;0,59994,6,2021-10-27
129,,,,,60272,6,2021-10-27
130,0;0;0,-1;0;0,0;1;0,0;0;2,60274,6,2021-10-27
131,,,,,60538,6,2021-10-27
132,0;1;0,0;0;-1,0;0;-1,0;0;1,60540,6,2021-10-27
133,,,,,60810,6,2021-10-27
134,0;0;0,0;0;0,0;0;-1,0;0;0,60819,6,2021-10-27
135,,,,,61086,6,2021-10-27
136,1;-1;-1,0;0;0,0;0;1,-1;0;0,61089,6,2021-10-27
137,,,,,61355,6,2021-10-27
138,1;0;1,0;0;0,0;-1;0,0;0;0,61357,6,2021-10-27
139,,,,,61624,6,2021-10-27
140,0;0;1,0;0;1,1;0;1,1;-1;0,61627,6,2021-10-27
141,,,,,61893,6,2021-10-27
142,0;0;2,0;0;1,1;0;0,0;0;0,61896,6,2021-10-27
143,,,,,62161,6,2021-10-27
144,-1;1;-3,-1;0;-1,-1;0;-1,0;0;0,62170,6,2021-10-27
145,,,,,62438,6,2021-10-27
146,0;0;-1,0;0;-2,0;0;-3,0;-1;0,62441,6,2021-10-27
147,,,,,62707,6,2021-10-27
148,0;-1;1,-1;0;0,0;0;-1,0;0;-1,62714,6,2021-10-27
149,,,,,62978,6,2021-10-27
150,0;0;1,-1;0;0,0;0;1,0;1;2,62980,6,2021-10-27
151,,,,,63250,6,2021-10-27
152,0;0;1,-1;0;0,0;-1;0,0;0;0,63253,6,2021-10-27
153,,,,,63520,6,2021-10-27
154,0;1;0,0;0;2,1;0;1,0;1;0,63522,6,2021-10-27
155,,,,,63790,6,2021-10-27
156,0;0;2,0;0;1,0;0;1,0;-1;0,63792,6,2021-10-27
157,,,,,64063,6,2021-10-27
158,0;0;-2,0;0;0,0;0;0,0;1;1,64070,6,2021-10-27
159,,,,,64339,6,2021-10-27
160,0;0;-1,0;0;0,0;-1;1,0;-1;1,64342,6,2021-10-27
161,,,,,64601,6,2021-10-27
162,0;0;-3,0;1;0,-1;0;-1,-1;0;1,64604,6,2021-10-27
163,,,,,64877,6,2021-10-27
164,0;1;0,-1;0;-1,0;0;0,0;0;1,64880,6,2021-10-27
165,,,,,65139,6,2021-10-27
166,0;1;-1,0;0;-1,-1;0;-2,0;0;-1,65141,6,2021-10-27
167,,,,,65422,6,2021-10-27
168,0;0;2,1;0;2,1;0;0,0;0;0,65424,6,2021-10-27
169,,,,,65690,6,2021-10-27
170,0;0;0,2;-2;0,0;1;-1,0;1;0,65692,6,2021-10-27
171,,,,,65953,6,2021-10-27
172,-1;1;0,0;0;3,1;-1;1,0;-1;0,65961,6,2021-10-27
173,,,,,66228,6,2021-10-27
174,0;0;-1,0;-1;1,1;0;1,0;1;0,66231,6,2021-10-27
175,,,,,66491,6,2021-10-27
176,0;0;1,0;0;1,1;2;-1,1;1;1,66494,6,2021-10-27
177,,,,,66767,6,2021-10-27
178,0;0;-3,0;1;0,0;0;-2,1;1;0,66769,6,2021-10-27
179,,,,,67037,6,2021-10-27
180,0;0;1,-1;1;0,0;0;-3,0;1;-1,67040,6,2021-10-27
181,,,,,67304,6,2021-10-27
182,0;-1;1,-1;1;1,0;0;-1,1;0;-3,67312,6,2021-10-27
183,,,,,67573,6,2021-10-27
184,0;0;0,0;0;0,-1;0;2,0;1;0,67575,6,2021-10-27
185,,,,,67843,6,2021-10-27
186,0;0;0,0;0;2,-1;2;0,-1;1;0,67846,6,2021-10-27
187,,,,,68111,6,2021-10-27
188,0;-1;1,0;0;0,0;0;0,0;-1;0,68114,6,2021-10-27
189,,,,,68388,6,2021-10-27
190,1;0;2,0;1;2,0;1;0,0;0;1,68390,6,2021-10-27
191,,,,,68662,6,2021-10-27
192,-1;-1;1,0;0;0,-1;0;0,1;0;3,68665,6,2021-10-27
193,,,,,68931,6,2021-10-27
194,-1;0;-1,-2;0;-4,0;0;-3,0;1;-1,68933,6,2021-10-27
195,,,,,69207,6,2021-10-27
196,3;-1;0,2;-1;2,2;0;-1,0;0;0,69214,6,2021-10-27
197,,,,,69481,6,2021-10-27
198,0;0;1,1;0;1,0;0;1,1;0;0,69484,6,2021-10-27
199,,,,,69752,6,2021-10-27
200,0;0;-2,0;0;1,0;1;0,1;0;1,69754,6,2021-10-27
201,,,,,70026,6,2021-10-27
202,1;0;0,0;1;-2,0;0;0,0;1;0,70029,6,2021-10-27
203,,,,,70298,6,2021-10-27
204,-1;0;-1,-1;2;0,0;1;-2,0;0;-1,70300,6,2021-10-27
205,,,,,70575,6,2021-10-27
206,0;-1;1,1;-1;0,0;-1;0,0;0;2,70577,6,2021-10-27
207,,,,,70846,6,2021-10-27
208,0;0;0,0;0;0,0;0;2,0;0;1,70848,6,2021-10-27
209,,,,,71117,6,2021-10-27
210,0;1;-1,0;0;-1,0;0;-2,0;0;-2,71127,6,2021-10-27
211,,,,,71397,6,2021-10-27
212,0;0;-3,0;0;0,0;2;0,-1;0;-3,71400,6,2021-10-27
213,,,,,71667,6,2021-10-27
214,0;0;0,0;0;-1,0;0;-1,0;0;-2,71669,6,2021-10-27
215,,,,,71933,6,2021-10-27
216,-1;1;-1,-1;1;0,0;0;-3,-1;1;1,71937,6,2021-10-27
217,,,,,72203,6,2021-10-27
218,1;0;0,0;1;0,-1;0;-1,0;0;-1,72206,6,2021-10-27
219,,,,,72472,6,2021-10-27
220,0;1;0,1;0;0,0;0;0,0;0;0,72480,6,2021-10-27
221,,,,,72747,6,2021-10-27
222,1;0;0,0;0;0,0;0;0,0;1;-2,72750,6,2021-10-27
223,,,,,73010,6,2021-10-27
224,2;0;4,1;0;2,1;0;2,0;-1;0,73013,6,2021-10-27
225,,,,,73286,6,2021-10-27
226,-1;0;-2,0;1;-1,0;1;1,0;-1;0,73288,6,2021-10-27
227,,,,,73560,6,2021-10-27
228,0;0;0,-1;0;-3,0;0;0,0;0;1,73563,6,2021-10-27
229,,,,,73830,6,2021-10-27
230,-2;0;0,0;0;0,0;-1;-3,-1;0;0,73832,6,2021-10-27
231,,,,,74099,6,2021-10-27
232,0;0;0,0;0;-1,-1;0;-1,2;0;0,74101,6,2021-10-27
233,,,,,74368,6,2021-10-27
234,0;-1;1,0;0;0,-1;0;0,0;1;-3,74375,6,2021-10-27
235,,,,,74637,6,2021-10-27
236,0;0;2,-1;0;-1,0;1;-3,-1;0;-2,74639,6,2021-10-27
237,,,,,74900,6,2021-10-27
238,0;0;0,0;0;0,0;0;0,0;1;0,74902,6,2021-10-27
239,,,,,75176,6,2021-10-27
240,1;1;2,0;1;0,0;0;2,0;-1;2,75180,6,2021-10-27
241,,,,,75450,6,2021-10-27
242,0;0;0,0;1;0,0;0;0,1;0;1,75452,6,2021-10-27
243,,,,,75717,6,2021-10-27
244,-1;-1;-1,0;0;1,0;0;-2,0;1;-1,75720,6,2021-10-27
245,,,,,75994,6,2021-10-27
246,0;1;0,0;0;-1,0;0;-3,0;0;-1,75997,6,2021-10-27
247,,,,,76264,6,2021-10-27
248,1;0;2,0;0;3,1;0;0,0;0;-1,76272,6,2021-10-27
249,,,,,76538,6,2021-10-27
250,0;0;1,1;-1;1,1;-1;-1,0;0;0,76541,6,2021-10-27
251,,,,,76810,6,2021-10-27
252,0;0;0,0;0;1,1;0;2,1;0;2,76812,6,2021-10-27
253,,,,,77082,6,2021-10-27
254,-1;0;-1,0;0;-1,0;0;-1,2;1;-1,77085,6,2021-10-27
255,,,,,77352,6,2021-10-27
256,0;0;-1,0;1;-3,1;0;1,-1;0;0,77356,6,2021-10-27
257,,,,,77628,6,2021-10-27
258,1;0;-1,0;0;0,0;1;0,0;0;0,77636,6,2021-10-27
259,,,,,77902,6,2021-10-27
260,0;0;0,-1;1;1,0;1;0,0;0;-2,77905,6,2021-10-27
261,,,,,78166,6,2021-10-27
262,0;0;0,0;0;-1,0;-1;-2,0;-1;0,78169,6,2021-10-27
263,,,,,78441,6,2021-10-27
264,1;0;0,0;0;2,1;0;2,0;0;1,78443,6,2021-10-27
265,,,,,78709,6,2021-10-27
266,0;0;0,0;0;1,0;1;2,0;0;2,78712,6,2021-10-27
267,,,,,78985,6,2021-10-27
268,0;0;-1,0;0;0,0;0;-1,0;0;0,78987,6,2021-10-27
269,,,,,79254,6,2021-10-27
270,0;0;0,0;-1;0,0;0;1,0;0;2,79256,6,2021-10-27
271,,,,,79516,6,2021-10-27
272,0;0;-2,0;0;1,0;1;-1,0;0;-3,79524,6,2021-10-27
273,,,,,79792,6,2021-10-27
274,0;0;-1,0;0;0,-1;0;0,0;0;-2,79795,6,2021-10-27
275,,,,,80067,6,2021-10-27
276,1;-1;2,1;1;0,2;-1;-1,0;1;0,80070,6,2021-10-27
277,,,,,80343,6,2021-10-27
278,0;0;1,1;-1;0,1;0;-1,0;1;1,80346,6,2021-10-27
279,,,,,80607,6,2021-10-27
280,2;0;2,0;0;2,0;0;0,0;0;0,80609,6,2021-10-27
281,,,,,80873,6,2021-10-27
282,0;0;0,0;1;-1,0;0;0,1;0;-1,80880,6,2021-10-27
283,,,,,81143,6,2021-10-27
284,0;0;-3,-1;0;-1,0;0;3,0;0;0,81146,6,2021-10-27
285,,,,,81413,6,2021-10-27
286,-1;0;-1,0;0;-3,-1;0;-1,0;-1;-2,81415,6,2021-10-27
287,,,,,81687,6,2021-10-27
288,0;0;0,0;0;-2,0;1;-1,0;0;-2,81690,6,2021-10-27
289,,,,,81958,6,2021-10-27
290,0;-1;1,0;0;0,0;1;0,0;1;0,81961,6,2021-10-27
291,,,,,82232,6,2021-10-27
292,1;0;1,0;0;0,0;0;-1,0;0;0,82234,6,2021-10-27
293,,,,,82507,6,2021-10-27
294,1;1;1,1;0;2,0;0;0,0;0;0,82510,6,2021-10-27
295,,,,,82778,6,2021-10-27
296,-1;0;-2,0;0;0,0;1;0,0;0;0,82786,6,2021-10-27
297,,,,,83067,6,2021-10-27
298,0;0;-1,0;0;0,0;1;0,0;0;-1,83070,6,2021-10-27
299,,,,,83333,6,2021-10-27
300,1;-1;2,0;0;0,0;0;0,-1;0;-2,83335,6,2021-10-27
301,,,,,83597,6,2021-10-27
302,1;0;-1,1;0;0,0;1;0,-1;1;0,83599,6,2021-10-27
303,,,,,83870,6,2021-10-27
304,0;1;0,1;0;2,1;0;1,0;0;1,83873,6,2021-10-27
305,,,,,84152,6,2021-10-27
306,0;0;0,0;0;-1,1;0;1,0;0;1,84155,6,2021-10-27
307,,,,,84419,6,2021-10-27
308,0;0;-1,0;2;-1,0;1;0,-2;0;0,84422,6,2021-10-27
309,,,,,84692,6,2021-10-27
310,0;0;0,-1;0;0,-1;1;0,0;0;-1,84700,6,2021-10-27
311,,,,,84969,6,2021-10-27
312,1;-1;0,0;0;-1,0;1;1,1;1;-2,84972,6,2021-10-27
313,,,,,85236,6,2021-10-27
314,0;0;0,0;0;1,0;0;1,0;0;-1,85239,6,2021-10-27
315,,,,,85528,6,2021-10-27
316,1;1;-2,-1;0;0,-1;1;0,0;0;-1,85531,6,2021-10-27
317,,,,,85792,6,2021-10-27
318,0;1;0,0;0;-1,0;0;-1,0;0;0,85795,6,2021-10-27
319,,,,,86062,6,2021-10-27
320,0;0;2,1;0;4,-1;-1;-1,0;0;0,86070,6,2021-10-27
321,,,,,86336,6,2021-10-27
322,1;0;0,0;0;0,0;0;0,-1;1;0,86339,6,2021-10-27
323,,,,,86607,6,2021-10-27
324,0;1;0,1;1;1,0;0;-3,0;0;-3,86609,6,2021-10-27
325,,,,,86886,6,2021-10-27
326,0;2;0,0;0;-2,0;0;-1,0;0;1,86889,6,2021-10-27
327,,,,,87149,6,2021-10-27
328,-1;0;0,-1;0;-4,0;1;1,0;0;1,87152,6,2021-10-27
329,,,,,87416,6,2021-10-27
330,0;0;-2,0;0;-1,0;0;0,1;-2;-1,87419,6,2021-10-27
331,,,,,87688,6,2021-10-27
332,0;0;0,0;0;-1,0;-1;-2,0;-1;0,87690,6,2021-10-27
333,,,,,87950,6,2021-10-27
334,-1;0;1,0;0;0,0;0;-2,-1;0;0,87959,6,2021-10-27
335,,,,,88225,6,2021-10-27
336,0;0;-1,-1;1;2,0;0;0,0;0;-1,88228,6,2021-10-27
337,,,,,88488,6,2021-10-27
338,-1;1;0,-1;0;0,0;0;-1,-1;0;0,88491,6,2021-10-27
339,,,,,88751,6,2021-10-27
340,-1;0;1,0;1;-1,0;0;0,0;1;0,88753,6,2021-10-27
341,,,,,89013,6,2021-10-27
342,0;0;-3,-1;0;-1,0;0;0,0;0;1,89016,6,2021-10-27
343,,,,,89283,6,2021-10-27
344,0;0;0,0;0;0,1;0;0,-1;0;0,89285,6,2021-10-27
345,,,,,89551,6,2021-10-27
346,0;1;1,0;1;-1,-1;0;-1,-1;1;0,89553,6,2021-10-27
347,,,,,89818,6,2021-10-27
348,0;0;0,-1;0;-1,0;0;1,0;1;-3,89825,6,2021-10-27
349,,,,,90089,6,2021-10-27
350,0;0;0,0;0;0,1;0;-2,0;2;1,90092,6,2021-10-27
351,,,,,90352,6,2021-10-27
352,0;0;0,0;0;0,0;0;0,0;0;-2,90355,6,2021-10-27
353,,,,,90622,6,2021-10-27
354,0;0;1,-1;0;0,-1;0;0,-1;-1;-1,90625,6,2021-10-27
355,,,,,90891,6,2021-10-27
356,0;0;0,0;-1;0,0;1;1,1;-1;0,90894,6,2021-10-27
357,,,,,91166,6,2021-10-27
358,0;0;-4,-1;1;-2,-2;0;1,0;0;2,91173,6,2021-10-27
359,,,,,91441,6,2021-10-27
360,-1;0;-2,-1;-1;0,0;0;0,-1;1;-1,91444,6,2021-10-27
361,,,,,91710,6,2021-10-27
362,-1;0;-1,-1;0;-1,-2;0;1,0;1;0,91713,6,2021-10-27
363,,,,,91992,6,2021-10-27
364,2;-2;1,1;-1;-1,0;1;-1,0;0;0,91995,6,2021-10-27
365,,,,,92267,6,2021-10-27
366,0;0;0,0;0;-1,0;0;1,0;0;-1,92270,6,2021-10-27
367,,,,,92533,6,2021-10-27
368,1;0;2,0;0;-1,1;-1;0,0;0;1,92536,6,2021-10-27
369,,,,,92806,6,2021-10-27
370,0;-1;0,0;0;0,0;0;3,0;0;2,92809,6,2021-10-27
371,,,,,93077,6,2021-10-27
372,-1;0;1,0;0;-2,0;-1;-2,0;0;0,93085,6,2021-10-27
373,,,,,93349,6,2021-10-27
374,0;0;-1,-1;0;0,0;0;-2,0;0;-1,93351,6,2021-10-27
375,,,,,93618,6,2021-10-27
376,0;1;0,-1;1;-2,0;0;-1,0;0;-3,93621,6,2021-10-27
377,,,,,93887,6,2021-10-27
378,0;1;1,0;0;-2,0;-1;-2,1;0;0,93890,6,2021-10-27
379,,,,,94150,6,2021-10-27
380,0;0;1,0;0;-1,0;0;-2,0;0;-1,94152,6,2021-10-27
381,,,,,94433,6,2021-10-27
382,0;-1;2,0;0;0,0;0;2,0;-1;0,94435,6,2021-10-27
383,,,,,94700,6,2021-10-27
384,0;0;0,0;1;2,0;1;3,0;-1;2,94703,6,2021-10-27
385,,,,,94969,6,2021-10-27
386,-1;0;-1,-1;0;2,1;0;0,2;-1;3,94977,6,2021-10-27
387,,,,,95238,6,2021-10-27
388,-1;0;0,0;0;0,-1;1;2,0;0;3,95241,6,2021-10-27
389,,,,,95507,6,2021-10-27
390,0;1;-1,0;2;1,0;0;3,1;0;1,95510,6,2021-10-27
391,,,,,95779,6,2021-10-27
392,0;0;0,0;-1;-3,0;0;2,0;1;0,95781,6,2021-10-27
393,,,,,96046,6,2021-10-27
394,0;0;0,0;0;0,-1;0;-2,0;0;-2,96049,6,2021-10-27
395,,,,,96316,6,2021-10-27
396,1;0;-1,0;-1;0,0;0;0,0;0;-2,96323,6,2021-10-27
397,,,,,96590,6,2021-10-27
398,1;0;0,0;-2;1,0;0;0,1;-1;0,96592,6,2021-10-27
399,,,,,96867,6,2021-10-27
400,0;0;0,-1;0;-2,0;0;-1,-1;0;-2,96870,6,2021-10-27
401,,,,,97146,6,2021-10-27
402,0;1;1,-2;0;1,0;0;-1,0;1;0,97149,6,2021-10-27
403,,,,,97422,6,2021-10-27
404,1;-1;2,0;0;0,-1;0;1,0;0;1,97425,6,2021-10-27
405,,,,,97689,6,2021-10-27
406,0;-1;0,0;0;3,0;0;0,0;0;0,97692,6,2021-10-27
407,,,,,97959,6,2021-10-27
408,1;0;3,0;0;3,1;-1;3,0;-1;2,97963,6,2021-10-27
409,,,,,98230,6,2021-10-27
410,-1;0;-1,0;0;-2,0;0;1,-1;0;2,98238,6,2021-10-27
411,,,,,98507,6,2021-10-27
412,0;0;1,-1;0;-4,0;0;-1,0;0;0,98509,6,2021-10-27
413,,,,,98772,6,2021-10-27
414,0;1;0,0;0;-1,0;0;-2,0;1;-2,98776,6,2021-10-27
415,,,,,99043,6,2021-10-27
416,-1;1;1,0;0;-1,0;0;-1,0;0;-1,99046,6,2021-10-27
417,,,,,99311,6,2021-10-27
418,0;0;-2,0;0;-3,0;0;-2,1;0;0,99313,6,2021-10-27
419,,,,,99581,6,2021-10-27
420,2;0;-1,-1;0;-1,0;0;0,-2;0;-1,99585,6,2021-10-27
421,,,,,99850,6,2021-10-27
422,0;0;-1,0;1;0,0;1;0,0;0;0,99853,6,2021-10-27
423,,,,,100125,6,2021-10-27
424,0;0;0,0;1;2,0;0;2,0;-1;1,100132,6,2021-10-27
425,,,,,100400,6,2021-10-27
426,-1;0;-2,0;0;-3,0;1;-1,1;1;1,100403,6,2021-10-27
427,,,,,100669,6,2021-10-27
428,0;1;0,0;0;0,0;0;-1,0;1;-1,100672,6,2021-10-27
429,,,,,100951,6,2021-10-27
430,1;0;0,1;-1;0,-1;0;0,0;0;1,100954,6,2021-10-27
431,,,,,101226,6,2021-10-27
432,0;1;2,1;-1;0,0;0;0,0;0;0,101228,6,2021-10-27
433,,,,,101496,6,2021-10-27
434,0;0;0,0;0;1,0;0;2,1;0;1,101499,6,2021-10-27
435,,,,,101765,6,2021-10-27
436,0;0;1,0;0;1,-1;0;-2,0;1;1,101768,6,2021-10-27
437,,,,,102044,6,2021-10-27
438,0;1;1,0;0;0,1;1;-3,-1;0;0,102047,6,2021-10-27
439,,,,,102316,6,2021-10-27
440,1;0;-1,1;-1;0,1;0;0,1;0;-1,102319,6,2021-10-27
441,,,,,102590,6,2021-10-27
442,-2;0;-1,0;0;0,0;1;4,0;0;1,102597,6,2021-10-27
443,,,,,102864,6,2021-10-27
444,-2;1;0,0;0;2,1;0;0,0;0;1,102867,6,2021-10-27
445,,,,,103128,6,2021-10-27
446,0;0;-1,0;0;0,0;1;0,1;0;2,103131,6,2021-10-27
447,,,,,103403,6,2021-10-27
448,0;0;-1,0;0;-2,0;0;2,0;0;3,103405,6,2021-10-27
449,,,,,103665,6,2021-10-27
450,0;1;-2,0;0;2,2;0;2,1;0;0,103668,6,2021-10-27
451,,,,,103938,6,2021-10-27
452,0;2;1,0;1;-2,0;0;-2,0;0;-1,103941,6,2021-10-27
453,,,,,104206,6,2021-10-27
454,0;1;1,-2;0;0,0;0;-1,1;0;0,104209,6,2021-10-27
455,,,,,104478,6,2021-10-27
456,-1;0;3,-1;1;3,0;0;0,-1;0;1,104481,6,2021-10-27
457,,,,,104748,6,2021-10-27
458,0;0;0,0;0;0,-1;0;0,0;0;-2,104751,6,2021-10-27
459,,,,,105011,6,2021-10-27
460,1;-1;0,-1;0;0,0;0;0,0;0;-2,105018,6,2021-10-27
461,,,,,105280,6,2021-10-27
462,0;0;1,0;0;-1,0;0;1,-1;0;0,105282,6,2021-10-27
463,,,,,105548,6,2021-10-27
464,0;0;3,0;-1;0,0;1;0,-1;1;2,105558,6,2021-10-27
465,,,,,105818,6,2021-10-27
466,0;0;2,0;-2;-2,0;0;0,0;0;-4,105821,6,2021-10-27
467,,,,,106081,6,2021-10-27
468,0;0;1,0;0;-2,0;1;2,0;0;0,106084,6,2021-10-27
469,,,,,106361,6,2021-10-27
470,-1;0;-3,-1;0;-2,0;1;1,0;2;5,106364,6,2021-10-27
471,,,,,106632,6,2021-10-27
472,-1;0;-2,-1;0;-1,0;0;0,0;1;-1,106635,6,2021-10-27
473,,,,,106912,6,2021-10-27
474,1;-1;0,0;-1;1,0;0;0,3;0;0,106915,6,2021-10-27
475,,,,,107189,6,2021-10-27
476,-1;0;0,0;1;0,0;0;2,1;0;2,107191,6,2021-10-27
477,,,,,107464,6,2021-10-27
