,acc1,acc2,acc3,acc4,duration
66480,-1;0;-3,-3;0;-3,-1;0;-5,0;0;-2,66480
66740,,,,,66740
66748,3;0;1,0;0;2,0;0;1,1;0;1,66748
67015,,,,,67015
67017,-1;0;0,-1;0;-1,-1;-2;-3,-3;0;-2,67017
67280,,,,,67280
67282,0;0;3,-1;0;-3,-2;0;-5,-2;-1;-2,67282
67553,,,,,67553
67556,3;0;2,3;0;2,-1;1;0,-1;0;0,67556
67816,,,,,67816
67819,-1;0;0,0;0;3,0;0;2,0;0;2,67819
68100,,,,,68100
68103,-1;0;-2,-3;1;-4,0;1;-1,0;0;1,68103
68366,,,,,68366
68369,-1;0;0,-2;0;-3,-2;0;-3,-2;-3;-4,68369
68629,,,,,68629
68636,0;0;2,1;0;0,2;0;2,4;-1;2,68636
68901,,,,,68901
68903,-1;0;-4,0;0;-3,-2;1;0,-2;-2;-2,68903
69170,,,,,69170
69173,0;0;0,3;0;1,3;-1;3,2;0;2,69173
69450,,,,,69450
69452,0;0;-5,-2;1;0,-1;1;-3,-1;0;-3,69452
69722,,,,,69722
69725,1;0;0,0;-2;3,2;0;2,0;0;0,69725
69997,,,,,69997
70000,-1;0;-1,0;0;1,0;0;2,0;0;2,70000
70262,,,,,70262
70264,-1;0;-3,0;0;1,0;0;0,1;0;3,70264
70526,,,,,70526
70536,0;0;-1,-1;0;-4,-1;0;-2,0;-1;-3,70536
70806,,,,,70806
70808,0;3;0,1;0;1,0;-1;2,0;0;1,70808
71070,,,,,71070
71072,0;0;0,0;0;1,-1;2;0,0;1;0,71072
71344,,,,,71344
71347,0;0;-2,-1;-1;0,-1;0;-1,0;0;-3,71347
71613,,,,,71613
71615,0;0;3,-1;0;0,0;0;-2,0;0;-3,71615
71885,,,,,71885
71888,-1;0;1,1;-1;0,0;-1;2,1;0;3,71888
72160,,,,,72160
72163,-1;0;-3,-1;0;-1,-1;0;0,0;0;3,72163
72431,,,,,72431
72438,0;0;1,0;0;0,0;-1;0,0;1;-2,72438
72709,,,,,72709
72712,0;1;2,0;0;0,0;-2;1,0;0;0,72712
72982,,,,,72982
72984,0;0;0,0;2;1,0;0;1,0;-1;-1,72984
73265,,,,,73265
73268,0;0;0,-2;1;1,0;0;2,0;0;-2,73268
73534,,,,,73534
73536,0;0;4,0;-2;2,-1;0;-1,0;0;-3,73536
73797,,,,,73797
73804,0;0;0,0;0;1,0;-1;0,-1;0;1,73804
74072,,,,,74072
74075,0;0;1,0;0;1,0;0;1,0;1;-3,74075
74335,,,,,74335
74338,0;-1;1,0;-2;0,0;-1;1,1;-1;1,74338
74609,,,,,74609
74612,0;0;-1,1;0;0,0;0;1,0;1;2,74612
74872,,,,,74872
74875,0;1;1,0;-2;1,1;0;1,-1;0;-2,74875
75141,,,,,75141
75143,-1;1;1,0;-1;1,-1;0;2,0;1;0,75143
75405,,,,,75405
75407,0;0;1,0;2;1,0;-2;1,0;0;3,75407
75673,,,,,75673
75682,0;0;-2,0;0;-1,0;0;1,0;2;1,75682
75949,,,,,75949
75952,0;0;-2,0;1;1,0;1;0,1;0;2,75952
76212,,,,,76212
76214,0;0;0,0;1;2,1;0;1,0;-2;1,76214
76475,,,,,76475
76477,0;0;1,0;1;0,-1;-1;0,-1;0;1,76477
76749,,,,,76749
76752,0;0;-2,-1;0;2,-1;0;2,1;-1;1,76752
77019,,,,,77019
77021,0;0;0,0;1;-1,0;0;-1,-1;0;0,77021
77289,,,,,77289
77291,0;-1;2,-1;1;0,0;0;-2,-2;0;-1,77291
77559,,,,,77559
77568,1;-1;1,0;0;2,1;0;1,2;-2;2,77568
77834,,,,,77834
77837,0;0;2,1;-1;1,2;-2;1,0;0;2,77837
78102,,,,,78102
78104,0;1;-1,0;1;1,1;-1;0,1;0;2,78104
78376,,,,,78376
78380,-3;0;-1,-1;0;-2,2;0;0,-2;0;0,78380
78652,,,,,78652
78654,0;0;0,0;-1;-2,-2;0;-1,-2;0;-1,78654
78914,,,,,78914
78922,0;0;0,0;-1;-1,0;-1;0,-1;0;0,78922
79190,,,,,79190
79193,1;0;1,0;0;0,0;-2;-1,0;0;-1,79193
79453,,,,,79453
79461,1;0;1,0;0;2,0;-1;0,0;0;1,79461
79728,,,,,79728
79731,1;1;1,0;0;1,0;-1;1,0;0;2,79731
79996,,,,,79996
80000,0;0;-1,-1;0;0,0;1;1,0;0;0,80000
80272,,,,,80272
80274,0;0;0,0;0;-4,-1;0;0,2;0;1,80274
80535,,,,,80535
80538,-1;0;-2,0;0;-2,0;0;0,-1;0;1,80538
80803,,,,,80803
80812,0;1;-1,0;0;0,0;0;-1,0;0;0,80812
81080,,,,,81080
81082,0;0;1,0;0;0,0;0;1,0;0;-1,81082
81354,,,,,81354
81357,1;0;2,0;0;0,0;0;1,0;0;2,81357
81640,,,,,81640
81642,0;-1;0,0;0;-4,-1;0;-2,0;0;0,81642
81910,,,,,81910
81913,0;-1;1,0;0;0,0;1;-1,0;0;-2,81913
82192,,,,,82192
82195,0;0;2,-1;0;-1,0;0;0,0;1;1,82195
82469,,,,,82469
82472,1;0;-1,0;0;-1,0;0;-1,0;-1;-3,82472
82742,,,,,82742
82749,0;0;3,1;0;1,1;0;2,0;0;1,82749
83012,,,,,83012
83015,-1;0;0,1;0;1,2;0;0,0;0;0,83015
83281,,,,,83281
83284,0;0;0,1;0;1,0;0;0,0;0;1,83284
83556,,,,,83556
83559,1;-1;0,-1;0;-2,0;0;0,0;0;0,83559
83831,,,,,83831
83834,0;-1;-2,0;0;-2,0;0;-2,-2;0;-1,83834
84109,,,,,84109
84116,0;0;3,0;0;2,0;0;0,0;1;2,84116
84382,,,,,84382
84385,0;-2;3,0;0;2,0;0;3,-1;0;0,84385
84652,,,,,84652
84660,0;0;0,1;0;2,0;0;1,0;-1;-2,84660
84926,,,,,84926
84929,-2;0;-2,0;1;2,0;0;1,0;0;0,84929
85190,,,,,85190
85193,0;0;0,-1;1;1,0;0;0,1;0;1,85193
85465,,,,,85465
85467,0;0;-1,-1;-1;-2,0;0;1,0;0;0,85467
85734,,,,,85734
85736,-2;0;-2,-1;1;0,-1;0;0,1;0;0,85736
85996,,,,,85996
86004,0;1;-4,-1;0;-1,0;0;-2,0;0;-1,86004
86273,,,,,86273
86275,0;0;0,1;0;0,0;0;-3,0;0;-1,86275
86548,,,,,86548
86551,2;0;0,0;0;0,0;0;2,1;-1;0,86551
86831,,,,,86831
86833,0;2;-1,0;-1;0,-1;0;-2,-2;2;1,86833
87098,,,,,87098
87101,-1;0;-2,0;0;-1,0;0;-1,0;0;-1,87101
87378,,,,,87378
87380,1;0;0,1;0;1,-1;0;1,0;0;-1,87380
87648,,,,,87648
87651,0;-1;1,1;0;0,1;-2;1,0;0;-2,87651
87921,,,,,87921
87946,-1;0;-1,0;0;0,0;-1;-2,0;0;-1,87946
88211,,,,,88211
88214,0;0;0,0;0;0,0;0;-1,0;2;-3,88214
88486,,,,,88486
88489,2;-1;1,0;0;2,0;0;1,0;0;1,88489
88756,,,,,88756
88758,0;1;1,-1;0;-1,0;0;1,1;-1;0,88758
89024,,,,,89024
89027,-1;1;0,0;0;0,0;1;3,0;-1;0,89027
89291,,,,,89291
89294,0;-1;0,-1;0;0,0;0;-3,-1;1;0,89294
89563,,,,,89563
89565,-1;0;0,0;0;-1,0;-1;-1,-5;3;0,89565
89839,,,,,89839
89847,1;0;0,1;0;1,0;-1;0,1;0;1,89847
90114,,,,,90114
90116,-1;0;0,0;2;2,0;1;2,0;0;3,90116
90388,,,,,90388
90391,0;0;-2,0;1;1,0;1;0,0;-1;1,90391
90651,,,,,90651
90654,0;1;0,0;0;2,-2;1;1,0;1;0,90654
90913,,,,,90913
90916,0;0;0,7;0;0,0;1;0,0;0;0,90916
91176,,,,,91176
91185,1;0;1,-1;-1;1,0;-1;1,-1;0;-1,91185
91452,,,,,91452
91455,0;0;2,0;0;0,0;-1;0,0;0;0,91455
91729,,,,,91729
91737,-1;0;0,0;0;-3,1;0;-1,0;0;-1,91737
92002,,,,,92002
92005,0;0;-1,0;0;-1,0;-1;0,0;0;-1,92005
92280,,,,,92280
92282,1;0;1,0;0;2,0;0;-1,0;1;0,92282
92561,,,,,92561
92564,0;0;-1,-1;-1;-1,-1;0;-1,0;0;0,92564
92828,,,,,92828
92831,-1;1;0,0;0;0,0;0;1,1;0;0,92831
93100,,,,,93100
93107,-1;0;0,0;0;-3,0;-1;-1,0;0;-1,93107
93385,,,,,93385
93387,0;0;1,0;-1;1,-1;0;2,-1;0;1,93387
93654,,,,,93654
93657,0;0;1,0;0;0,1;1;1,0;-1;2,93657
93929,,,,,93929
93932,-1;0;-1,0;0;0,0;0;1,0;0;1,93932
94200,,,,,94200
94202,-1;0;-2,0;-1;-1,0;-1;0,1;1;0,94202
94474,,,,,94474
94476,0;1;-1,0;0;-2,0;0;-1,0;-1;-2,94476
94752,,,,,94752
94754,2;0;0,1;0;2,0;0;1,-1;0;0,94754
95020,,,,,95020
95029,-2;0;0,-1;1;0,0;1;0,0;0;0,95029
95293,,,,,95293
95296,-1;0;0,0;1;0,0;2;0,0;0;0,95296
95568,,,,,95568
95570,-1;2;-2,0;0;0,0;0;1,-1;0;1,95570
95839,,,,,95839
95842,-1;-1;0,-1;0;-1,-1;-1;0,0;0;0,95842
96106,,,,,96106
96109,0;0;0,0;0;0,0;0;0,0;0;0,96109
96374,,,,,96374
96377,0;1;0,-2;0;0,-1;0;-2,-1;1;0,96377
96652,,,,,96652
96655,1;0;3,0;0;1,-1;0;0,0;0;-4,96655
96926,,,,,96926
96962,-1;0;0,1;0;0,0;0;1,1;0;2,96962
97226,,,,,97226
97228,-1;0;0,0;0;2,0;0;3,0;0;1,97228
97495,,,,,97495
97498,-1;0;0,0;0;2,0;0;0,2;1;1,97498
97764,,,,,97764
97767,-2;0;-2,0;0;0,0;0;1,0;0;0,97767
98033,,,,,98033
98035,0;0;0,0;1;0,0;0;1,0;0;2,98035
98295,,,,,98295
98304,0;0;-1,-1;0;-1,0;0;0,2;0;4,98304
98571,,,,,98571
98574,0;0;0,-1;0;1,0;2;0,0;2;2,98574
98834,,,,,98834
98837,0;0;0,0;0;0,0;0;-3,0;0;0,98837
99108,,,,,99108
99111,0;0;0,0;0;-1,0;-1;-2,0;0;0,99111
99372,,,,,99372
99375,0;0;0,0;0;1,0;0;1,0;0;0,99375
99647,,,,,99647
99650,0;1;1,0;0;1,0;0;0,0;0;0,99650
99910,,,,,99910
99912,1;1;0,0;0;0,0;0;2,0;0;0,99912
100172,,,,,100172
100182,0;0;-1,0;2;0,0;1;0,0;-1;0,100182
100448,,,,,100448
100451,0;-1;-1,0;2;0,-1;0;1,0;0;1,100451
100711,,,,,100711
100718,0;0;0,0;0;-1,0;0;0,0;0;0,100718
100986,,,,,100986
100989,0;0;1,0;0;1,0;0;0,0;0;-1,100989
101262,,,,,101262
101265,-1;0;0,-1;3;0,0;-1;-2,0;0;0,101265
101538,,,,,101538
101540,-1;0;1,0;0;0,0;1;-1,-1;0;-1,101540
101812,,,,,101812
101815,0;-1;2,0;0;0,2;0;2,-1;0;2,101815
102091,,,,,102091
102094,1;0;-1,0;1;-1,0;0;-3,-1;0;-1,102094
102363,,,,,102363
102366,-1;0;0,0;0;0,0;0;0,0;0;2,102366
102638,,,,,102638
102646,0;0;0,0;0;0,-1;2;0,0;1;1,102646
102913,,,,,102913
102916,0;0;-1,-1;0;-2,0;1;1,-1;0;0,102916
103176,,,,,103176
103183,0;0;0,-1;-1;2,-1;0;-2,0;-1;-1,103183
103451,,,,,103451
103453,0;0;0,1;-1;0,0;0;1,0;1;0,103453
103713,,,,,103713
103716,0;0;0,0;0;2,0;1;0,0;0;1,103716
103989,,,,,103989
103992,-1;0;-1,0;0;0,1;0;1,2;0;1,103992
104252,,,,,104252
104254,0;-1;-1,-1;-1;0,-1;0;0,0;-1;-1,104254
104527,,,,,104527
104530,0;-1;0,0;1;0,0;0;1,-1;0;-1,104530
104798,,,,,104798
104801,3;0;2,0;0;0,0;0;0,-1;0;0,104801
105070,,,,,105070
105073,0;0;0,-1;1;0,0;0;1,0;0;1,105073
105340,,,,,105340
105344,0;0;0,0;0;-1,0;0;0,-1;0;0,105344
105610,,,,,105610
105617,0;0;-1,0;0;0,-2;-1;0,0;1;-1,105617
105884,,,,,105884
105887,1;-1;1,-1;0;3,0;0;1,0;0;0,105887
106153,,,,,106153
106162,-2;-1;-1,-1;0;-1,-1;0;-1,0;1;1,106162
106429,,,,,106429
106431,-1;-1;-2,0;0;0,0;0;0,0;0;0,106431
106691,,,,,106691
106694,0;0;-1,-2;0;-1,-1;0;-2,0;0;0,106694
106969,,,,,106969
106972,0;0;1,0;1;0,-1;0;0,1;0;-3,106972
107239,,,,,107239
107241,0;1;0,0;0;0,-1;0;0,1;0;2,107241
107511,,,,,107511
107514,-1;0;0,0;-2;-3,-1;0;1,0;0;1,107514
107781,,,,,107781
107784,-1;-1;-2,1;-3;0,-1;0;0,-1;0;-1,107784
108054,,,,,108054
108057,0;0;2,0;0;0,-1;0;0,-1;0;1,108057
108324,,,,,108324
108327,0;-1;-1,0;0;0,0;0;1,1;0;0,108327
108594,,,,,108594
108602,0;0;-1,0;0;-2,-1;0;-3,0;0;-1,108602
108868,,,,,108868
108871,0;0;-1,0;0;-2,0;0;-1,0;0;1,108871
109131,,,,,109131
109139,0;0;0,0;0;-1,0;0;-1,0;0;0,109139
109408,,,,,109408
109410,0;0;1,0;1;0,0;0;0,0;-1;0,109410
109677,,,,,109677
109680,0;0;0,0;0;0,0;-1;2,0;0;0,109680
109952,,,,,109952
109955,0;0;0,1;0;1,0;0;0,10;-3;-5,109955
110227,,,,,110227
110229,0;0;-1,0;0;0,0;1;1,0;2;0,110229
110495,,,,,110495
110498,-1;0;0,-1;0;0,0;0;0,-1;0;0,110498
110771,,,,,110771
110773,0;-1;2,0;0;0,0;-1;-1,0;0;0,110773
111040,,,,,111040
111043,1;3;0,0;0;1,0;0;-1,-2;0;-1,111043
111308,,,,,111308
111311,0;0;1,0;0;0,0;0;1,-1;1;-2,111311
111571,,,,,111571
111579,0;0;0,0;0;0,0;-1;0,-1;0;-1,111579
111847,,,,,111847
111850,2;0;0,5;0;4,-1;0;1,-1;-1;2,111850
112120,,,,,112120
112130,0;0;-1,0;-1;0,0;1;1,0;0;2,112130
112398,,,,,112398
112401,0;0;-3,0;0;-1,-1;-1;0,-1;0;-1,112401
112669,,,,,112669
112672,0;0;-1,0;0;0,0;1;-1,0;-1;0,112672
112942,,,,,112942
112945,0;0;0,0;0;-1,1;0;0,0;0;0,112945
113210,,,,,113210
113213,-1;0;0,1;-1;0,0;0;0,0;-1;0,113213
113480,,,,,113480
113482,0;0;0,0;1;0,-1;0;0,0;1;0,113482
113748,,,,,113748
113752,0;0;0,-1;0;3,0;1;0,0;0;0,113752
114012,,,,,114012
114019,0;0;1,0;0;2,0;0;0,1;0;0,114019
114286,,,,,114286
114289,0;0;2,2;0;-1,0;0;2,0;0;-1,114289
114549,,,,,114549
114577,-1;0;-2,0;0;0,0;0;-1,0;1;0,114577
114838,,,,,114838
114841,-1;-1;0,-1;-2;1,0;0;0,-1;0;0,114841
115112,,,,,115112
115116,-5;-2;-1,-7;0;-1,-6;11;-3,-5;0;1,115116
115387,,,,,115387
115390,-3;-3;-2,-7;3;0,-3;1;0,-2;-1;0,115390
115651,,,,,115651
115653,-5;-1;0,-6;-1;-1,-6;0;-1,-6;-1;0,115653
115927,,,,,115927
115930,-6;-4;0,-6;-4;0,-6;-2;0,-4;-4;-1,115930
116202,,,,,116202
116204,14;3;-6,-1;-5;-5,-4;0;0,-4;-4;0,116204
116478,,,,,116478
116482,-6;-5;0,-6;-3;0,-4;-4;0,-6;-4;0,116482
116752,,,,,116752
116755,-6;-3;-3,-5;-5;0,-5;-3;0,-4;-5;2,116755
117032,,,,,117032
117036,-8;-4;0,-7;-4;0,-5;-3;1,-2;-4;0,117036
117303,,,,,117303
117306,3;-12;0,-2;-11;0,-7;-5;-1,-7;3;-4,117306
117577,,,,,117577
117585,-8;1;0,-7;0;0,-8;2;-3,-11;3;-3,117585
117853,,,,,117853
117856,-1;-2;-2,-5;-8;0,-7;0;-1,-5;4;-1,117856
118129,,,,,118129
118137,-10;-2;1,-4;-1;-1,-4;-2;-2,-6;-1;0,118137
118420,,,,,118420
118422,-4;-4;-2,-2;-3;-1,-8;-7;-2,-6;-2;-5,118422
118691,,,,,118691
118700,-4;0;0,-8;3;-1,-12;1;1,-9;-3;-2,118700
118968,,,,,118968
118971,-11;0;0,-9;0;-5,-8;2;-2,-9;2;-2,118971
119238,,,,,119238
119240,-9;0;-1,-9;0;-3,-5;1;1,-10;1;0,119240
119511,,,,,119511
119514,-8;0;-3,-7;0;-1,-10;0;-1,-12;0;-3,119514
119780,,,,,119780
119783,-11;3;-5,-8;0;0,-8;2;0,-6;4;0,119783
120055,,,,,120055
120058,-3;4;-4,-9;2;-6,-6;-4;2,-4;1;-4,120058
120331,,,,,120331
120334,-7;1;-1,-4;0;0,-3;1;1,-4;1;-2,120334
120611,,,,,120611
120614,-8;-1;-4,-6;1;-5,-6;2;-1,-7;2;0,120614
120888,,,,,120888
120890,-9;1;-2,-5;2;-4,-10;5;2,-7;5;0,120890
121164,,,,,121164
121166,-7;8;-5,-6;5;-1,-3;2;-3,-5;1;-2,121166
121432,,,,,121432
121435,-4;0;0,-5;6;-2,-7;3;6,-7;6;-1,121435
121713,,,,,121713
121716,-8;3;-2,-2;2;-6,-2;1;-5,-4;0;0,121716
121995,,,,,121995
121997,-7;1;1,-3;2;1,-4;-1;-2,-4;1;-1,121997
122270,,,,,122270
122277,-6;1;0,-7;0;0,-5;0;-5,-3;1;2,122277
122546,,,,,122546
122549,-2;-1;2,1;0;1,-4;1;0,-5;-2;0,122549
122814,,,,,122814
122823,-3;-4;-6,-4;3;-8,-4;-2;0,-2;0;-2,122823
123098,,,,,123098
123101,-3;0;-3,-4;2;-6,-4;-1;-3,-5;-4;-2,123101
123370,,,,,123370
123378,-8;3;0,-6;0;0,-5;0;-5,-2;1;2,123378
123640,,,,,123640
123643,-1;0;-3,-3;3;1,-4;-3;0,-9;2;3,123643
123910,,,,,123910
123913,-6;4;1,0;4;-12,-4;-3;-4,-7;3;-4,123913
124184,,,,,124184
124187,-3;-2;-2,-4;0;3,-7;-1;3,-6;3;-1,124187
124453,,,,,124453
124456,-5;-5;-2,-3;-1;-6,-2;0;-2,-7;-3;0,124456
124730,,,,,124730
124733,-8;-1;-4,-10;-2;-1,-8;-1;2,-7;4;0,124733
124997,,,,,124997
125000,-7;5;0,-2;4;1,-6;-4;0,-3;-3;0,125000
125273,,,,,125273
125276,-7;1;1,-9;-9;2,-5;0;1,-3;-2;-3,125276
125540,,,,,125540
125543,0;2;1,-1;-6;5,-1;7;5,-1;-2;2,125543
125815,,,,,125815
125817,0;1;0,-4;0;0,1;3;-3,-1;0;4,125817
126088,,,,,126088
126090,-2;1;3,4;-3;4,-2;-5;-4,0;-1;-7,126090
126359,,,,,126359
126368,1;1;-7,-3;-7;2,0;-3;0,3;-6;0,126368
126639,,,,,126639
126642,-10;3;-7,3;-3;-1,-3;-4;-3,-1;3;1,126642
126909,,,,,126909
126917,8;0;3,3;-4;8,4;5;-8,3;-1;-2,126917
127187,,,,,127187
127191,-1;0;9,4;-1;5,-1;-6;0,4;3;1,127191
127460,,,,,127460
127469,9;-2;-8,0;-2;1,5;0;4,5;-3;-4,127469
127738,,,,,127738
127741,4;1;-2,2;-2;3,3;2;3,2;5;1,127741
128011,,,,,128011
128013,6;2;2,6;0;-4,4;-2;0,5;-2;4,128013
128288,,,,,128288
128291,2;2;3,2;-7;0,3;4;-2,6;0;6,128291
128562,,,,,128562
128564,7;5;0,11;-2;0,9;-1;0,11;-4;-2,128564
128834,,,,,128834
128837,8;2;-2,14;6;-2,9;-1;0,12;-1;3,128837
129101,,,,,129101
129104,17;0;5,12;-5;2,13;7;-1,12;0;8,129104
129376,,,,,129376
129379,12;2;-4,14;-3;1,14;3;8,11;0;6,129379
129639,,,,,129639
129642,12;3;6,14;-7;4,15;2;0,17;2;9,129642
129921,,,,,129921
129924,15;-1;3,15;-2;1,10;-2;1,12;-2;3,129924
130190,,,,,130190
130193,11;1;9,14;4;1,11;2;0,9;-1;0,130193
130467,,,,,130467
130475,10;-3;-2,11;0;-1,12;0;4,10;5;4,130475
130741,,,,,130741
130744,11;7;1,8;-1;-1,10;-1;4,7;-1;1,130744
131019,,,,,131019
131027,13;0;6,14;-4;11,12;-6;7,13;-3;0,131027
131291,,,,,131291
131294,10;2;0,16;0;0,12;0;1,14;0;1,131294
131568,,,,,131568
131571,15;0;5,13;1;1,11;-7;6,13;1;1,131571
131843,,,,,131843
131845,10;-1;8,13;-2;0,17;0;7,16;0;4,131845
132111,,,,,132111
132114,17;0;3,17;-3;2,18;0;2,18;-4;2,132114
132389,,,,,132389
132392,14;-2;8,17;0;0,15;1;7,18;-3;11,132392
132658,,,,,132658
132661,15;-1;0,19;-4;4,17;-4;2,19;-1;7,132661
132999,,,,,132999
133002,18;-1;4,18;0;2,16;-2;3,18;1;3,133002
133268,,,,,133268
133271,19;-2;1,18;-4;9,21;-3;5,21;0;5,133271
133549,,,,,133549
133552,13;0;1,10;-3;1,6;-4;2,3;-1;0,133552
133812,,,,,133812
133815,-1;0;0,2;-2;1,0;-3;0,-1;0;-1,133815
134090,,,,,134090
134097,1;-4;-2,-1;-1;-2,0;-2;0,0;-3;2,134097
134369,,,,,134369
134372,-1;-1;2,1;0;3,-3;0;0,-1;-2;-1,134372
134644,,,,,134644
134652,-2;-5;-3,-2;-3;-5,-5;-3;-1,-4;-2;2,134652
134920,,,,,134920
134923,-7;-3;-1,-8;-6;-4,-11;-5;-3,-5;-3;-6,134923
135190,,,,,135190
135351,-11;-3;1,-14;-1;2,-9;-1;-5,-9;-5;1,135351
135614,,,,,135614
135617,-9;-9;-14,-9;-6;-1,-6;1;-3,-6;0;-4,135617
135883,,,,,135883
135892,-11;-5;1,-14;-2;-10,-9;-3;-10,-11;1;0,135892
136159,,,,,136159
136162,-8;-2;-4,-9;-6;1,-3;-5;-7,-9;-4;-4,136162
136434,,,,,136434
136437,-8;-4;-1,-6;-2;-2,-12;-4;-2,-4;0;0,136437
136709,,,,,136709
136712,-9;-2;-4,-8;-3;1,-6;-5;0,-3;-4;-2,136712
136993,,,,,136993
136995,-1;-4;-1,-11;-10;0,-6;-2;-3,-8;-7;0,136995
137269,,,,,137269
137272,-1;-1;-1,-5;-2;0,-11;0;2,-4;-4;-3,137272
137538,,,,,137538
137541,-9;-4;0,-9;-3;-5,-11;-5;-7,-6;-10;-3,137541
137821,,,,,137821
137824,-5;-7;-5,-8;-4;-1,-7;-8;-3,-8;-7;0,137824
138086,,,,,138086
138089,-7;-7;0,-9;-5;-2,-7;-6;1,-7;-5;-4,138089
138361,,,,,138361
138363,-7;-6;-2,-4;-12;-3,-13;0;3,-2;-1;-10,138363
138630,,,,,138630
138633,-2;0;2,-6;-4;-2,-8;-10;-1,-6;-1;1,138633
138903,,,,,138903
138906,-11;-4;-3,-11;0;4,-5;-6;-7,-7;-5;1,138906
139170,,,,,139170
139172,-3;4;0,-3;3;-2,-3;-3;-5,-4;-8;-4,139172
139443,,,,,139443
139446,1;-1;-3,-8;-1;4,0;0;4,-1;-5;-3,139446
139712,,,,,139712
139715,-1;-7;0,-6;5;-9,-7;5;1,-6;-4;5,139715
139986,,,,,139986
139995,-7;-4;3,-9;-9;-4,-1;-7;-9,-5;-1;-4,139995
140278,,,,,140278
140280,-3;-6;0,-5;-9;7,-1;0;5,-1;-5;0,140280
140551,,,,,140551
140560,-5;-12;7,-5;0;7,-9;-6;-2,-4;-8;-2,140560
140827,,,,,140827
140829,-9;-6;-1,-10;-12;0,-9;-5;5,-10;-4;5,140829
141097,,,,,141097
141106,-7;4;0,-11;-6;5,-4;-4;-1,-6;-8;1,141106
141371,,,,,141371
141374,-10;-4;3,-7;4;-15,-5;-2;-8,-9;-2;5,141374
141639,,,,,141639
141641,-13;-10;7,-13;-2;8,-11;-6;1,-2;-9;-8,141641
141919,,,,,141919
