,acc1,acc2,acc3,acc4,duration
16458,2;-1;0,3;0;3,5;0;0,1;-1;1,16458
16723,,,,,16723
16733,2;0;1,2;-2;0,3;-1;0,2;-1;0,16733
17000,,,,,17000
17003,1;0;-1,1;0;0,3;0;-2,1;0;1,17003
17268,,,,,17268
17270,3;0;1,1;1;0,5;0;0,2;1;3,17270
17538,,,,,17538
17541,7;0;0,1;-1;3,5;0;0,7;0;0,17541
17813,,,,,17813
17816,5;1;1,5;-2;0,6;0;0,1;0;5,17816
18094,,,,,18094
18097,2;-3;1,0;0;2,0;1;0,1;0;0,18097
18357,,,,,18357
18360,4;0;0,3;0;0,2;0;0,3;0;1,18360
18626,,,,,18626
18633,0;0;1,0;-1;-1,0;0;2,1;0;1,18633
18905,,,,,18905
18907,2;0;3,2;0;1,3;0;3,3;1;3,18907
19173,,,,,19173
19176,5;1;-2,1;2;2,1;0;1,5;0;-1,19176
19447,,,,,19447
19450,6;-3;0,5;0;4,3;0;4,2;0;4,19450
19716,,,,,19716
19718,5;-1;-2,4;-1;0,5;0;1,6;-1;0,19718
19989,,,,,19989
19991,4;3;0,1;0;2,3;1;-1,6;-1;-2,19991
20253,,,,,20253
20256,5;1;-2,4;0;-1,4;0;0,3;0;1,20256
20529,,,,,20529
20537,4;3;2,4;1;0,4;3;3,2;2;3,20537
20813,,,,,20813
20815,1;2;3,3;-1;2,4;-2;0,3;0;0,20815
21080,,,,,21080
21082,4;3;0,2;0;0,2;-1;-1,4;0;-1,21082
21364,,,,,21364
21367,0;1;-3,0;1;0,1;3;3,0;0;1,21367
21642,,,,,21642
21645,0;-3;-1,2;0;-3,1;1;0,-1;4;0,21645
21914,,,,,21914
21922,-3;1;0,-3;1;0,-2;3;-1,1;0;4,21922
22192,,,,,22192
22195,-6;-2;-6,-5;0;-7,-5;2;-6,-4;0;-9,22195
22455,,,,,22455
22463,0;2;4,-2;2;0,0;0;2,-2;0;-2,22463
22731,,,,,22731
22733,2;-1;1,0;-1;2,2;-1;-1,3;-1;0,22733
23000,,,,,23000
23002,4;1;-1,4;-1;0,0;-1;3,2;0;1,23002
23282,,,,,23282
23285,1;1;0,1;0;-1,0;0;0,0;0;0,23285
23557,,,,,23557
23560,3;0;-1,1;-1;2,0;0;1,5;0;-3,23560
23835,,,,,23835
23838,3;2;3,1;1;0,0;2;1,0;0;-2,23838
24107,,,,,24107
24110,0;0;0,5;-1;0,4;0;-1,4;0;-3,24110
24376,,,,,24376
24384,3;0;1,3;-2;0,2;0;0,1;1;0,24384
24653,,,,,24653
24655,4;0;-2,0;0;2,3;0;0,3;0;0,24655
24923,,,,,24923
24926,0;-1;1,0;1;0,4;0;2,0;0;0,24926
25205,,,,,25205
25207,1;1;0,0;-1;0,1;0;1,0;-1;2,25207
25472,,,,,25472
25475,1;3;0,0;0;0,2;0;-2,4;0;-1,25475
25742,,,,,25742
25750,1;2;1,1;2;0,1;4;0,1;0;0,25750
26023,,,,,26023
26025,4;2;0,3;0;0,0;-2;0,1;-3;0,26025
26297,,,,,26297
26300,2;2;0,5;-3;-4,0;-2;0,3;0;-1,26300
26572,,,,,26572
26574,3;2;0,0;2;2,0;3;1,2;1;2,26574
26843,,,,,26843
26846,0;-1;0,1;2;0,0;0;0,0;0;-3,26846
27117,,,,,27117
27120,1;0;2,1;0;8,1;0;6,0;0;3,27120
27392,,,,,27392
27395,-5;-1;-3,-3;-1;0,4;-2;2,3;0;0,27395
27662,,,,,27662
27688,-1;0;0,0;1;-2,-2;0;0,0;-2;1,27688
27962,,,,,27962
27965,0;-2;0,-2;1;2,-3;0;-1,-2;3;-1,27965
28236,,,,,28236
28238,-1;1;0,2;2;-2,4;0;1,1;0;3,28238
28511,,,,,28511
28514,4;0;0,2;0;0,1;0;0,1;0;1,28514
28774,,,,,28774
28777,0;3;1,0;0;0,3;0;0,1;1;1,28777
29053,,,,,29053
29056,2;0;0,2;0;0,1;0;1,2;1;0,29056
29331,,,,,29331
29333,2;2;2,4;0;0,3;0;3,1;0;0,29333
29604,,,,,29604
29614,4;-1;1,4;0;0,1;0;2,2;1;0,29614
29875,,,,,29875
29878,0;0;0,1;0;0,3;-1;2,3;-1;0,29878
30152,,,,,30152
30154,2;-2;0,4;-2;0,0;0;1,0;-1;1,30154
30425,,,,,30425
30428,3;-2;1,2;0;1,1;-1;1,4;0;0,30428
30695,,,,,30695
30697,4;-2;0,4;0;2,5;-2;-1,1;-3;2,30697
30969,,,,,30969
30972,2;0;1,6;-1;0,9;0;1,8;0;0,30972
31239,,,,,31239
31242,5;-3;4,4;-3;4,8;-5;1,7;-4;5,31242
31514,,,,,31514
31521,7;-5;-1,10;-5;-3,6;-6;0,9;-4;0,31521
31791,,,,,31791
31794,1;-3;-1,3;-3;0,-3;-3;4,-5;-3;-3,31794
32058,,,,,32058
32061,-6;2;0,-1;5;6,-10;10;5,-6;8;3,32061
32342,,,,,32342
32345,-1;-1;0,1;-7;-3,3;-13;-5,6;-7;-5,32345
32615,,,,,32615
32617,1;-4;-3,5;1;-1,2;0;5,1;0;1,32617
32896,,,,,32896
32898,5;-2;0,-1;-5;0,1;-7;-1,0;-6;-1,32898
33174,,,,,33174
33176,0;-2;3,6;-2;0,0;-2;4,0;-4;-1,33176
33441,,,,,33441
33451,1;-3;2,1;-3;-1,1;-3;-2,0;-2;-1,33451
33717,,,,,33717
33720,0;-3;0,0;0;0,0;-1;0,-2;0;0,33720
33991,,,,,33991
33994,-7;-3;0,0;-3;0,-1;0;1,-3;-1;-5,33994
34275,,,,,34275
34277,0;0;0,-3;-2;2,-4;0;0,-1;0;0,34277
34542,,,,,34542
34544,-3;-2;-2,-3;-1;-4,0;-1;0,-2;-2;-1,34544
34824,,,,,34824
34826,0;-2;-1,0;-2;0,1;-4;-1,5;-8;-3,34826
35104,,,,,35104
35107,9;-7;-4,9;-7;-3,10;-5;2,10;-6;1,35107
35382,,,,,35382
35389,9;-3;6,0;2;10,-11;17;22,-16;20;23,35389
35656,,,,,35656
35658,-9;10;7,-3;-13;-16,-7;-19;-26,-7;-19;-21,35658
35931,,,,,35931
35939,-10;-8;-7,-8;4;1,-4;20;5,-1;13;3,35939
36205,,,,,36205
36208,-2;-1;7,-5;-7;0,-6;-8;-3,-6;-7;-5,36208
36475,,,,,36475
36478,-2;-4;-1,-6;0;-2,-2;0;-4,-4;1;-1,36478
36754,,,,,36754
36756,-3;0;-1,-3;-3;-2,-3;-6;-6,-3;-4;-7,36756
37021,,,,,37021
37024,-4;-1;-3,-4;-2;0,0;-2;2,-2;-2;4,37024
37300,,,,,37300
37303,-2;-2;0,-4;-2;-1,-7;-1;-2,-5;0;0,37303
37570,,,,,37570
37573,-7;0;-4,-5;0;-3,-4;-1;-1,-2;-2;0,37573
37841,,,,,37841
37849,-5;-1;2,-5;0;0,-4;1;-3,-4;-1;-3,37849
38115,,,,,38115
38117,-2;0;1,-5;-1;-1,-4;-2;-3,-4;0;-5,38117
38383,,,,,38383
38386,-7;0;2,-6;3;1,-6;1;2,-9;1;-3,38386
38662,,,,,38662
38664,-7;2;2,-7;1;2,-8;3;3,-10;4;0,38664
38933,,,,,38933
38936,-13;6;0,-14;4;-2,-12;4;0,-14;4;-1,38936
39213,,,,,39213
39216,-17;3;-8,-17;3;-7,-16;3;-7,-14;3;-2,39216
39482,,,,,39482
39484,-15;3;-6,-14;0;-8,-17;2;-4,-17;7;-3,39484
39747,,,,,39747
39756,-17;4;-4,-17;3;-3,-15;3;-8,-18;2;-9,39756
40023,,,,,40023
40025,-6;-2;0,-2;0;-4,-2;-1;-4,-7;1;2,40025
40285,,,,,40285
40292,-7;0;1,-11;1;-6,-10;0;-5,-10;0;-7,40292
40561,,,,,40561
40564,-8;0;0,-11;0;0,-13;-1;-1,-12;0;-2,40564
40835,,,,,40835
40838,-17;-1;-7,-19;0;-7,-12;-1;0,-13;0;-2,40838
41111,,,,,41111
41114,-14;0;-1,-16;-1;-4,-14;-3;-3,-14;-1;-2,41114
41382,,,,,41382
41385,-15;-5;-3,-12;-4;-3,-14;-4;-6,-14;0;-6,41385
41657,,,,,41657
41660,-13;-4;-3,-13;-3;-6,-17;-5;-3,-18;-3;-2,41660
41933,,,,,41933
41936,-12;-7;-4,-14;-3;0,-13;-7;-1,-14;-11;-2,41936
42204,,,,,42204
42222,-15;-3;-2,-14;-4;-3,-16;-2;-3,-18;-4;-4,42222
42487,,,,,42487
42490,-17;-5;0,-17;-5;-3,-17;-13;-5,-17;-11;-5,42490
42757,,,,,42757
42764,-14;-5;1,-19;-5;-3,-17;-9;-3,-20;-8;-5,42764
43025,,,,,43025
43028,-19;-6;-7,-18;-4;-4,-17;-3;-5,-16;-4;-3,43028
43294,,,,,43294
43297,-18;-1;-3,-18;-6;-9,-18;-8;-2,-17;-1;-6,43297
43571,,,,,43571
43573,-19;-3;-5,-17;-7;-2,-20;-1;-4,-22;-4;-3,43573
43841,,,,,43841
43844,-22;0;-6,-21;0;-4,-22;0;-3,-20;-4;-7,43844
44114,,,,,44114
44118,-20;2;-6,-20;1;-7,-20;-3;-3,-19;-1;0,44118
44390,,,,,44390
44393,-17;-7;0,-19;-2;-7,-21;0;-5,-19;-5;-2,44393
44667,,,,,44667
44669,-20;-1;-6,-14;-5;-5,-17;-3;-4,-16;0;-2,44669
44936,,,,,44936
44938,-18;-3;-3,-17;-3;-4,-23;0;-4,-23;-3;-3,44938
45208,,,,,45208
45215,-19;1;-3,-15;1;-5,-24;-1;-3,-20;0;-2,45215
45477,,,,,45477
45480,-17;2;-3,-14;1;-6,-16;0;-4,-18;0;-1,45480
45753,,,,,45753
45762,-15;-3;-3,-17;-3;0,-12;0;-3,-8;-3;-6,45762
46036,,,,,46036
46039,-11;0;-3,-17;0;-2,-6;2;-5,-15;-4;-3,46039
46311,,,,,46311
46314,-8;1;-4,-15;2;-4,-14;0;-3,-15;-2;-7,46314
46585,,,,,46585
46588,-13;4;-2,-8;1;0,-13;2;-3,-19;4;0,46588
46855,,,,,46855
46857,-21;1;1,-13;3;-3,-14;-1;-5,-17;-3;-4,46857
47159,,,,,47159
47162,-12;-1;-8,-13;3;-6,-18;5;-8,-17;-2;-3,47162
47437,,,,,47437
47440,-17;1;-3,-14;4;-4,-10;2;-5,-14;0;0,47440
47706,,,,,47706
47713,-9;3;-1,-15;6;2,-9;7;-1,-11;4;-3,47713
47981,,,,,47981
47984,-5;0;-2,-9;1;-2,-9;3;1,-8;3;-2,47984
48253,,,,,48253
48293,-11;3;0,-10;6;0,-8;3;-1,-8;3;-1,48293
48556,,,,,48556
48558,-5;3;-3,-12;7;2,-7;5;-2,-5;2;-4,48558
48821,,,,,48821
48824,-11;4;0,-7;5;-1,-11;3;-2,-10;5;-1,48824
49105,,,,,49105
49107,-10;6;-4,-9;5;-3,-12;6;0,-12;9;-3,49107
49370,,,,,49370
49372,-8;0;-6,-9;6;-6,-11;6;-4,-11;8;2,49372
49650,,,,,49650
49652,-12;11;-3,-12;8;-4,-7;10;-1,-12;7;1,49652
49922,,,,,49922
49924,-6;4;-1,-12;9;-1,-11;11;-4,-11;8;-8,49924
50195,,,,,50195
50202,-11;10;-4,-9;14;-6,-5;9;-18,-8;4;-11,50202
50470,,,,,50470
50472,-12;10;-8,-13;4;-1,-12;5;-1,-6;7;-4,50472
50745,,,,,50745
50754,-2;8;-4,-12;10;-2,-5;6;1,-5;8;-2,50754
51027,,,,,51027
51030,-10;8;-4,-6;6;-8,-5;9;-2,-6;5;1,51030
51296,,,,,51296
51299,-2;6;1,-1;4;-6,-3;7;-8,-1;10;-6,51299
51571,,,,,51571
51574,-6;6;0,-7;9;0,-3;14;-2,-4;4;0,51574
51844,,,,,51844
51847,0;7;3,-1;8;2,5;4;-6,0;-2;4,51847
52116,,,,,52116
52119,3;1;0,2;-3;2,10;-2;1,8;-4;0,52119
52384,,,,,52384
52386,4;-3;-7,5;0;-2,4;-4;0,7;0;3,52386
52661,,,,,52661
52669,2;2;3,9;5;-7,15;0;1,10;-4;6,52669
52935,,,,,52935
52938,8;0;-1,10;4;2,8;-3;0,6;-5;-2,52938
53211,,,,,53211
53214,7;0;0,19;-4;3,3;1;2,15;3;1,53214
53486,,,,,53486
53489,11;-1;0,13;-3;0,12;6;0,16;8;0,53489
53754,,,,,53754
53756,11;-1;0,16;-5;3,14;-4;0,15;-4;4,53756
54035,,,,,54035
54037,18;-8;1,18;0;4,17;0;3,15;-1;3,54037
54306,,,,,54306
54308,16;-4;5,15;-2;0,17;-3;0,18;-5;6,54308
54574,,,,,54574
54583,14;-3;6,17;-6;2,17;-2;6,14;-1;1,54583
54844,,,,,54844
54847,16;-3;4,13;-2;0,12;-7;0,16;-2;5,54847
55112,,,,,55112
55114,16;-3;1,15;-2;3,20;-1;6,16;-1;9,55114
55387,,,,,55387
55390,13;-4;0,11;0;0,12;1;0,12;-1;4,55390
55651,,,,,55651
55654,13;-3;4,15;-4;0,18;-2;2,19;0;2,55654
55926,,,,,55926
55928,22;-2;5,24;-3;4,23;-2;4,24;-2;3,55928
56194,,,,,56194
56197,23;-1;8,18;-1;3,20;-2;4,18;0;5,56197
56471,,,,,56471
56478,14;0;2,15;-3;2,15;-3;1,14;-3;3,56478
56747,,,,,56747
56750,16;-4;0,13;-3;-2,13;0;1,16;-2;4,56750
57014,,,,,57014
57023,15;0;5,16;-1;1,15;-1;1,16;-3;0,57023
57289,,,,,57289
57291,16;-2;6,13;-1;3,11;-1;1,5;-3;1,57291
57551,,,,,57551
57554,4;-2;3,0;-2;1,-7;-3;-2,-7;-2;-2,57554
57827,,,,,57827
57830,-6;-1;0,-2;-4;-1,-6;-3;-3,-7;-1;0,57830
58097,,,,,58097
58099,-8;-2;-1,-7;-3;-2,-10;-3;-3,-7;-7;-3,58099
58378,,,,,58378
58381,-8;-9;-2,-10;-9;-2,-9;-7;-4,-5;-7;-1,58381
58653,,,,,58653
58655,-10;-9;-1,-9;-14;-3,-12;-4;-1,-13;-6;-2,58655
58923,,,,,58923
58930,-13;-5;-3,-7;-4;-5,-8;-10;-1,-10;-11;-3,58930
59204,,,,,59204
59206,-9;-9;-7,-9;-19;5,-4;-21;17,-1;-26;10,59206
59480,,,,,59480
59483,-6;-23;7,-2;-29;5,-1;-27;-1,-1;-23;-4,59483
59755,,,,,59755
59757,-2;-29;2,0;-26;1,-2;-28;0,3;-35;-4,59757
60029,,,,,60029
60033,-2;-22;3,-6;-32;0,-15;-27;-3,-11;-28;-4,60033
60311,,,,,60311
60313,-5;-33;1,-11;-27;-2,-10;-22;1,-13;-20;1,60313
60585,,,,,60585
60589,-13;-22;-2,-14;-26;-3,-10;-22;-3,-14;-22;-2,60589
60862,,,,,60862
60864,-15;-18;-2,-15;-22;-3,-9;-18;0,-10;-20;0,60864
61136,,,,,61136
61139,-14;-17;-4,-13;-19;-2,-17;-23;0,-12;-19;0,61139
61424,,,,,61424
61427,-8;-13;-3,-12;-17;-8,-11;-24;-3,-19;-21;-2,61427
61706,,,,,61706
61709,-21;-17;-3,-17;-13;-4,-12;-15;-7,-22;-13;-6,61709
61981,,,,,61981
61990,-19;-13;-4,-17;-10;-4,-19;-8;2,-18;-9;-2,61990
62257,,,,,62257
62260,-18;-7;-6,-24;-9;-7,-19;-9;-7,-26;-7;-1,62260
62540,,,,,62540
62548,-19;-4;-2,-19;-3;-7,-22;-1;-6,-18;-8;-6,62548
62820,,,,,62820
62823,-22;-2;-5,-17;0;-3,-19;-2;-4,-18;-1;-6,62823
63094,,,,,63094
63097,-19;-8;-6,-21;-3;-5,-20;-4;-3,-18;-4;0,63097
63370,,,,,63370
63373,-19;-4;-3,-20;0;-2,-17;-1;-7,-21;1;-4,63373
63634,,,,,63634
63636,-17;7;-8,-18;2;-5,-21;0;-2,-21;4;-6,63636
63909,,,,,63909
63912,-24;-4;-7,-16;-7;-2,-25;-3;-5,-21;4;-7,63912
64184,,,,,64184
64186,-24;0;-3,-20;3;-5,-23;-1;-8,-21;1;-5,64186
64460,,,,,64460
64470,-22;11;5,-19;4;5,-16;0;-4,-19;1;-13,64470
64735,,,,,64735
64738,-15;0;-9,-22;3;0,-20;-7;-1,-22;-2;-9,64738
65009,,,,,65009
65017,-24;2;0,-16;-3;-4,-16;0;-7,-22;0;-8,65017
65285,,,,,65285
65288,-24;3;-2,-20;-3;-2,-19;0;-3,-13;7;0,65288
65557,,,,,65557
65559,-11;-1;-7,-13;0;-2,-9;5;-5,-9;3;0,65559
65831,,,,,65831
65835,-12;-1;-1,-12;-2;0,-17;-2;3,-18;-1;0,65835
66102,,,,,66102
66104,-17;-1;-6,-17;0;-4,-16;1;0,-17;0;-4,66104
66411,,,,,66411
66413,-25;0;-2,-19;-2;-9,-15;0;-8,-20;1;-5,66413
66682,,,,,66682
66685,-21;0;-2,-15;4;-6,-16;0;-5,-23;4;-1,66685
66956,,,,,66956
66958,-17;0;-3,-17;4;-6,-21;9;0,-17;0;-8,66958
67223,,,,,67223
67226,-15;1;-4,-18;4;-3,-21;2;-3,-22;0;-7,67226
67492,,,,,67492
67500,-15;4;-2,-17;3;-2,-19;2;-4,-15;6;4,67500
67763,,,,,67763
67766,-24;4;-5,-18;6;-9,-18;-1;-1,-11;-2;-4,67766
68033,,,,,68033
68035,-14;6;-3,-21;-3;1,-12;8;-7,-15;-3;-3,68035
68307,,,,,68307
68311,-16;0;-4,-17;-3;-11,-10;1;-13,-9;5;-1,68311
68576,,,,,68576
68578,-19;-9;-4,-9;-6;-3,-16;3;-3,-13;5;-5,68578
68860,,,,,68860
68864,-20;-6;2,-10;-1;-7,-17;-1;-1,-11;0;-9,68864
69133,,,,,69133
69135,-13;-6;0,-9;7;-4,-13;-1;-3,-13;-7;-2,69135
69415,,,,,69415
69417,-12;-4;-9,-9;-2;-3,-16;8;-4,-5;-9;-11,69417
69689,,,,,69689
69691,-15;0;0,-7;-5;-8,-16;4;-12,-12;-1;-6,69691
69961,,,,,69961
69968,-11;9;-5,-14;-2;-3,-9;5;4,-10;-2;-4,69968
70234,,,,,70234
70237,-2;-4;-8,-10;5;-1,-7;1;-4,-1;-1;-4,70237
70510,,,,,70510
70519,-6;0;-1,-6;1;-2,-3;3;-1,-7;-6;2,70519
70790,,,,,70790
70792,-2;0;0,-4;0;-1,-3;0;4,1;2;1,70792
71062,,,,,71062
71065,0;3;-1,-1;6;3,0;4;-3,-1;1;0,71065
71341,,,,,71341
71343,0;7;-5,-1;1;-3,-7;0;0,-5;3;1,71343
71610,,,,,71610
71613,1;-6;2,-4;-3;0,-1;0;-2,0;0;-2,71613
71885,,,,,71885
71888,-5;7;-1,0;0;0,-3;1;3,0;7;-5,71888
72155,,,,,72155
72157,2;-2;-3,1;2;-2,4;8;-6,-2;-1;-3,72157
72429,,,,,72429
72436,-5;0;-2,0;3;1,-6;-3;-2,-1;2;-5,72436
72705,,,,,72705
72707,-1;-2;0,0;2;-2,0;0;1,1;7;-5,72707
72980,,,,,72980
72983,3;0;5,-1;0;6,4;1;-3,1;1;2,72983
73254,,,,,73254
73257,4;0;4,4;2;-1,9;1;-1,10;-2;7,73257
73520,,,,,73520
73522,5;4;5,8;0;2,6;-2;4,9;0;-6,73522
73797,,,,,73797
73799,13;-1;7,5;2;0,8;2;0,7;-4;2,73799
74068,,,,,74068
74071,7;1;2,14;-4;3,14;0;4,15;-1;5,74071
74339,,,,,74339
74348,14;3;1,13;2;5,16;-6;3,20;0;9,74348
74613,,,,,74613
74616,15;2;0,12;-2;1,14;-7;2,18;2;5,74616
74882,,,,,74882
74884,21;0;4,20;-1;4,15;-2;7,11;3;2,74884
75156,,,,,75156
75159,16;0;1,20;0;8,20;3;9,20;2;5,75159
75419,,,,,75419
75422,15;1;5,15;0;2,15;0;3,12;0;2,75422
75700,,,,,75700
75703,11;0;0,8;2;5,10;2;6,12;0;5,75703
75970,,,,,75970
75973,10;-2;2,10;2;0,8;2;5,4;3;7,75973
76242,,,,,76242
76250,6;1;-2,7;1;4,3;2;1,1;1;0,76250
76514,,,,,76514
76517,1;2;-2,0;0;-1,0;0;0,-3;2;0,76517
76783,,,,,76783
76786,-6;1;0,-8;0;0,-6;1;-2,-10;1;-5,76786
77060,,,,,77060
77062,-8;0;-1,-5;3;-1,-10;0;-1,-9;0;0,77062
77334,,,,,77334
77337,-15;2;-6,-16;1;-5,-13;0;-3,-14;1;-4,77337
77615,,,,,77615
77618,-18;2;-3,-19;0;-5,-17;0;-5,-16;5;-1,77618
77884,,,,,77884
77887,-21;3;-2,-21;3;-1,-19;3;-7,-19;2;-9,77887
78153,,,,,78153
78161,-24;0;-9,-24;-3;-11,-22;9;-4,-23;0;-5,78161
78435,,,,,78435
78438,-20;6;7,-22;13;0,-21;6;-8,-21;-3;-7,78438
78710,,,,,78710
78717,-18;3;-12,-19;6;-7,-18;6;-1,-22;11;-10,78717
78985,,,,,78985
78988,-23;5;-1,-17;1;-9,-20;9;0,-15;9;-1,78988
79271,,,,,79271
79273,-18;0;-17,-19;9;4,-17;16;-5,-20;8;-12,79273
79549,,,,,79549
79552,-20;17;6,-22;17;-9,-17;6;-11,-13;9;3,79552
79820,,,,,79820
79822,-11;22;-10,-8;11;0,-15;12;-11,-13;18;1,79822
80102,,,,,80102
80105,-9;11;5,-4;14;0,-12;31;-4,-11;19;-10,80105
80374,,,,,80374
80376,-4;8;-2,-11;14;-2,-9;25;-2,-14;32;-11,80376
80656,,,,,80656
80659,-17;22;-10,-6;17;-13,-9;9;-9,-4;16;-6,80659
80939,,,,,80939
80942,-13;11;8,-11;10;-4,0;7;4,-6;12;-14,80942
81212,,,,,81212
81219,-10;13;-7,-3;27;-3,-13;13;-6,-7;11;0,81219
81482,,,,,81482
81484,-8;20;-3,-12;17;2,-6;29;-11,-7;36;-6,81484
81750,,,,,81750
81753,-10;22;2,0;13;-3,-4;17;0,-7;17;7,81753
82026,,,,,82026
82029,-8;35;-7,-7;36;-1,-5;37;5,-3;25;-11,82029
82295,,,,,82295
82297,-5;14;-4,-11;21;1,0;18;0,-15;23;3,82297
82571,,,,,82571
82574,-5;23;-9,-10;39;-6,2;33;0,-12;22;4,82574
82839,,,,,82839
82842,-2;19;2,3;28;13,-6;43;-1,-6;36;0,82842
83113,,,,,83113
83117,-4;24;-7,-11;48;1,-8;32;9,-8;32;5,83117
83380,,,,,83380
83383,-5;25;-5,-11;21;0,-12;20;1,-1;8;-4,83383
83646,,,,,83646
83653,-21;11;12,-12;24;5,-10;8;0,-5;14;0,83653
83915,,,,,83915
83917,-2;18;-4,-5;14;-1,-5;17;-12,-3;6;-4,83917
84190,,,,,84190
84193,2;-8;-8,-7;1;-5,3;3;8,-2;9;4,84193
84466,,,,,84466
84468,-8;20;6,-7;-1;4,-17;11;-6,-22;-4;-2,84468
84741,,,,,84741
84744,-17;-16;-2,-11;-10;13,-2;12;-7,-16;-4;0,84744
85016,,,,,85016
85019,-20;-17;-11,-16;0;-6,-17;-1;5,-24;0;-6,85019
85292,,,,,85292
85295,-15;-2;-12,-27;-6;-6,-26;6;-7,-12;-8;-5,85295
85657,,,,,85657
85659,-11;4;-1,-33;-9;0,-27;-15;-11,-23;3;-1,85659
85929,,,,,85929
85933,-9;1;0,-20;3;0,-20;-6;-1,-20;-4;-8,85933
86203,,,,,86203
86210,-14;-5;-17,-12;7;3,-15;-1;0,-22;6;-8,86210
86475,,,,,86475
86477,-9;-7;-4,-21;-4;-8,-19;-1;-2,-24;-7;-7,86477
86743,,,,,86743
86752,-19;-4;-9,-17;-3;-16,-32;4;-7,-44;4;2,86752
87019,,,,,87019
87021,-17;6;-7,-18;0;-13,-27;-1;-16,-17;5;-13,87021
87288,,,,,87288
87290,-27;13;0,-10;6;-18,-14;8;-19,-23;-2;0,87290
87569,,,,,87569
87572,-25;10;2,-17;1;-2,-19;13;0,-17;1;0,87572
87843,,,,,87843
87846,-11;-3;-5,-9;-5;-4,-12;-1;-1,-22;11;-2,87846
88160,,,,,88160
88163,-11;-5;-9,-10;-1;-8,-22;7;-1,-17;6;4,88163
88433,,,,,88433
88435,-13;8;4,-14;16;-2,-10;13;4,-11;11;11,88435
88715,,,,,88715
88717,-12;13;-5,-18;-1;8,-14;-4;0,-15;3;0,88717
88983,,,,,88983
88985,-17;1;1,-15;-2;-7,-10;-1;-10,-15;16;-2,88985
89259,,,,,89259
89268,-7;-1;-16,-12;-1;-12,-21;7;19,-17;0;10,89268
89533,,,,,89533
89535,-15;6;-1,-20;1;3,-3;-3;1,-17;8;0,89535
89808,,,,,89808
89811,-11;7;-4,-1;4;-17,-20;7;-16,-7;16;-8,89811
90084,,,,,90084
90087,-15;4;-5,-20;6;0,-12;-5;-4,-9;6;-11,90087
90354,,,,,90354
90356,-17;11;0,-9;-2;13,-13;9;31,-13;1;-22,90356
90632,,,,,90632
90635,-12;10;-22,-12;0;5,-24;-3;-17,0;2;-1,90635
90901,,,,,90901
90903,-7;-11;7,-10;3;-6,-5;-5;-4,-8;6;2,90903
