,index,acc1,acc2,acc3,acc4,duration
172,50397,0;-1;1,0;0;-1,-1;1;0,0;0;-1,50397
173,50665,,,,,50665
174,50668,0;0;0,0;-1;0,-1;0;1,-1;-2;-1,50668
175,50937,,,,,50937
176,50945,0;0;3,-1;0;1,0;-1;1,0;0;0,50945
177,51213,,,,,51213
178,51215,0;0;0,-1;-1;1,0;0;1,-1;0;0,51215
179,51482,,,,,51482
180,51485,-1;-1;0,0;0;1,-1;-1;0,-1;1;0,51485
181,51764,,,,,51764
182,51780,0;0;0,0;0;0,0;0;0,0;0;0,51780
183,52042,,,,,52042
184,52045,0;0;0,-1;0;0,0;0;0,0;0;0,52045
185,52305,,,,,52305
186,52313,-1;0;0,0;0;0,0;0;0,-1;-1;0,52313
187,52582,,,,,52582
188,52584,0;0;0,0;0;0,1;1;0,0;-1;1,52584
189,52855,,,,,52855
190,52858,0;0;-1,0;-1;0,0;-2;0,0;-1;0,52858
191,53138,,,,,53138
192,53155,-1;0;0,-1;0;0,0;0;0,0;0;0,53155
193,53419,,,,,53419
194,53422,-1;-1;1,-1;1;-2,0;0;0,0;0;0,53422
195,53687,,,,,53687
196,53690,0;0;-2,0;0;-1,-1;0;1,-1;0;1,53690
197,53956,,,,,53956
198,53959,0;0;-1,0;0;2,0;0;0,0;0;1,53959
199,54225,,,,,54225
200,54248,0;-1;0,0;0;-1,0;0;0,0;0;0,54248
201,54524,,,,,54524
202,54528,0;-1;0,0;-1;-1,0;-1;0,0;-1;0,54528
203,54795,,,,,54795
204,54798,0;-1;2,0;0;0,0;0;2,0;0;-1,54798
205,55072,,,,,55072
206,55075,0;0;0,-1;0;0,0;0;0,1;-1;2,55075
207,55344,,,,,55344
208,55346,0;-1;-1,0;0;0,0;1;0,0;0;1,55346
209,55614,,,,,55614
210,55631,0;0;0,0;1;0,0;0;0,0;0;0,55631
211,55897,,,,,55897
212,55899,0;0;1,0;0;0,0;0;-1,0;-1;1,55899
213,56172,,,,,56172
214,56179,0;-1;0,0;0;0,0;-1;0,1;0;-1,56179
215,56446,,,,,56446
216,56450,1;0;0,0;0;-1,0;0;1,1;0;-1,56450
217,56715,,,,,56715
218,56718,0;0;-1,0;0;-1,0;1;-2,-1;0;0,56718
219,56992,,,,,56992
220,57009,0;0;0,0;0;1,0;0;1,-1;0;2,57009
221,57272,,,,,57272
222,57275,-1;0;1,0;0;2,0;1;1,0;0;0,57275
223,57535,,,,,57535
224,57542,0;0;0,-1;0;0,0;0;0,0;0;0,57542
225,57804,,,,,57804
226,57807,0;0;0,0;0;2,0;0;1,-1;0;1,57807
227,58074,,,,,58074
228,58076,0;0;0,-2;-1;2,0;0;1,0;-1;1,58076
229,58348,,,,,58348
230,58365,0;-1;0,0;0;-1,1;-1;1,0;-1;0,58365
231,58636,,,,,58636
232,58639,0;2;0,0;0;1,0;0;1,0;0;0,58639
233,58904,,,,,58904
234,58906,0;0;0,0;-1;1,0;0;0,0;0;0,58906
235,59174,,,,,59174
236,59176,-1;0;1,0;0;-1,0;0;0,0;0;0,59176
237,59438,,,,,59438
238,59460,0;0;1,0;-1;0,0;0;0,0;0;0,59460
239,59725,,,,,59725
240,59728,0;0;1,-1;0;0,0;-1;0,0;0;-1,59728
241,59994,,,,,59994
242,59997,0;-1;0,0;0;-2,0;0;-1,0;-2;-1,59997
243,60272,,,,,60272
244,60275,0;0;0,0;0;1,0;0;1,0;0;0,60275
245,60538,,,,,60538
246,60540,-1;1;3,0;0;1,-1;0;0,0;0;-2,60540
247,60802,,,,,60802
248,60824,-1;0;0,0;0;0,0;0;0,0;-1;0,60824
249,61088,,,,,61088
250,61091,-1;1;1,0;0;1,0;-1;1,0;0;2,61091
251,61351,,,,,61351
252,61353,0;0;-1,0;0;0,0;1;1,-1;0;2,61353
253,61614,,,,,61614
254,61617,0;-1;-1,-1;-1;1,-1;-1;2,0;1;1,61617
255,61877,,,,,61877
256,61880,0;0;0,1;1;1,0;0;0,0;-1;-1,61880
257,62147,,,,,62147
258,62163,0;-1;0,0;-1;1,0;0;0,-1;0;0,62163
259,62434,,,,,62434
260,62437,0;0;0,0;-1;0,0;-1;0,0;-1;0,62437
261,62697,,,,,62697
262,62704,0;0;1,0;0;0,-1;0;1,0;0;0,62704
263,62965,,,,,62965
264,62968,0;0;0,0;0;0,0;-1;0,-1;0;0,62968
265,63234,,,,,63234
266,63237,0;-1;0,0;0;0,0;-1;1,0;0;0,63237
267,63516,,,,,63516
268,63533,0;-2;1,0;0;0,0;0;-1,0;0;-2,63533
269,63804,,,,,63804
270,63807,-1;0;1,0;0;0,0;0;-1,1;0;0,63807
271,64070,,,,,64070
272,64073,0;0;1,-1;0;2,0;0;1,0;0;0,64073
273,64342,,,,,64342
274,64345,0;0;-1,0;0;0,0;0;1,0;0;1,64345
275,64605,,,,,64605
276,64627,0;-1;1,0;0;0,-1;0;0,-1;0;1,64627
277,64891,,,,,64891
278,64894,0;0;0,0;-1;-1,-1;-1;0,0;0;1,64894
279,65155,,,,,65155
280,65158,0;0;-2,0;0;-2,0;-1;0,0;0;0,65158
281,65431,,,,,65431
282,65434,0;-1;2,0;0;0,0;-1;1,-1;0;0,65434
283,65702,,,,,65702
284,65705,-1;0;0,1;0;0,0;0;0,0;-1;0,65705
285,65968,,,,,65968
286,65991,0;0;-1,0;0;0,0;0;0,-2;-1;0,65991
287,66269,,,,,66269
288,66272,0;0;1,0;0;2,0;-1;-1,0;0;1,66272
289,66538,,,,,66538
290,66541,0;0;0,-1;0;3,0;0;2,0;-1;1,66541
291,66807,,,,,66807
292,66809,0;0;0,0;0;1,0;0;0,0;0;2,66809
293,67076,,,,,67076
294,67079,0;-1;0,0;0;0,-1;0;1,0;0;0,67079
295,67358,,,,,67358
296,67388,0;0;1,0;-1;-1,0;0;0,0;0;-1,67388
297,67658,,,,,67658
298,67660,0;-1;0,-1;0;0,0;0;0,0;0;0,67660
299,67924,,,,,67924
300,67933,0;0;0,0;0;0,0;-1;1,-1;-1;0,67933
301,68196,,,,,68196
302,68199,0;0;0,0;0;1,0;-1;0,0;0;1,68199
303,68470,,,,,68470
304,68473,0;0;0,0;0;0,0;0;1,-1;-2;1,68473
305,68742,,,,,68742
306,68759,0;0;0,0;-1;0,0;0;-1,0;0;1,68759
307,69027,,,,,69027
308,69030,0;0;0,0;0;0,0;0;1,0;0;0,69030
309,69297,,,,,69297
310,69304,0;0;2,0;1;0,0;-1;1,-1;0;-1,69304
311,69566,,,,,69566
312,69569,0;0;0,0;0;0,0;-1;0,0;-1;-1,69569
313,69835,,,,,69835
314,69872,-1;0;2,0;0;1,0;0;2,0;0;2,69872
315,70135,,,,,70135
316,70137,-1;0;1,0;0;2,0;0;0,0;0;1,70137
317,70411,,,,,70411
318,70414,0;0;0,0;0;-1,0;-2;0,0;0;0,70414
319,70685,,,,,70685
320,70688,0;0;0,0;0;0,0;0;0,0;0;0,70688
321,70958,,,,,70958
322,70961,0;0;2,0;0;0,0;0;0,-1;0;1,70961
323,71232,,,,,71232
324,71255,0;0;-1,0;0;1,0;0;0,-2;0;0,71255
325,71524,,,,,71524
326,71527,0;-1;0,0;-1;0,0;0;-2,0;0;0,71527
327,71787,,,,,71787
328,71789,0;0;0,0;0;0,0;-1;0,0;0;0,71789
329,72061,,,,,72061
330,72065,-1;0;1,0;0;0,0;0;0,0;0;1,72065
331,72325,,,,,72325
332,72328,0;1;1,1;1;0,0;-1;0,-1;0;0,72328
333,72599,,,,,72599
334,72616,0;0;0,-1;0;0,0;0;0,1;-2;1,72616
335,72888,,,,,72888
336,72891,0;0;0,-1;0;0,0;-1;0,0;0;0,72891
337,73151,,,,,73151
338,73158,0;0;0,0;0;0,0;-2;0,-1;0;0,73158
339,73425,,,,,73425
340,73428,0;0;0,0;0;1,0;-1;0,-1;-1;0,73428
341,73695,,,,,73695
342,73698,0;1;0,0;-1;0,0;0;0,0;0;0,73698
343,73971,,,,,73971
344,73989,0;0;0,0;0;-1,0;0;0,0;0;0,73989
345,74252,,,,,74252
346,74255,0;-2;0,0;0;-2,0;0;0,-1;0;0,74255
347,74515,,,,,74515
348,74522,0;-1;-1,-1;0;0,-1;0;0,0;0;0,74522
349,74789,,,,,74789
350,74792,0;0;1,0;0;0,-1;-1;0,-1;-1;-1,74792
351,75053,,,,,75053
352,75056,0;0;0,-1;0;1,-1;-2;0,0;0;1,75056
353,75328,,,,,75328
354,75344,0;0;1,0;-1;1,-1;-1;0,0;0;-1,75344
355,75616,,,,,75616
356,75619,0;0;1,0;0;0,-1;0;-1,-1;0;-1,75619
357,75882,,,,,75882
358,75885,0;1;-1,0;0;0,0;0;0,0;0;0,75885
359,76153,,,,,76153
360,76156,0;0;0,0;0;0,0;-2;-1,-1;-1;0,76156
361,76416,,,,,76416
362,76438,0;0;0,0;0;-2,0;0;0,0;0;0,76438
363,76704,,,,,76704
364,76707,0;0;-1,0;1;0,0;0;0,0;0;1,76707
365,76982,,,,,76982
366,76984,0;0;0,0;0;-1,0;-1;0,1;0;0,76984
367,77266,,,,,77266
368,77270,-1;-1;0,0;0;1,-1;-1;1,0;0;1,77270
369,77530,,,,,77530
370,77533,0;0;1,-1;0;2,0;0;1,-1;0;2,77533
371,77798,,,,,77798
372,77815,-1;-1;0,0;0;0,0;0;0,0;0;1,77815
373,78081,,,,,78081
374,78084,0;-1;0,0;0;0,0;0;0,0;-1;0,78084
375,78351,,,,,78351
376,78358,-1;0;1,0;-1;0,-2;0;0,0;-1;0,78358
377,78623,,,,,78623
378,78626,0;0;2,0;-1;1,0;0;1,0;0;1,78626
379,78894,,,,,78894
380,78897,0;0;1,0;-1;0,0;-1;-1,0;0;-2,78897
381,79164,,,,,79164
