,acc1,acc2,acc3,acc4
99973,,,,
99975,2;-2;1,1;-1;-1,0;0;-1,1;1;-2
100247,,,,
100249,1;0;1,2;-1;1,2;-1;1,1;0;-3
100516,,,,
100526,0;0;0,2;0;2,1;-2;0,1;0;2
100795,,,,
100798,1;0;0,1;0;-2,0;-3;-1,2;0;2
101068,,,,
101076,1;-1;2,0;-1;0,1;-1;-2,1;0;-1
101347,,,,
101350,3;0;2,2;-1;2,2;-1;0,0;0;-1
101617,,,,
101619,1;0;3,3;0;2,2;-1;1,1;-2;2
101890,,,,
101893,0;-1;2,0;0;-1,0;-1;1,1;0;1
102171,,,,
102174,1;0;-1,0;0;0,1;0;-3,1;0;-2
102447,,,,
102450,3;0;3,3;0;2,1;-2;3,1;-2;0
102718,,,,
102720,1;1;4,1;0;1,2;-3;2,2;-1;2
102984,,,,
102993,0;0;0,0;-1;0,2;1;2,3;1;4
103260,,,,
103263,0;0;0,1;0;2,1;1;1,3;-1;2
103526,,,,
103533,0;-1;0,1;0;-2,1;-2;0,1;0;0
103797,,,,
103800,1;0;0,3;0;0,2;-1;3,2;-1;3
104060,,,,
104064,1;-2;0,1;-2;1,1;0;2,1;-1;1
104336,,,,
104338,0;0;-1,1;0;1,1;0;0,1;0;2
104599,,,,
104601,1;-2;0,1;0;0,1;0;-1,1;-1;0
104875,,,,
104878,1;-2;1,0;-1;0,0;0;-1,0;0;-1
105147,,,,
105149,2;-2;2,1;-2;0,1;0;-1,1;0;-2
105417,,,,
105420,3;0;2,2;-2;0,2;-1;-1,1;0;0
105680,,,,
105683,2;-2;3,0;0;0,0;0;-1,1;-2;0
105947,,,,
105954,3;0;1,1;-3;0,3;-2;-2,1;0;-2
106220,,,,
106222,3;-2;1,2;0;2,2;0;3,1;-3;1
106496,,,,
106504,1;0;-1,0;-1;0,0;0;-2,1;0;-3
106781,,,,
106784,1;1;3,1;-1;-1,2;-1;-1,0;0;-1
107048,,,,
107052,1;-2;2,1;0;3,2;0;3,0;-2;4
107327,,,,
107329,2;0;-1,3;0;0,0;-1;-1,4;-4;-4
107597,,,,
107600,0;0;2,0;0;5,-1;0;0,0;0;0
107875,,,,
107877,3;-4;-3,1;0;-1,0;0;0,2;0;-3
108140,,,,
108142,2;0;3,29;44;8,20;-11;-2,2;-4;4
108419,,,,
108422,3;1;0,2;0;2,4;-2;3,3;0;4
108686,,,,
108688,1;-1;-3,0;0;-1,0;0;-4,0;-3;-2
108953,,,,
108962,2;-1;3,1;0;2,2;-1;1,1;-1;0
109229,,,,
109232,0;-1;2,1;1;0,1;0;2,0;-1;0
109504,,,,
109512,0;0;0,1;0;2,2;-2;-1,1;0;0
109778,,,,
109782,3;-2;2,1;-2;0,2;-1;0,1;-2;1
110054,,,,
110057,1;0;3,0;0;2,2;3;1,1;-1;3
110329,,,,
110332,4;-1;0,2;0;-1,0;0;-2,2;-3;-3
110605,,,,
110607,2;-1;0,0;-1;-4,0;-1;-5,0;0;-4
110877,,,,
110880,3;-1;3,2;-1;2,0;0;0,2;0;-2
111144,,,,
111148,0;0;2,1;-1;4,2;-2;2,0;-1;-2
111423,,,,
111426,0;0;0,0;0;4,2;-1;3,2;0;2
111693,,,,
111696,1;0;0,0;0;-2,1;-1;-1,0;0;0
111969,,,,
111976,0;-1;0,0;-1;-2,0;-1;0,1;0;-3
112237,,,,
112240,2;-1;3,2;-1;3,1;-1;-1,1;-2;-3
112506,,,,
112515,1;0;0,3;0;1,2;0;2,3;-1;5
112781,,,,
112784,0;0;-3,4;0;1,3;-1;0,3;-2;4
113044,,,,
113047,0;0;-3,3;0;1,2;0;2,3;0;3
113408,,,,
113410,-2;-1;-3,0;-1;0,0;0;1,3;1;4
113670,,,,
113672,0;-2;-4,0;0;-3,0;0;0,-1;-1;-2
113938,,,,
113941,1;0;3,2;-2;1,1;-1;0,1;-1;-2
114208,,,,
114211,4;0;3,2;-1;3,0;-2;0,2;0;1
114483,,,,
114486,0;-2;-1,2;1;1,2;0;2,4;-3;1
114746,,,,
114749,4;-1;0,1;0;0,2;2;2,5;0;1
115021,,,,
115030,8;-3;4,4;-1;2,2;0;1,2;-1;1
115296,,,,
115299,0;-1;0,0;-1;2,3;-1;-1,0;-1;2
115559,,,,
115567,1;-2;0,4;-1;2,0;-2;2,1;1;2
115834,,,,
115837,6;-1;0,2;0;1,2;-1;1,3;-3;2
116098,,,,
116100,7;-4;0,7;-1;-2,8;0;1,6;-4;1
116374,,,,
116376,6;-4;0,6;-3;0,6;0;3,6;-2;2
116648,,,,
116652,6;-4;3,8;2;0,12;-6;0,8;-2;0
116926,,,,
116928,7;-4;1,7;-2;0,3;-3;0,7;-2;0
117199,,,,
117202,5;-1;1,2;-3;0,2;1;-1,0;1;1
117479,,,,
117482,2;2;0,0;0;0,0;3;0,0;0;1
117749,,,,
117752,-1;0;0,3;0;-2,0;0;0,3;2;-1
118019,,,,
118026,4;0;-1,2;0;0,5;0;0,6;1;2
118288,,,,
118290,4;0;1,2;0;4,2;1;5,7;-3;2
118568,,,,
118578,8;0;0,3;0;0,3;-1;-1,4;-3;2
118838,,,,
118841,5;0;0,4;0;0,4;2;3,3;1;2
119115,,,,
119118,4;0;0,5;-3;-1,4;-1;0,3;-1;0
119389,,,,
119392,7;-1;1,6;-1;1,3;0;2,5;0;-1
119658,,,,
119660,0;0;0,0;0;1,-1;-2;0,3;0;0
119934,,,,
119938,2;-1;0,3;0;-1,3;-2;-2,0;-1;0
120202,,,,
120205,-1;1;2,4;0;4,1;2;1,3;-1;1
120481,,,,
120484,3;1;1,7;0;0,0;2;1,2;-1;0
120753,,,,
120756,5;0;0,3;0;0,0;2;0,4;-1;-2
121022,,,,
121030,0;4;3,5;3;2,1;0;2,3;0;0
121296,,,,
121299,5;-4;0,4;-3;0,1;-2;0,3;-1;1
121572,,,,
121579,1;-1;1,2;-2;0,3;-1;-1,0;-1;0
121854,,,,
121858,2;-1;0,0;-1;0,0;0;-1,2;0;0
122126,,,,
122134,0;-1;3,0;0;-2,1;-2;-1,-1;0;1
122404,,,,
122407,-3;-1;1,0;-3;0,0;-1;1,2;-4;0
122675,,,,
122677,-1;-2;1,1;0;1,0;0;-2,1;0;0
122941,,,,
122944,-2;1;3,1;1;2,0;-2;-3,-1;-1;-5
123217,,,,
123220,1;-1;1,0;0;-3,-2;-1;0,2;-3;0
123493,,,,
123495,-3;-3;2,2;-5;1,1;-5;0,0;-3;1
123761,,,,
123764,-4;-1;0,0;-1;0,0;0;0,4;-2;0
124035,,,,
124038,2;0;0,4;0;0,2;0;0,4;0;-3
124300,,,,
124302,3;-1;3,4;-2;0,7;-3;0,7;0;0
124569,,,,
124578,7;-1;0,4;0;2,6;0;0,3;0;2
124845,,,,
124848,2;0;-1,1;-1;3,3;-1;0,3;-2;0
125115,,,,
125123,1;-1;2,2;-2;0,0;-1;0,1;-1;0
125394,,,,
125398,1;-1;1,2;-1;2,4;-2;-1,0;0;1
125667,,,,
125670,3;-2;0,-1;-1;0,0;0;1,3;-1;0
125952,,,,
125955,1;-2;0,2;-1;-1,0;0;-1,0;-2;0
126220,,,,
126223,0;-1;1,3;-1;0,2;-1;1,2;0;2
126495,,,,
126498,0;1;3,0;0;0,0;-1;-1,0;0;-3
126770,,,,
126772,2;0;0,2;0;0,2;-1;-1,1;-1;0
127040,,,,
127043,3;0;-1,4;-3;0,4;0;-2,2;-2;-1
127308,,,,
127311,3;-2;0,3;0;4,6;0;1,9;1;4
127582,,,,
127585,6;-2;1,3;2;1,0;0;6,-4;2;8
127846,,,,
127849,-6;4;1,-2;0;0,0;-1;-4,1;-6;-5
128121,,,,
128130,0;-10;-6,0;-7;-4,1;-2;-3,-2;-3;2
128397,,,,
128400,-4;-1;-3,-1;0;-1,-3;-1;2,-1;0;1
128674,,,,
128681,0;3;-2,-1;1;0,-3;-2;1,-4;-4;0
128949,,,,
128951,-1;-3;-3,-4;-2;0,0;-4;0,-2;-3;-1
129225,,,,
129228,-1;-1;0,-2;-2;-2,-2;0;-1,-5;-1;0
129499,,,,
129501,-3;-1;0,-3;0;-2,-5;-2;-1,-5;-3;0
129774,,,,
129777,-4;-2;-6,-1;-3;-3,-2;-5;0,0;-4;1
130049,,,,
130051,2;-5;-3,4;-9;-6,6;-7;-5,3;-3;-3
130325,,,,
130328,7;-2;3,4;5;3,-4;10;15,-18;26;26
130607,,,,
130609,-22;26;27,-8;9;2,-2;-3;-17,-3;-10;-34
130880,,,,
130883,-3;-15;-25,0;-9;-5,4;3;-2,6;10;3
131161,,,,
131164,4;5;15,0;-1;9,0;-5;0,2;-9;-5
131431,,,,
131434,-6;-6;1,-9;-10;2,-11;-3;3,-10;0;6
131734,,,,
131737,1;8;0,0;11;2,-1;7;0,-4;2;0
132000,,,,
132003,-7;-3;-5,-12;0;-3,-13;5;-2,-11;7;-2
132276,,,,
132284,-10;10;-3,-10;7;-4,-11;8;1,-13;7;3
132551,,,,
132554,-16;6;-4,-15;2;-7,-17;5;-7,-16;5;-6
132820,,,,
132829,-14;8;0,-12;5;0,-13;6;-1,-12;1;-3
133097,,,,
133100,-14;4;-3,-14;6;-2,-13;1;-3,-18;3;-4
133371,,,,
133379,-20;3;-3,-17;3;-7,-18;2;-6,-8;1;-6
133646,,,,
133649,-1;-1;2,-3;-1;2,-8;0;3,-7;0;3
133920,,,,
133923,-12;0;-1,-10;2;-1,-13;1;-1,-12;0;0
134234,,,,
134237,-13;-1;-7,-15;1;-6,-15;0;-1,-12;-1;-1
134506,,,,
134508,-14;-2;-2,-13;-1;-4,-13;0;-3,-15;-3;-2
134778,,,,
134780,-15;-2;0,-10;-1;-3,-14;0;-1,-10;-2;-4
135054,,,,
135057,-10;-3;-2,-14;-3;-1,-14;-4;-4,-11;-4;-5
135329,,,,
135331,-13;-1;-4,-17;-2;-2,-15;-5;-3,-16;-3;-3
135600,,,,
135603,-18;-1;-3,-16;-2;-4,-15;-3;-2,-15;-2;-6
135879,,,,
135882,-18;0;-3,-17;-2;-6,-15;-2;-4,-18;0;-6
136151,,,,
136153,-16;2;-7,-18;-3;-7,-18;1;-5,-17;0;-4
136423,,,,
136426,-17;-1;-5,-16;1;-5,-16;-3;-1,-17;5;-2
136693,,,,
136695,-16;4;-6,-18;0;0,-16;2;-3,-15;7;-7
136973,,,,
136975,-18;2;-2,-14;3;-1,-16;0;-2,-17;4;-3
137244,,,,
137247,-19;3;-1,-16;6;-5,-15;0;-6,-17;4;-1
137515,,,,
137524,-14;0;0,-17;0;-3,-15;0;-1,-15;1;-4
137794,,,,
137797,-14;-1;-7,-16;-3;-1,-13;6;-7,-19;-1;-2
138068,,,,
138077,-11;0;-4,-12;2;-3,-15;0;-4,-14;-4;-3
138354,,,,
138357,-14;6;0,-14;3;-1,-16;-1;-3,-12;0;-3
138619,,,,
138629,-11;1;-1,-15;0;-3,-14;4;-7,-6;1;-7
138895,,,,
138898,-14;0;0,-17;5;-3,-11;5;-4,-11;2;-3
139170,,,,
139177,-17;2;0,-13;2;-2,-7;3;-5,-14;-1;-3
139446,,,,
139449,-15;1;-3,-13;-1;-2,-18;2;0,-18;1;1
139721,,,,
139729,-11;1;-3,-13;4;-2,-12;5;-5,-13;0;-3
139996,,,,
139999,-13;3;-4,-12;0;-4,-18;3;0,-13;2;-7
140271,,,,
140274,-15;1;-1,-12;1;-7,-14;0;-3,-17;4;-1
140546,,,,
140549,-16;8;-3,-6;0;-2,-10;2;-6,-10;1;-2
140824,,,,
140827,-7;1;-3,-15;-2;-4,-12;3;-2,-7;4;-3
141109,,,,
141112,-8;0;-3,-8;3;-2,-13;0;-1,-9;0;-4
141373,,,,
141376,-10;1;-1,-13;3;-2,-13;2;-4,-11;0;-4
141647,,,,
141650,-10;1;-4,-9;4;-6,-11;1;-5,-12;0;-2
141917,,,,
141920,-9;3;-1,-12;-3;-1,-9;5;-2,-13;2;0
142193,,,,
142195,-12;4;-4,-14;3;3,-12;3;-1,-9;2;-3
142460,,,,
142464,-13;2;-5,-10;1;-2,-10;7;-7,-11;2;0
142740,,,,
142743,-11;5;-4,-12;3;0,-10;1;-2,-10;5;-1
143010,,,,
143013,-10;0;-3,-13;0;-3,-7;8;-5,-12;2;0
143281,,,,
143284,-12;5;-4,-7;2;-6,-12;5;-1,-13;3;-5
143566,,,,
143569,-12;3;-4,-9;6;-3,-10;2;-1,-13;4;1
143837,,,,
143844,-13;4;0,-9;7;0,-6;4;-9,-6;1;-3
144114,,,,
144116,-5;5;-1,-5;5;3,-6;6;2,-6;3;0
144385,,,,
144394,-4;7;0,-3;7;0,-3;5;1,-2;3;-3
144657,,,,
144660,0;10;-3,-3;4;-4,-4;5;0,-5;6;-3
144926,,,,
144933,-3;6;-1,0;5;-3,0;2;-3,-2;0;-2
145201,,,,
145204,-1;7;-5,-2;4;1,-2;3;-3,-4;2;-3
145477,,,,
145479,-2;4;-1,0;7;-2,0;8;0,1;0;5
145753,,,,
145756,0;4;1,0;3;2,3;0;1,0;1;-4
146021,,,,
146024,0;6;-1,0;5;-2,-1;0;2,-1;3;-3
146304,,,,
146307,-3;0;-1,0;2;-5,0;0;1,0;5;-1
146571,,,,
146574,-3;5;-4,-3;0;-1,-5;4;0,0;6;-3
146845,,,,
146848,0;-1;1,1;2;1,0;1;-1,-2;1;-5
147116,,,,
147119,-1;0;-1,2;0;-4,0;1;-1,0;0;0
147391,,,,
147398,-2;2;-1,0;3;-2,-5;5;-1,1;6;1
147665,,,,
147668,0;3;0,-1;2;-1,1;4;-1,1;1;-1
147944,,,,
147952,3;0;-2,3;6;-4,0;3;-2,5;1;0
148216,,,,
148219,6;3;-2,5;6;0,6;0;-1,5;1;-3
148486,,,,
148493,4;1;0,3;0;4,11;0;0,8;7;0
148755,,,,
148757,6;5;-2,7;-1;-1,5;5;-2,6;-1;6
149029,,,,
149032,9;4;-1,9;-1;0,7;1;0,13;2;1
149305,,,,
149307,12;2;0,7;-1;3,9;-3;6,13;2;2
149573,,,,
149576,13;0;1,12;-2;1,17;1;1,16;3;0
149842,,,,
149846,12;0;2,16;0;0,16;1;2,20;0;2
150116,,,,
150118,17;1;2,16;0;1,17;0;0,11;0;0
150389,,,,
150392,11;2;5,14;0;7,11;0;8,16;-4;1
150657,,,,
150660,13;-1;1,14;0;5,15;-1;5,17;-1;2
150966,,,,
150969,15;1;0,17;-1;2,16;-1;-3,13;-2;1
151232,,,,
151235,16;-1;5,15;0;8,19;2;9,17;2;7
151507,,,,
151516,20;-4;4,21;0;3,22;-1;-1,22;-2;0
151783,,,,
151786,19;-6;5,16;0;5,14;2;3,18;2;3
152057,,,,
152065,16;0;3,15;0;6,15;-2;3,13;-3;3
152333,,,,
152335,11;-1;0,6;0;0,1;-1;-1,-4;0;2
152608,,,,
