,index,acc1,acc2,acc3,acc4,duration,utcdate
47,42592,,,,,42592,2021-11-24
48,42595,0;14;-4,-2;16;1,1;17;-3,0;16;0,42595,2021-11-24
49,42860,,,,,42860,2021-11-24
50,42863,0;11;2,0;9;0,0;8;0,-1;12;-1,42863,2021-11-24
51,43132,,,,,43132,2021-11-24
52,43136,-1;11;0,1;9;0,0;12;4,2;15;3,43136,2021-11-24
53,43397,,,,,43397,2021-11-24
54,43400,4;14;2,2;15;0,1;13;4,2;10;0,43400,2021-11-24
55,43666,,,,,43666,2021-11-24
56,43674,7;5;0,7;8;-2,10;4;0,14;4;2,43674,2021-11-24
57,43935,,,,,43935,2021-11-24
58,43937,18;5;3,16;3;2,17;0;5,16;0;4,43937,2021-11-24
59,44204,,,,,44204,2021-11-24
60,44207,15;-2;4,16;-3;2,15;-3;5,16;-5;4,44207,2021-11-24
61,44481,,,,,44481,2021-11-24
62,44484,15;-3;4,15;-3;6,18;-2;1,14;-4;3,44484,2021-11-24
63,44754,,,,,44754,2021-11-24
64,44758,13;-6;3,12;-3;5,11;-2;3,9;-4;2,44758,2021-11-24
65,45030,,,,,45030,2021-11-24
66,45032,11;-4;3,9;-1;2,11;-6;0,8;-2;3,45032,2021-11-24
67,45302,,,,,45302,2021-11-24
68,45304,9;-3;0,8;-5;1,9;-4;1,8;-4;1,45304,2021-11-24
69,45568,,,,,45568,2021-11-24
70,45576,10;-6;1,10;-4;4,10;-7;2,11;-6;4,45576,2021-11-24
71,45843,,,,,45843,2021-11-24
72,45846,11;-6;3,11;-7;2,9;-7;2,11;-6;6,45846,2021-11-24
73,46107,,,,,46107,2021-11-24
74,46109,11;-7;3,11;-7;4,10;-6;3,9;-6;3,46109,2021-11-24
75,46383,,,,,46383,2021-11-24
76,46386,9;-7;2,10;-6;5,9;-6;3,9;-4;2,46386,2021-11-24
77,46654,,,,,46654,2021-11-24
78,46657,8;-4;2,8;-6;3,9;-6;1,8;-6;0,46657,2021-11-24
79,46929,,,,,46929,2021-11-24
80,46932,8;-5;0,6;-6;2,5;-4;0,1;-5;0,46932,2021-11-24
81,47201,,,,,47201,2021-11-24
82,47203,3;-3;0,5;-4;0,4;-2;0,2;-5;0,47203,2021-11-24
83,47463,,,,,47463,2021-11-24
84,47472,2;-3;0,3;-4;1,3;-1;0,3;-5;0,47472,2021-11-24
85,47739,,,,,47739,2021-11-24
86,47742,4;-2;0,4;-4;0,5;-4;3,2;-4;2,47742,2021-11-24
87,48012,,,,,48012,2021-11-24
88,48014,3;-6;2,2;-3;3,4;-2;2,2;-5;0,48014,2021-11-24
89,48290,,,,,48290,2021-11-24
90,48293,3;-1;2,3;-5;1,4;-1;0,4;-4;0,48293,2021-11-24
91,48563,,,,,48563,2021-11-24
92,48565,2;-1;2,1;-8;3,3;-6;2,4;-3;-1,48565,2021-11-24
93,48833,,,,,48833,2021-11-24
94,48836,4;-3;1,0;-3;1,0;-2;0,0;-2;0,48836,2021-11-24
95,49102,,,,,49102,2021-11-24
96,49105,-2;-2;0,-1;-1;0,-2;-1;-1,-1;0;-1,49105,2021-11-24
97,49366,,,,,49366,2021-11-24
98,49373,-2;-1;-1,-1;-2;-1,-2;0;0,-4;0;1,49373,2021-11-24
99,49641,,,,,49641,2021-11-24
100,49643,1;-1;0,0;-2;0,0;-2;0,0;-3;0,49643,2021-11-24
101,49914,,,,,49914,2021-11-24
102,49917,-1;-3;1,0;-4;-1,-1;-2;1,0;-4;0,49917,2021-11-24
103,50192,,,,,50192,2021-11-24
104,50194,0;-4;-1,-1;0;-1,-1;-2;0,-2;-3;0,50194,2021-11-24
105,50464,,,,,50464,2021-11-24
106,50466,0;-2;0,0;-3;-1,-1;-3;0,0;-2;1,50466,2021-11-24
107,50736,,,,,50736,2021-11-24
108,50738,0;-5;2,0;-3;1,0;-5;0,-1;-4;-1,50738,2021-11-24
109,51005,,,,,51005,2021-11-24
110,51008,0;-5;0,0;-7;1,0;-5;1,0;-5;0,51008,2021-11-24
111,51279,,,,,51279,2021-11-24
112,51289,2;-7;1,8;-9;-1,1;-5;0,0;-4;0,51289,2021-11-24
113,51555,,,,,51555,2021-11-24
114,51558,0;-2;0,0;-5;2,0;-5;0,1;-4;0,51558,2021-11-24
115,51830,,,,,51830,2021-11-24
116,51833,2;-5;1,1;-7;0,2;-6;0,1;-8;-1,51833,2021-11-24
117,52106,,,,,52106,2021-11-24
118,52109,1;-5;0,1;-2;0,1;-4;0,2;-6;0,52109,2021-11-24
119,52381,,,,,52381,2021-11-24
120,52383,2;-6;0,0;-4;3,2;-2;0,2;-4;1,52383,2021-11-24
121,52657,,,,,52657,2021-11-24
122,52660,3;-4;0,1;-4;0,3;-2;2,3;-3;1,52660,2021-11-24
123,52932,,,,,52932,2021-11-24
124,52934,1;-5;1,2;-5;0,4;-4;0,5;-5;0,52934,2021-11-24
125,53207,,,,,53207,2021-11-24
126,53214,7;-3;2,6;-1;3,6;-1;3,7;-3;2,53214,2021-11-24
127,53482,,,,,53482,2021-11-24
128,53484,6;-4;2,5;-2;1,5;-3;0,6;-3;1,53484,2021-11-24
129,53745,,,,,53745,2021-11-24
130,53747,5;-3;1,5;-5;1,5;-2;0,5;0;2,53747,2021-11-24
131,54020,,,,,54020,2021-11-24
132,54023,9;-3;4,9;-2;2,10;-3;1,8;-4;1,54023,2021-11-24
133,54283,,,,,54283,2021-11-24
134,54286,8;-2;2,10;-3;4,10;-2;1,12;-3;1,54286,2021-11-24
135,54577,,,,,54577,2021-11-24
136,54580,11;-6;4,9;-3;2,9;-1;4,10;-4;1,54580,2021-11-24
137,54846,,,,,54846,2021-11-24
138,54848,11;-3;2,10;-3;1,10;-3;3,8;-4;3,54848,2021-11-24
139,55121,,,,,55121,2021-11-24
140,55130,9;-3;1,8;-3;3,9;-3;2,9;-2;1,55130,2021-11-24
141,55397,,,,,55397,2021-11-24
142,55399,7;-3;2,7;-1;4,9;-3;0,8;-3;1,55399,2021-11-24
143,55671,,,,,55671,2021-11-24
144,55680,9;-3;3,7;-3;1,9;-3;2,9;-1;2,55680,2021-11-24
145,55947,,,,,55947,2021-11-24
146,55949,8;-3;1,9;-2;2,8;-4;2,8;-1;4,55949,2021-11-24
147,56212,,,,,56212,2021-11-24
148,56214,7;-4;1,9;-3;2,8;-3;3,8;-4;0,56214,2021-11-24
149,56493,,,,,56493,2021-11-24
150,56495,8;-3;3,7;-3;2,7;-4;2,1;-2;5,56495,2021-11-24
151,56760,,,,,56760,2021-11-24
152,56763,2;-5;1,5;-4;1,4;-4;1,2;-4;0,56763,2021-11-24
153,57022,,,,,57022,2021-11-24
154,57029,3;-1;-1,5;-3;0,2;-2;2,3;-6;0,57029,2021-11-24
155,57300,,,,,57300,2021-11-24
156,57304,4;-2;1,4;-2;0,4;-4;0,3;-1;1,57304,2021-11-24
157,57568,,,,,57568,2021-11-24
158,57571,3;-1;2,2;-4;1,3;-3;3,4;-4;1,57571,2021-11-24
159,57854,,,,,57854,2021-11-24
160,57857,2;-1;0,4;-3;0,2;-3;0,2;-1;2,57857,2021-11-24
161,58124,,,,,58124,2021-11-24
162,58127,3;-4;3,4;-1;2,4;-4;1,2;-1;-1,58127,2021-11-24
163,58405,,,,,58405,2021-11-24
164,58407,0;-4;0,1;-1;-1,1;-4;-1,1;-2;-1,58407,2021-11-24
165,58680,,,,,58680,2021-11-24
166,58683,0;-2;-1,-2;-5;-1,0;-3;-1,-1;-4;1,58683,2021-11-24
167,58944,,,,,58944,2021-11-24
168,58953,-2;-2;0,-2;-3;0,-3;-5;-3,-3;-3;-2,58953,2021-11-24
169,59220,,,,,59220,2021-11-24
170,59224,-2;-1;0,-5;-2;0,-4;-2;0,-4;-2;0,59224,2021-11-24
171,59491,,,,,59491,2021-11-24
172,59498,-11;1;1,-4;-2;-4,-8;-2;1,-9;-6;-2,59498,2021-11-24
173,59763,,,,,59763,2021-11-24
174,59766,-12;-3;0,-13;2;-4,-14;-5;-3,-12;-3;-3,59766,2021-11-24
175,60040,,,,,60040,2021-11-24
176,60043,-20;6;-1,-10;0;-3,-10;-2;-6,-12;-4;-2,60043,2021-11-24
177,60313,,,,,60313,2021-11-24
178,60316,-12;-3;-5,-11;-3;-2,-15;0;-2,-13;0;-6,60316,2021-11-24
179,60582,,,,,60582,2021-11-24
180,60585,-13;0;-3,-13;-3;-1,-12;-2;0,-11;-1;-1,60585,2021-11-24
181,60863,,,,,60863,2021-11-24
182,60866,-7;-2;-1,-4;-2;-2,-3;-3;-1,-1;-2;0,60866,2021-11-24
183,61139,,,,,61139,2021-11-24
184,61143,0;-2;1,2;0;0,1;0;0,4;0;2,61143,2021-11-24
185,61413,,,,,61413,2021-11-24
186,61421,3;0;0,1;-1;2,5;9;-3,4;-1;-1,61421,2021-11-24
187,61690,,,,,61690,2021-11-24
188,61693,7;-7;-4,-3;-5;2,0;-2;2,-1;-3;0,61693,2021-11-24
189,61961,,,,,61961,2021-11-24
190,61968,-4;-2;-1,-1;-2;-2,-3;-4;1,-1;-3;1,61968,2021-11-24
191,62230,,,,,62230,2021-11-24
192,62233,-1;-2;1,0;-4;-1,1;-4;0,3;0;0,62233,2021-11-24
193,62503,,,,,62503,2021-11-24
194,62507,4;0;0,2;-3;1,4;-3;1,5;-5;2,62507,2021-11-24
195,62779,,,,,62779,2021-11-24
196,62782,4;-2;1,5;-1;2,4;-2;0,3;-1;-1,62782,2021-11-24
197,63052,,,,,63052,2021-11-24
198,63055,4;-4;1,5;0;1,4;-2;1,3;-4;1,63055,2021-11-24
199,63321,,,,,63321,2021-11-24
200,63324,2;-4;0,5;-3;1,2;-2;2,3;-1;1,63324,2021-11-24
201,63592,,,,,63592,2021-11-24
202,63595,5;-4;2,4;-5;0,5;-4;1,3;0;0,63595,2021-11-24
203,63867,,,,,63867,2021-11-24
204,63876,3;-3;2,4;-2;-1,3;-2;-1,4;-2;2,63876,2021-11-24
205,64142,,,,,64142,2021-11-24
206,64145,5;-3;2,2;-4;4,5;-5;-1,4;-5;1,64145,2021-11-24
207,64418,,,,,64418,2021-11-24
208,64421,5;-2;0,6;-3;0,6;-1;3,8;-4;1,64421,2021-11-24
209,64702,,,,,64702,2021-11-24
210,64705,9;-1;1,9;-3;2,12;-1;2,13;-3;4,64705,2021-11-24
211,64970,,,,,64970,2021-11-24
212,64973,13;-4;6,12;-3;3,12;-6;2,11;-2;2,64973,2021-11-24
213,65249,,,,,65249,2021-11-24
214,65252,11;-3;3,10;-5;4,13;-5;4,12;-3;3,65252,2021-11-24
215,65519,,,,,65519,2021-11-24
216,65522,13;-2;5,14;-3;5,14;-3;6,15;-7;2,65522,2021-11-24
217,65790,,,,,65790,2021-11-24
218,65798,11;-2;2,9;-3;2,10;0;2,8;-1;2,65798,2021-11-24
219,66070,,,,,66070,2021-11-24
220,66073,9;-4;3,11;-1;4,9;-3;1,9;-3;3,66073,2021-11-24
221,66345,,,,,66345,2021-11-24
222,66348,7;-2;2,5;-2;1,4;-6;2,7;-5;0,66348,2021-11-24
223,66620,,,,,66620,2021-11-24
224,66623,4;-6;2,4;-2;1,5;-3;2,2;-3;1,66623,2021-11-24
225,66891,,,,,66891,2021-11-24
226,66894,1;-3;0,0;-3;0,-4;-2;-1,-2;-5;1,66894,2021-11-24
227,67159,,,,,67159,2021-11-24
228,67161,-1;-4;0,-3;-2;0,0;-4;0,0;-3;-2,67161,2021-11-24
229,67433,,,,,67433,2021-11-24
230,67436,-1;-4;1,0;-4;-1,0;-5;1,0;-4;0,67436,2021-11-24
231,67712,,,,,67712,2021-11-24
232,67720,3;-5;1,2;-6;2,4;-4;0,1;-4;1,67720,2021-11-24
233,67984,,,,,67984,2021-11-24
234,67987,3;-3;0,4;-4;2,2;-4;1,5;-5;0,67987,2021-11-24
235,68259,,,,,68259,2021-11-24
236,68267,3;-7;1,5;-6;-1,4;-6;1,3;-4;2,68267,2021-11-24
237,68534,,,,,68534,2021-11-24
238,68537,5;-5;1,6;-4;1,4;-8;0,4;-5;2,68537,2021-11-24
239,68803,,,,,68803,2021-11-24
240,68806,4;-6;0,4;-5;0,4;-6;1,4;-6;1,68806,2021-11-24
241,69085,,,,,69085,2021-11-24
242,69088,3;-6;2,4;-4;3,4;-6;2,3;-4;0,69088,2021-11-24
243,69360,,,,,69360,2021-11-24
244,69363,5;-4;2,6;-3;0,6;-4;4,7;-5;4,69363,2021-11-24
245,69633,,,,,69633,2021-11-24
246,69640,6;-5;1,8;-5;0,7;-6;0,8;-5;1,69640,2021-11-24
247,69904,,,,,69904,2021-11-24
248,69907,7;-7;2,8;-5;2,7;-4;3,8;-3;2,69907,2021-11-24
249,70184,,,,,70184,2021-11-24
250,70193,11;-4;1,10;-4;1,10;-5;3,11;-4;0,70193,2021-11-24
251,70455,,,,,70455,2021-11-24
252,70458,11;-5;3,10;-5;5,11;-5;2,9;-5;2,70458,2021-11-24
253,70724,,,,,70724,2021-11-24
254,70727,8;-2;1,9;-5;2,7;-3;2,7;-6;-1,70727,2021-11-24
255,71005,,,,,71005,2021-11-24
256,71008,9;-8;5,9;-5;1,8;-5;1,10;-5;1,71008,2021-11-24
257,71274,,,,,71274,2021-11-24
258,71277,11;-5;0,11;-5;2,11;-5;3,10;-5;1,71277,2021-11-24
259,71548,,,,,71548,2021-11-24
260,71552,12;-2;3,10;-5;1,10;-6;5,13;-3;5,71552,2021-11-24
261,71812,,,,,71812,2021-11-24
262,71815,10;-6;6,11;-4;2,12;-5;0,9;-5;0,71815,2021-11-24
263,72082,,,,,72082,2021-11-24
264,72089,9;-5;0,10;-4;0,9;-3;3,8;-6;2,72089,2021-11-24
265,72357,,,,,72357,2021-11-24
266,72359,9;-3;4,8;-5;2,6;-3;1,8;-5;1,72359,2021-11-24
267,72626,,,,,72626,2021-11-24
268,72629,9;-5;1,8;-4;2,9;-4;3,8;-5;0,72629,2021-11-24
269,72901,,,,,72901,2021-11-24
270,72903,7;-4;1,7;-6;0,8;-6;1,8;-4;2,72903,2021-11-24
271,73176,,,,,73176,2021-11-24
272,73179,7;-5;1,7;-4;1,7;-5;4,8;-4;1,73179,2021-11-24
273,73449,,,,,73449,2021-11-24
274,73452,8;-3;2,8;-4;2,7;-5;3,8;-5;1,73452,2021-11-24
275,73721,,,,,73721,2021-11-24
276,73723,7;-5;2,7;-5;3,7;-5;1,7;-5;1,73723,2021-11-24
277,73990,,,,,73990,2021-11-24
278,74025,9;-5;2,7;-5;1,8;-4;1,7;-4;0,74025,2021-11-24
279,74296,,,,,74296,2021-11-24
280,74298,2;-5;0,2;-4;2,3;-5;0,7;-5;0,74298,2021-11-24
281,74564,,,,,74564,2021-11-24
282,74567,3;-6;2,5;-6;1,4;-6;0,3;-2;3,74567,2021-11-24
283,74833,,,,,74833,2021-11-24
284,74836,3;-4;3,4;-6;0,5;-6;0,3;-5;1,74836,2021-11-24
285,75103,,,,,75103,2021-11-24
286,75105,3;-5;0,5;-4;1,4;-3;2,2;-6;1,75105,2021-11-24
287,75384,,,,,75384,2021-11-24
288,75386,3;-4;1,4;-4;0,4;-6;0,4;-6;1,75386,2021-11-24
289,75654,,,,,75654,2021-11-24
290,75656,0;-5;-1,0;-5;0,0;-3;0,-1;-5;0,75656,2021-11-24
291,75929,,,,,75929,2021-11-24
292,75937,-1;-4;1,-3;-4;1,-2;-5;0,-1;-4;1,75937,2021-11-24
293,76205,,,,,76205,2021-11-24
294,76207,0;-4;2,-1;-5;0,-1;-6;1,-2;-5;-1,76207,2021-11-24
295,76480,,,,,76480,2021-11-24
296,76482,-2;-5;1,-1;-6;0,0;-5;0,0;-5;1,76482,2021-11-24
297,76790,,,,,76790,2021-11-24
298,76793,1;-5;1,2;-4;2,1;-6;2,3;-4;0,76793,2021-11-24
299,77070,,,,,77070,2021-11-24
300,77073,1;-5;0,4;-5;1,3;-5;0,4;-4;3,77073,2021-11-24
301,77348,,,,,77348,2021-11-24
302,77350,5;-5;0,4;-7;3,6;-5;0,6;-6;1,77350,2021-11-24
303,77619,,,,,77619,2021-11-24
304,77622,6;-5;0,7;-6;3,5;-7;2,7;-5;0,77622,2021-11-24
305,77893,,,,,77893,2021-11-24
306,77901,6;-6;3,6;-5;1,7;-5;0,6;-5;2,77901,2021-11-24
307,78169,,,,,78169,2021-11-24
308,78172,6;-5;2,6;-6;0,5;-6;1,6;-5;1,78172,2021-11-24
309,78444,,,,,78444,2021-11-24
310,78446,6;-4;1,6;-5;1,6;-3;2,7;-6;1,78446,2021-11-24
311,78718,,,,,78718,2021-11-24
312,78722,6;-5;4,6;-4;0,6;-5;2,6;-4;2,78722,2021-11-24
313,78982,,,,,78982,2021-11-24
314,78985,7;-5;2,7;-3;1,8;-5;2,7;-5;2,78985,2021-11-24
315,79250,,,,,79250,2021-11-24
316,79253,7;-5;2,7;-7;3,8;-4;2,7;-5;1,79253,2021-11-24
317,79519,,,,,79519,2021-11-24
318,79522,6;-3;1,5;-5;1,2;-6;1,1;-5;1,79522,2021-11-24
319,79782,,,,,79782,2021-11-24
320,79790,6;-6;-1,3;-7;2,2;-3;2,4;-7;0,79790,2021-11-24
321,80058,,,,,80058,2021-11-24
322,80061,4;-3;1,3;-7;2,4;-4;0,4;-5;2,80061,2021-11-24
323,80333,,,,,80333,2021-11-24
324,80336,3;-6;2,4;-5;2,3;-4;0,4;-2;0,80336,2021-11-24
325,80609,,,,,80609,2021-11-24
326,80612,4;-6;0,4;-5;0,3;-7;2,0;-4;3,80612,2021-11-24
327,80883,,,,,80883,2021-11-24
328,80886,2;-3;2,1;-5;1,1;-3;0,1;-4;0,80886,2021-11-24
329,81150,,,,,81150,2021-11-24
330,81154,0;-5;-1,0;-4;1,0;-6;2,-1;-5;0,81154,2021-11-24
331,81421,,,,,81421,2021-11-24
332,81424,0;-6;0,-1;-5;0,-2;-6;0,0;-5;0,81424,2021-11-24
333,81685,,,,,81685,2021-11-24
334,81693,0;-5;0,0;-3;-1,0;-4;-1,0;-6;0,81693,2021-11-24
335,81960,,,,,81960,2021-11-24
336,81964,0;-4;1,0;-5;0,0;-5;0,-1;-5;1,81964,2021-11-24
337,82236,,,,,82236,2021-11-24
338,82238,0;-5;-2,0;-5;0,0;-5;0,-1;-5;0,82238,2021-11-24
339,82510,,,,,82510,2021-11-24
340,82513,0;-4;0,0;-6;0,0;-4;0,0;-5;0,82513,2021-11-24
341,82781,,,,,82781,2021-11-24
342,82784,0;-5;1,-1;-4;1,0;-2;3,0;-5;0,82784,2021-11-24
343,83057,,,,,83057,2021-11-24
344,83060,0;-4;0,0;-5;0,0;-6;0,0;-3;0,83060,2021-11-24
345,83323,,,,,83323,2021-11-24
346,83326,1;-4;0,1;-5;0,0;-6;0,0;-6;0,83326,2021-11-24
347,83600,,,,,83600,2021-11-24
348,83607,0;-6;0,0;-3;1,0;-5;0,0;-5;-1,83607,2021-11-24
349,83870,,,,,83870,2021-11-24
350,83873,0;-5;1,0;-3;0,-1;-4;0,-1;-5;-1,83873,2021-11-24
351,84140,,,,,84140,2021-11-24
352,84143,0;-6;0,1;-5;0,1;-6;1,0;-5;1,84143,2021-11-24
353,84413,,,,,84413,2021-11-24
354,84415,0;-6;-1,2;-6;1,1;-3;2,0;-3;0,84415,2021-11-24
355,84681,,,,,84681,2021-11-24
356,84684,0;-6;0,1;-6;0,1;-8;0,1;-4;-1,84684,2021-11-24
357,84961,,,,,84961,2021-11-24
358,84964,1;-2;1,1;-4;1,0;-4;1,1;-3;0,84964,2021-11-24
359,85226,,,,,85226,2021-11-24
360,85228,1;-4;2,3;-6;2,3;-4;0,6;-3;1,85228,2021-11-24
361,85500,,,,,85500,2021-11-24
362,85509,8;-5;1,8;-2;1,9;-5;2,11;-3;2,85509,2021-11-24
363,85777,,,,,85777,2021-11-24
364,85779,14;-2;3,14;-3;4,14;-5;5,15;-4;4,85779,2021-11-24
365,86045,,,,,86045,2021-11-24
366,86048,14;-5;3,14;-4;0,13;-3;3,15;-4;5,86048,2021-11-24
367,86321,,,,,86321,2021-11-24
368,86324,15;-4;4,14;-3;5,16;-5;3,14;-6;3,86324,2021-11-24
369,86596,,,,,86596,2021-11-24
370,86599,14;-4;3,15;-3;3,14;-1;4,14;-5;3,86599,2021-11-24
371,86871,,,,,86871,2021-11-24
372,86873,13;-3;3,14;-2;5,13;-3;4,12;-4;4,86873,2021-11-24
373,87140,,,,,87140,2021-11-24
374,87142,12;-3;3,11;-3;4,3;-3;3,-1;-3;0,87142,2021-11-24
375,87402,,,,,87402,2021-11-24
376,87409,4;-4;-1,6;-4;-2,4;-4;2,2;-5;2,87409,2021-11-24
377,87672,,,,,87672,2021-11-24
378,87674,4;-2;0,6;-4;1,3;-3;1,4;-4;0,87674,2021-11-24
379,87940,,,,,87940,2021-11-24
380,87943,3;-3;0,6;-4;1,5;-1;2,3;-4;0,87943,2021-11-24
381,88216,,,,,88216,2021-11-24
382,88219,3;-4;1,2;-4;1,3;-5;1,3;-3;0,88219,2021-11-24
383,88491,,,,,88491,2021-11-24
384,88494,5;-4;0,4;-4;0,4;-3;0,3;-3;0,88494,2021-11-24
385,88759,,,,,88759,2021-11-24
386,88761,4;-3;2,5;-5;0,4;-3;2,4;-3;1,88761,2021-11-24
387,89023,,,,,89023,2021-11-24
388,89025,2;-4;2,4;-1;2,3;-5;1,3;-4;0,89025,2021-11-24
389,89292,,,,,89292,2021-11-24
390,89300,3;-4;1,2;-4;1,4;-3;0,5;-3;2,89300,2021-11-24
391,89569,,,,,89569,2021-11-24
392,89572,4;-3;1,3;0;1,5;-4;1,3;-2;2,89572,2021-11-24
393,89842,,,,,89842,2021-11-24
394,89844,5;-3;0,3;-3;2,4;-5;0,4;-4;1,89844,2021-11-24
395,90118,,,,,90118,2021-11-24
396,90121,4;-2;2,4;-3;1,5;-5;0,5;-5;0,90121,2021-11-24
397,90393,,,,,90393,2021-11-24
398,90395,4;-2;1,3;-5;0,3;-1;2,3;-5;0,90395,2021-11-24
399,90674,,,,,90674,2021-11-24
400,90676,3;-2;1,2;-4;0,3;-3;1,5;-4;1,90676,2021-11-24
401,90943,,,,,90943,2021-11-24
402,90945,4;-3;2,3;-1;2,4;-4;0,3;-5;1,90945,2021-11-24
403,91206,,,,,91206,2021-11-24
404,91213,3;-3;0,3;-5;0,3;-3;1,4;-4;1,91213,2021-11-24
405,91481,,,,,91481,2021-11-24
406,91484,3;-4;2,3;-4;0,3;-4;1,3;-4;-1,91484,2021-11-24
407,91744,,,,,91744,2021-11-24
408,91747,4;-2;3,4;-5;0,3;-4;0,3;-5;1,91747,2021-11-24
409,92019,,,,,92019,2021-11-24
410,92021,4;-3;0,3;-2;2,4;-3;-1,4;-5;0,92021,2021-11-24
411,92281,,,,,92281,2021-11-24
412,92284,4;-3;2,4;-3;3,4;-2;1,4;-3;0,92284,2021-11-24
413,92562,,,,,92562,2021-11-24
414,92565,4;-5;0,3;-3;1,3;-4;1,4;-1;1,92565,2021-11-24
415,92832,,,,,92832,2021-11-24
416,92835,3;-3;0,4;-4;0,3;-3;0,3;-2;0,92835,2021-11-24
417,93109,,,,,93109,2021-11-24
418,93117,4;-4;-1,5;-3;0,4;-3;2,2;-3;1,93117,2021-11-24
419,93382,,,,,93382,2021-11-24
420,93385,3;-2;1,4;-3;0,3;-4;0,2;-1;2,93385,2021-11-24
421,93645,,,,,93645,2021-11-24
422,93648,3;-2;1,4;-5;0,4;-3;1,4;-4;0,93648,2021-11-24
423,93921,,,,,93921,2021-11-24
424,93924,3;-3;2,4;-1;2,4;-3;0,3;-4;0,93924,2021-11-24
425,94184,,,,,94184,2021-11-24
426,94186,3;-3;1,4;-2;0,4;-5;0,4;-5;2,94186,2021-11-24
427,94456,,,,,94456,2021-11-24
428,94458,5;-3;0,3;-3;2,3;-1;3,3;-3;0,94458,2021-11-24
429,94722,,,,,94722,2021-11-24
430,94725,4;-3;0,4;-4;1,3;-3;1,3;-4;0,94725,2021-11-24
431,94999,,,,,94999,2021-11-24
432,95035,4;-4;0,4;-4;1,3;-2;1,4;-4;-1,95035,2021-11-24
433,95299,,,,,95299,2021-11-24
434,95301,4;-4;0,4;-2;0,2;-4;1,4;-5;0,95301,2021-11-24
435,95568,,,,,95568,2021-11-24
436,95571,3;-5;1,5;-3;0,2;-4;2,4;-3;0,95571,2021-11-24
437,95842,,,,,95842,2021-11-24
438,95844,3;-1;1,4;-3;0,4;-3;0,3;-4;3,95844,2021-11-24
439,96117,,,,,96117,2021-11-24
440,96120,3;-2;1,3;-4;2,4;-3;0,4;-2;0,96120,2021-11-24
441,96390,,,,,96390,2021-11-24
442,96397,3;-5;0,4;-3;0,3;-5;2,4;-2;0,96397,2021-11-24
443,96662,,,,,96662,2021-11-24
444,96664,3;-3;4,5;-4;0,4;-5;1,5;-3;2,96664,2021-11-24
445,96937,,,,,96937,2021-11-24
