,index,acc1,acc2,acc3,acc4,duration
134,75446,-1;1;-1,-1;0;-1,1;0;1,0;0;0,75446
135,75712,,,,,75712
136,75715,1;0;0,0;0;0,1;0;0,1;0;-1,75715
137,75988,,,,,75988
138,75991,0;1;0,0;0;0,0;0;0,-1;0;0,75991
139,76263,,,,,76263
140,76266,0;0;0,0;0;0,0;0;1,0;0;1,76266
141,76538,,,,,76538
142,76540,0;0;0,0;0;-1,0;0;2,0;0;1,76540
143,76802,,,,,76802
144,76810,0;0;-2,1;0;0,-1;0;0,0;0;-1,76810
145,77077,,,,,77077
146,77080,0;1;1,1;0;0,1;0;1,0;1;0,77080
147,77352,,,,,77352
148,77360,0;0;-2,0;0;-2,0;1;-1,0;1;0,77360
149,77622,,,,,77622
150,77625,-1;0;0,0;0;0,0;0;-1,0;0;0,77625
151,77890,,,,,77890
152,77893,0;1;-1,0;0;0,0;1;0,0;0;0,77893
153,78164,,,,,78164
154,78168,0;0;0,-1;0;0,1;0;0,0;-1;-1,78168
155,78440,,,,,78440
156,78443,0;0;1,0;-1;1,0;0;-1,-1;0;1,78443
157,78703,,,,,78703
158,78710,0;-1;1,0;0;0,0;-1;1,0;-1;-1,78710
159,78978,,,,,78978
160,78981,0;0;1,0;0;0,-1;-1;0,0;0;-1,78981
161,79241,,,,,79241
162,79244,0;0;1,0;0;0,0;0;2,0;0;1,79244
163,79517,,,,,79517
164,79519,-1;0;0,0;0;0,0;1;-1,0;0;2,79519
165,79791,,,,,79791
166,79794,0;0;0,0;0;0,0;1;1,0;0;2,79794
167,80059,,,,,80059
168,80061,0;0;0,1;0;0,0;0;-2,0;0;0,80061
169,80329,,,,,80329
170,80331,0;0;0,0;0;0,0;1;0,1;-1;0,80331
171,80592,,,,,80592
172,80601,0;0;-1,0;-1;-2,-1;0;0,-1;0;0,80601
173,80868,,,,,80868
174,80871,0;1;0,0;0;0,0;0;1,0;0;-1,80871
175,81143,,,,,81143
176,81145,0;0;0,0;0;-1,1;1;0,0;0;-1,81145
177,81418,,,,,81418
178,81421,0;0;-1,0;0;-1,-1;0;-1,1;0;2,81421
179,81681,,,,,81681
180,81684,0;-1;0,0;0;0,0;-1;1,0;1;0,81684
181,81950,,,,,81950
182,81958,-1;1;0,0;0;0,0;0;0,0;0;0,81958
183,82219,,,,,82219
184,82222,1;0;0,2;0;0,2;2;0,0;1;0,82222
185,82481,,,,,82481
186,82484,0;0;-1,2;-1;-2,0;0;-1,-1;-1;0,82484
187,82759,,,,,82759
188,82761,0;0;-2,1;0;-1,0;0;-1,0;-1;0,82761
189,83030,,,,,83030
190,83033,-1;1;-1,-1;3;0,-2;2;0,0;0;0,83033
191,83301,,,,,83301
192,83304,0;0;0,2;-1;0,0;0;0,0;1;-1,83304
193,83570,,,,,83570
194,83572,0;-1;0,1;0;-1,0;0;-1,0;0;-1,83572
195,83838,,,,,83838
196,83846,1;2;0,0;0;1,1;0;-3,-1;0;0,83846
197,84114,,,,,84114
198,84116,0;0;1,1;0;1,2;0;1,0;0;1,84116
199,84379,,,,,84379
200,84381,0;0;1,0;0;1,-1;2;0,0;0;1,84381
201,84653,,,,,84653
202,84656,0;0;0,0;0;-2,-1;-1;0,0;1;0,84656
203,84922,,,,,84922
204,84924,0;0;0,0;0;0,0;2;-1,0;-1;-2,84924
205,85201,,,,,85201
206,85203,0;0;0,0;0;1,0;0;0,2;1;0,85203
207,85479,,,,,85479
208,85481,0;0;-1,0;0;-2,0;-2;-1,1;2;2,85481
209,85747,,,,,85747
210,85756,0;0;0,1;0;0,0;1;-1,0;1;1,85756
211,86022,,,,,86022
212,86025,0;0;0,0;0;0,0;0;1,0;0;2,86025
213,86285,,,,,86285
214,86287,0;-1;0,0;0;0,2;2;0,1;0;-1,86287
215,86554,,,,,86554
216,86556,0;0;-1,0;1;-1,0;0;-1,0;0;2,86556
217,86822,,,,,86822
218,86825,0;0;-2,0;-1;1,0;0;0,1;-1;0,86825
219,87087,,,,,87087
220,87095,0;0;0,0;0;0,0;1;0,0;0;-1,87095
221,87361,,,,,87361
222,87363,0;0;0,1;0;0,0;2;0,0;1;-1,87363
223,87623,,,,,87623
224,87626,0;0;0,1;0;0,1;0;-1,0;0;0,87626
225,87900,,,,,87900
226,87903,0;0;0,0;0;1,1;1;0,0;1;1,87903
227,88175,,,,,88175
228,88177,0;0;-1,0;0;-1,0;0;-2,0;0;0,88177
229,88456,,,,,88456
230,88458,0;0;0,-1;0;2,0;-1;3,0;-1;3,88458
231,88727,,,,,88727
232,88729,0;0;-1,0;0;0,0;0;-1,0;0;-1,88729
233,89000,,,,,89000
234,89008,1;-2;-2,0;0;5,-3;4;2,-2;1;-1,89008
235,89276,,,,,89276
236,89278,0;-1;2,0;0;-2,0;0;3,3;-3;0,89278
237,89544,,,,,89544
238,89547,0;0;0,0;1;-2,0;0;-1,1;0;0,89547
239,89820,,,,,89820
240,89823,1;1;-2,1;0;0,0;-1;-1,11;15;7,89823
241,90083,,,,,90083
242,90085,-15;6;-11,-1;4;0,-1;4;-1,0;2;0,90085
243,90356,,,,,90356
244,90358,0;1;-2,-1;0;0,0;1;-1,0;0;0,90358
245,90620,,,,,90620
246,90624,0;2;-1,0;1;1,-1;0;-1,0;0;0,90624
247,90890,,,,,90890
248,90898,0;-1;0,0;1;2,0;0;0,0;0;0,90898
249,91164,,,,,91164
250,91167,0;0;0,0;0;-1,0;0;0,-1;0;0,91167
251,91427,,,,,91427
252,91430,-1;-1;-1,0;0;0,0;0;0,0;0;0,91430
253,91698,,,,,91698
254,91700,0;0;-1,0;0;-1,0;0;0,0;0;-1,91700
255,91969,,,,,91969
256,91971,0;0;0,0;1;-1,0;0;-1,0;1;-2,91971
257,92240,,,,,92240
258,92249,0;0;0,1;0;0,2;0;-1,0;0;-1,92249
259,92518,,,,,92518
260,92520,0;0;1,0;1;2,0;0;0,0;0;0,92520
261,92787,,,,,92787
262,92790,0;2;4,0;0;1,-1;1;1,0;0;0,92790
263,93069,,,,,93069
264,93071,0;0;-1,0;0;0,0;1;0,-1;0;0,93071
265,93342,,,,,93342
266,93345,0;0;0,0;1;0,0;0;-2,0;0;0,93345
267,93623,,,,,93623
268,93626,0;0;1,0;0;0,0;-1;-1,0;2;0,93626
269,93888,,,,,93888
270,93891,0;0;0,1;0;0,0;0;0,1;0;0,93891
271,94157,,,,,94157
272,94248,0;0;0,1;0;0,0;1;-1,0;0;0,94248
273,94518,,,,,94518
274,94520,0;-1;1,0;-1;1,1;0;0,0;0;0,94520
275,94780,,,,,94780
276,94783,1;-1;0,0;1;2,0;0;1,1;1;0,94783
277,95057,,,,,95057
278,95060,1;0;0,-1;3;1,-1;2;1,0;1;4,95060
279,95327,,,,,95327
280,95329,0;0;0,1;0;0,0;-2;1,0;-1;1,95329
281,95594,,,,,95594
282,95601,0;0;0,0;1;0,0;0;0,0;0;2,95601
283,95863,,,,,95863
284,95866,-1;0;0,0;0;1,0;0;0,0;0;2,95866
285,96133,,,,,96133
286,96135,0;0;0,1;0;0,0;0;0,0;-1;-1,96135
287,96413,,,,,96413
288,96416,0;0;-1,0;0;0,-1;1;1,1;1;0,96416
289,96690,,,,,96690
290,96692,0;0;0,-1;0;0,1;1;0,0;0;0,96692
291,96964,,,,,96964
292,96967,-1;-1;-1,0;1;0,0;0;0,0;-1;0,96967
293,97242,,,,,97242
294,97244,0;1;0,0;0;0,0;0;-1,-1;0;1,97244
295,97517,,,,,97517
296,97525,0;1;0,1;0;1,0;1;1,-1;1;0,97525
297,97797,,,,,97797
298,97799,0;0;0,0;0;2,0;0;1,2;0;0,97799
299,98060,,,,,98060
300,98062,0;0;1,0;0;2,0;1;0,0;1;1,98062
301,98334,,,,,98334
302,98337,-1;0;0,0;2;2,-1;1;2,1;0;0,98337
303,98597,,,,,98597
304,98599,0;0;2,1;0;2,-1;0;0,0;0;-2,98599
305,98865,,,,,98865
306,98868,0;0;0,0;0;2,0;0;1,-1;0;-1,98868
307,99135,,,,,99135
308,99138,0;0;2,-1;0;0,0;0;0,1;0;0,99138
309,99397,,,,,99397
310,99436,0;0;-1,2;1;0,1;1;-1,-1;0;-2,99436
311,99698,,,,,99698
312,99701,0;1;0,3;1;0,1;-1;-1,0;0;0,99701
313,99960,,,,,99960
314,99962,0;0;-1,0;0;0,0;0;0,1;1;1,99962
315,100248,,,,,100248
316,100251,0;0;1,0;0;0,0;0;-2,0;0;0,100251
317,100511,,,,,100511
318,100514,0;-1;-1,1;0;1,0;0;-2,0;-1;1,100514
319,100791,,,,,100791
320,100794,0;1;2,0;0;0,0;0;1,0;0;2,100794
321,101062,,,,,101062
322,101065,0;0;-2,0;0;1,0;-1;0,0;0;-1,101065
323,101326,,,,,101326
324,101335,0;0;-1,0;0;0,0;0;-1,1;0;1,101335
325,101600,,,,,101600
326,101603,0;0;0,-1;0;0,-1;0;-2,-1;0;0,101603
327,101875,,,,,101875
328,101878,0;0;0,0;0;-2,1;2;0,1;-1;0,101878
329,102151,,,,,102151
330,102153,0;0;0,2;0;0,1;0;0,1;0;0,102153
331,102426,,,,,102426
332,102429,0;-1;-1,1;0;-1,0;1;-2,-1;0;0,102429
333,102713,,,,,102713
334,102716,0;0;0,1;0;0,0;2;0,0;0;0,102716
335,102976,,,,,102976
336,102979,0;0;0,0;0;0,0;1;-1,1;0;0,102979
337,103243,,,,,103243
338,103246,0;0;1,1;0;0,0;1;0,0;0;0,103246
339,103515,,,,,103515
340,103518,1;0;0,0;0;0,0;0;0,0;-1;0,103518
341,103789,,,,,103789
342,103797,0;0;-1,0;0;-1,-1;0;-1,0;0;0,103797
343,104068,,,,,104068
344,104070,0;0;0,1;1;0,0;2;0,2;0;0,104070
345,104340,,,,,104340
346,104347,0;0;0,-1;0;-1,0;1;0,-1;1;1,104347
347,104615,,,,,104615
348,104617,0;0;-1,0;0;-1,0;1;0,0;0;0,104617
349,104878,,,,,104878
350,104881,0;0;-1,0;1;1,1;1;-1,0;1;0,104881
351,105153,,,,,105153
352,105156,0;0;0,0;0;0,0;0;2,0;2;0,105156
353,105416,,,,,105416
354,105419,-1;0;-2,1;0;-1,0;1;0,2;1;1,105419
355,105687,,,,,105687
356,105690,-1;0;-1,0;0;-1,-1;1;-3,-1;0;0,105690
357,105954,,,,,105954
358,105957,1;0;0,1;-1;0,0;1;-1,0;0;0,105957
359,106217,,,,,106217
360,106225,0;0;1,0;0;1,1;0;1,1;0;0,106225
361,106499,,,,,106499
362,106502,0;2;1,0;0;0,0;0;1,0;0;0,106502
363,106775,,,,,106775
364,106782,0;0;0,0;0;0,0;0;-1,0;0;0,106782
365,107057,,,,,107057
366,107060,0;0;-2,1;1;0,0;0;0,0;1;0,107060
367,107327,,,,,107327
368,107330,0;0;0,0;0;0,0;0;0,1;0;0,107330
369,107609,,,,,107609
370,107612,0;0;1,0;0;1,0;0;1,0;-1;2,107612
371,107876,,,,,107876
372,107879,0;0;-1,-1;1;0,0;2;1,0;1;0,107879
373,108151,,,,,108151
374,108153,1;0;0,-1;1;1,1;1;0,0;0;0,108153
375,108419,,,,,108419
376,108422,0;1;0,0;1;0,1;-1;0,0;0;0,108422
377,108688,,,,,108688
378,108690,0;0;-1,1;1;0,1;0;0,0;0;-1,108690
379,108952,,,,,108952
380,108955,0;0;0,2;0;0,-1;0;0,0;0;0,108955
381,109220,,,,,109220
382,109228,0;2;2,0;2;0,0;0;0,1;0;-1,109228
383,109495,,,,,109495
384,109498,0;0;1,0;0;-1,0;1;-1,1;0;0,109498
385,109758,,,,,109758
386,109761,0;0;0,0;1;0,0;0;0,0;0;1,109761
387,110032,,,,,110032
388,110035,0;0;0,0;-1;-1,0;2;1,0;1;0,110035
389,110302,,,,,110302
390,110305,0;1;0,0;0;-2,0;0;1,1;0;0,110305
391,110585,,,,,110585
392,110588,0;0;0,0;1;1,0;0;0,0;1;-2,110588
393,110859,,,,,110859
394,110862,0;0;0,1;0;0,1;1;-1,1;1;-2,110862
395,111133,,,,,111133
396,111136,1;0;0,0;0;1,0;1;0,-1;1;-2,111136
397,111396,,,,,111396
398,111399,1;1;0,0;0;-1,-1;0;2,1;1;0,111399
399,111672,,,,,111672
400,111679,0;0;0,0;1;1,1;0;0,0;0;0,111679
401,111946,,,,,111946
402,111949,0;0;0,0;0;1,0;0;0,0;1;1,111949
403,112209,,,,,112209
404,112219,0;0;1,0;0;2,0;1;0,0;0;2,112219
405,112487,,,,,112487
406,112490,0;1;0,1;0;1,-1;0;1,1;0;2,112490
407,112758,,,,,112758
408,112761,1;0;-2,0;0;-1,0;0;0,0;0;1,112761
409,113026,,,,,113026
410,113029,1;-1;-1,0;0;0,-1;1;-1,1;0;0,113029
411,113299,,,,,113299
412,113302,0;0;-2,0;1;0,0;0;-2,0;1;0,113302
413,113567,,,,,113567
414,113570,0;0;0,0;0;0,0;0;0,-1;0;0,113570
415,113837,,,,,113837
416,113840,0;0;2,0;0;2,1;1;-2,0;0;0,113840
417,114100,,,,,114100
418,114107,1;0;0,0;0;1,3;0;1,0;-1;0,114107
419,114375,,,,,114375
420,114377,0;0;2,1;1;1,0;1;0,0;0;0,114377
421,114650,,,,,114650
422,114658,1;0;1,1;0;0,1;0;-1,0;1;1,114658
423,114926,,,,,114926
424,114928,0;1;-1,0;0;1,0;0;-1,1;0;0,114928
425,115201,,,,,115201
426,115204,0;0;0,0;2;0,0;0;-1,0;0;-1,115204
427,115476,,,,,115476
428,115478,0;2;0,0;0;-1,0;0;0,0;1;-1,115478
429,115739,,,,,115739
430,115741,2;0;0,0;0;1,2;0;2,1;0;2,115741
431,116015,,,,,116015
432,116018,0;0;0,0;1;-1,1;0;0,0;0;2,116018
433,116289,,,,,116289
434,116291,1;0;1,-1;0;-2,0;0;1,2;1;2,116291
435,116556,,,,,116556
436,116558,0;1;0,0;1;-4,0;0;-2,0;0;0,116558
437,116822,,,,,116822
438,116825,0;0;0,-1;0;0,-1;0;0,0;0;2,116825
439,117090,,,,,117090
440,117113,0;1;0,-1;0;0,0;1;0,1;1;0,117113
441,117378,,,,,117378
442,117381,0;0;0,0;1;0,1;2;0,1;2;1,117381
443,117641,,,,,117641
444,117644,-1;0;-1,0;1;-2,0;0;0,0;1;1,117644
445,117915,,,,,117915
446,117918,0;0;-2,1;0;-1,2;1;1,0;1;-2,117918
447,118178,,,,,118178
448,118181,0;0;-2,1;-1;-1,0;1;0,0;0;0,118181
449,118456,,,,,118456
450,118458,0;0;-4,0;1;0,0;0;0,1;0;0,118458
451,118723,,,,,118723
452,118725,2;-1;0,0;0;1,0;0;0,0;0;1,118725
453,118993,,,,,118993
454,118995,0;0;0,1;0;-1,0;0;0,0;0;-2,118995
455,119262,,,,,119262
456,119265,0;0;-1,0;0;2,1;0;-1,0;0;1,119265
457,119530,,,,,119530
458,119538,1;0;0,0;0;1,1;0;0,0;-1;0,119538
459,119808,,,,,119808
460,119811,0;0;0,0;0;1,1;0;1,-1;-1;0,119811
461,120075,,,,,120075
462,120082,1;0;0,-1;0;0,0;1;0,0;1;1,120082
463,120355,,,,,120355
464,120358,0;0;0,2;0;-1,0;0;2,1;0;0,120358
465,120631,,,,,120631
466,120633,0;0;-3,-1;1;0,-1;0;-1,-1;0;-2,120633
467,120912,,,,,120912
468,120915,0;0;1,-4;1;0,0;0;0,-1;1;1,120915
469,121195,,,,,121195
470,121197,1;0;0,1;-2;-1,0;0;0,0;1;0,121197
471,121472,,,,,121472
472,121474,1;-1;-1,0;0;0,0;1;0,1;0;-2,121474
473,121739,,,,,121739
474,121741,1;0;0,2;0;-1,0;0;0,1;0;-3,121741
475,122014,,,,,122014
476,122022,0;2;0,-2;1;2,-1;1;1,1;0;1,122022
477,122296,,,,,122296
478,122298,0;0;-1,0;0;0,0;0;1,0;2;1,122298
479,122570,,,,,122570
480,122578,0;0;-1,0;0;0,0;1;-1,0;0;1,122578
481,122840,,,,,122840
482,122843,0;0;-1,0;0;-3,0;-1;0,0;1;0,122843
483,123115,,,,,123115
484,123118,0;0;-1,0;0;-1,0;0;0,1;0;-1,123118
485,123397,,,,,123397
486,123399,0;1;0,0;1;2,-1;0;-1,0;0;0,123399
487,123669,,,,,123669
488,123672,0;1;2,0;0;1,0;1;0,0;2;1,123672
489,123947,,,,,123947
490,123950,2;1;0,1;1;0,1;0;0,0;1;1,123950
491,124217,,,,,124217
492,124219,0;0;0,1;0;0,0;0;0,0;2;1,124219
493,124491,,,,,124491
494,124494,0;0;-1,0;1;-2,1;0;0,0;0;1,124494
495,124760,,,,,124760
496,124762,0;-1;-1,0;0;-1,0;0;-1,0;0;0,124762
497,125023,,,,,125023
498,125030,0;0;-1,0;0;0,0;0;1,1;1;-1,125030
499,125297,,,,,125297
500,125300,1;0;2,1;0;0,1;0;0,1;0;0,125300
501,125560,,,,,125560
502,125563,0;1;-1,3;0;0,1;-1;-2,-1;0;0,125563
503,125836,,,,,125836
504,125839,1;1;0,1;-2;1,1;0;0,-1;-1;0,125839
505,126108,,,,,126108
506,126111,0;1;1,0;0;-1,0;-1;1,0;2;-1,126111
507,126374,,,,,126374
508,126377,0;0;0,0;-1;-2,1;0;0,1;1;-4,126377
509,126648,,,,,126648
510,126650,-1;1;1,2;0;0,1;1;0,0;0;0,126650
511,126917,,,,,126917
512,126920,0;0;2,0;0;0,0;1;0,1;0;0,126920
513,127187,,,,,127187
514,127190,1;0;0,0;1;1,0;2;-1,0;1;1,127190
515,127462,,,,,127462
516,127470,0;0;0,0;0;-1,1;0;0,0;0;-1,127470
517,127738,,,,,127738
518,127741,0;0;0,-1;0;0,-1;1;0,0;0;0,127741
519,128014,,,,,128014
520,128023,0;1;0,0;1;0,2;3;1,1;0;1,128023
521,128297,,,,,128297
522,128301,2;0;0,1;-1;-1,-1;0;0,0;1;1,128301
523,128565,,,,,128565
524,128568,0;0;-2,0;0;-1,0;0;0,0;1;0,128568
525,128849,,,,,128849
526,128852,0;1;3,1;0;1,-1;0;0,0;2;-1,128852
527,129115,,,,,129115
528,129117,1;0;0,0;0;1,1;0;0,0;0;0,129117
529,129389,,,,,129389
530,129392,0;0;1,0;0;0,0;0;0,0;0;1,129392
531,129666,,,,,129666
532,129668,0;0;-1,0;0;0,1;0;0,-1;2;0,129668
533,129940,,,,,129940
534,129947,-2;0;0,0;1;0,0;0;0,0;0;0,129947
535,130215,,,,,130215
536,130217,-1;0;0,-1;0;-1,-1;1;0,1;0;0,130217
537,130486,,,,,130486
538,130495,-1;0;-1,1;0;1,1;0;1,0;0;0,130495
539,130765,,,,,130765
540,130768,0;1;2,2;0;2,0;1;0,0;1;-1,130768
541,131028,,,,,131028
542,131031,0;1;0,0;0;0,1;0;0,0;0;0,131031
543,131306,,,,,131306
544,131309,-1;0;-1,0;0;-2,1;0;-2,0;0;0,131309
545,131579,,,,,131579
546,131581,0;0;1,0;0;0,0;0;-1,0;0;2,131581
547,131860,,,,,131860
548,131863,0;0;3,0;3;2,0;0;1,1;0;0,131863
549,132129,,,,,132129
550,132131,0;0;0,0;0;1,0;0;0,1;0;2,132131
551,132404,,,,,132404
552,132407,0;0;-3,0;0;0,0;0;0,0;0;0,132407
553,132676,,,,,132676
554,132679,0;0;0,-1;0;-1,0;0;-1,0;0;2,132679
555,132946,,,,,132946
556,132955,0;0;0,0;1;0,1;0;0,-1;1;-1,132955
557,133218,,,,,133218
558,133221,0;0;1,0;0;2,0;0;0,1;0;2,133221
559,133487,,,,,133487
560,133494,-1;3;1,0;0;0,0;0;0,0;1;-2,133494
561,133756,,,,,133756
562,133758,0;0;0,0;1;1,0;0;-1,-1;0;0,133758
563,134019,,,,,134019
564,134022,0;0;0,1;-1;-1,1;0;0,0;0;-1,134022
565,134294,,,,,134294
566,134297,1;1;0,1;0;-2,0;0;0,0;0;0,134297
567,134565,,,,,134565
568,134567,0;0;-1,-1;0;-2,-1;0;0,1;0;-1,134567
569,134843,,,,,134843
570,134845,0;0;0,0;0;-2,0;1;-1,0;1;0,134845
571,135107,,,,,135107
572,135110,1;0;0,0;-1;-1,-1;1;-2,0;0;0,135110
573,135378,,,,,135378
574,135387,0;1;0,0;0;1,0;1;1,0;2;2,135387
575,135658,,,,,135658
576,135661,1;0;-1,0;-1;0,0;0;0,0;0;1,135661
577,135927,,,,,135927
578,135952,0;0;1,0;0;0,0;0;1,0;0;1,135952
579,136221,,,,,136221
580,136224,0;0;0,0;2;0,1;0;0,0;0;-1,136224
581,136489,,,,,136489
582,136493,0;0;0,-1;0;-1,1;0;-1,1;-1;0,136493
583,136771,,,,,136771
584,136774,0;2;0,-1;0;-1,1;0;1,0;0;2,136774
585,137055,,,,,137055
586,137058,0;0;0,0;1;0,0;0;0,0;0;0,137058
587,137322,,,,,137322
588,137325,0;0;0,0;0;1,0;0;0,1;0;1,137325
589,137596,,,,,137596
590,137600,0;0;-2,0;1;0,0;0;1,0;-1;0,137600
591,137866,,,,,137866
592,137869,-3;0;-1,0;0;0,0;0;0,0;2;-3,137869
593,138136,,,,,138136
594,138139,0;0;0,0;0;0,0;0;0,-2;0;-1,138139
595,138408,,,,,138408
596,138443,-1;0;1,0;0;0,1;0;1,0;0;1,138443
597,138708,,,,,138708
598,138712,1;1;0,1;0;0,-1;-1;1,0;0;2,138712
599,138974,,,,,138974
600,138984,1;-1;-2,1;2;-2,1;0;0,0;0;0,138984
601,139249,,,,,139249
602,139251,1;1;1,0;0;0,1;0;-1,0;0;1,139251
603,139517,,,,,139517
604,139521,1;2;0,-1;0;2,-1;0;1,0;0;2,139521
605,139793,,,,,139793
606,139796,-1;2;1,0;0;-1,0;0;-1,0;0;0,139796
607,140062,,,,,140062
