,acc1,acc2,acc3,acc4,duration
59068,9;0;-3,6;-1;0,7;3;-2,6;0;2,59068
59328,,,,,59328
59334,8;1;6,14;0;2,6;-5;2,12;0;-2,59334
59604,,,,,59604
59607,13;-1;1,12;0;2,12;0;-5,13;0;-1,59607
59866,,,,,59866
59868,7;-7;-3,13;3;-5,12;-2;-1,1;-2;8,59868
60136,,,,,60136
60138,11;0;-3,13;0;3,9;-1;5,10;-2;0,60138
60404,,,,,60404
60407,13;-1;-8,8;3;3,9;-7;1,12;-3;5,60407
60666,,,,,60666
60674,7;-9;-7,11;-4;0,10;-7;-4,14;-6;1,60674
60944,,,,,60944
60946,4;0;1,6;0;5,12;-2;2,6;0;0,60946
61205,,,,,61205
61207,7;-5;0,11;-4;-4,10;-2;6,9;0;4,61207
61474,,,,,61474
61476,12;-8;-5,9;1;0,8;-6;2,13;2;2,61476
61736,,,,,61736
61739,7;-1;4,9;2;5,6;-7;-4,8;-3;3,61739
62001,,,,,62001
62003,13;-6;9,5;-2;5,2;-14;14,10;-1;3,62003
62280,,,,,62280
62283,4;4;4,5;3;5,9;-2;0,7;-4;-2,62283
62552,,,,,62552
62554,7;-13;8,11;-10;3,6;0;0,3;-1;5,62554
62822,,,,,62822
62825,0;-13;12,7;-10;8,11;-4;6,10;-9;6,62825
63088,,,,,63088
63091,5;-3;4,8;-12;6,8;-1;8,6;-2;7,63091
63357,,,,,63357
63360,12;-5;-5,4;5;4,4;-5;5,10;0;-1,63360
63627,,,,,63627
63629,10;-2;5,2;-6;-1,10;-17;4,7;-9;1,63629
63895,,,,,63895
63898,6;-1;-2,12;-7;0,7;-18;6,7;-3;7,63898
64163,,,,,64163
64165,-2;-17;3,12;-13;-3,5;1;1,11;-4;5,64165
64435,,,,,64435
64437,12;-4;-2,18;-8;3,8;-2;0,10;-15;-1,64437
64696,,,,,64696
64698,17;-7;-3,11;-6;-3,16;-7;-2,21;-4;8,64698
64971,,,,,64971
64973,19;2;-7,15;-3;-4,14;-2;2,16;-1;8,64973
65234,,,,,65234
65236,19;-6;-5,17;3;0,22;-8;-4,20;-4;1,65236
65503,,,,,65503
65505,16;-13;0,15;-9;-9,17;-18;-8,14;-11;0,65505
65766,,,,,65766
65768,16;4;-3,15;-14;-1,18;-18;2,23;-5;-2,65768
66028,,,,,66028
66031,21;-10;-4,15;-5;-2,15;-7;-1,18;-4;3,66031
66307,,,,,66307
66309,14;-13;4,15;-9;5,14;-11;7,20;-10;0,66309
66575,,,,,66575
66577,19;-8;-1,18;-8;3,19;-12;6,19;-10;0,66577
66841,,,,,66841
66843,20;-7;-4,22;-6;-9,19;-10;-8,17;-14;1,66843
67106,,,,,67106
67108,26;-4;-5,15;-15;1,15;-9;5,14;-12;4,67108
67375,,,,,67375
67377,18;-8;1,16;6;-9,22;-10;-5,24;-4;0,67377
67642,,,,,67642
67645,13;-7;-3,12;-8;8,14;-17;1,11;-4;-2,67645
67907,,,,,67907
67909,12;4;6,25;-5;-2,15;6;0,28;1;0,67909
68179,,,,,68179
68183,21;0;-7,24;-7;-11,18;-6;-12,32;-4;-3,68183
68450,,,,,68450
68452,21;2;6,55;-15;15,23;-23;12,20;-14;12,68452
68714,,,,,68714
68721,20;-15;8,-1;-17;0,17;-10;9,6;-39;9,68721
69001,,,,,69001
69003,26;-2;-4,14;-26;-7,29;-8;0,27;-19;-20,69003
69264,,,,,69264
69266,11;-4;-12,36;-19;-13,8;6;6,29;-8;-15,69266
69534,,,,,69534
69536,17;-26;10,15;-6;-1,26;-4;-8,9;-10;-3,69536
69800,,,,,69800
69803,13;6;0,20;-10;2,22;-8;-2,14;-22;9,69803
70064,,,,,70064
70070,20;-26;9,18;-9;3,16;-13;10,16;-13;3,70070
70335,,,,,70335
70337,16;-12;0,18;-6;-2,16;-6;5,15;-14;5,70337
70601,,,,,70601
70603,16;-10;9,19;-24;16,20;-10;26,9;-5;27,70603
70871,,,,,70871
70873,19;-12;5,12;-1;2,22;-15;9,19;-10;3,70873
71137,,,,,71137
71140,18;-7;3,21;-4;9,14;-6;16,20;-12;20,71140
71404,,,,,71404
71411,9;-11;11,11;-6;18,22;-12;14,22;-17;15,71411
71671,,,,,71671
71673,11;-12;7,30;0;19,30;-15;21,22;17;16,71673
71941,,,,,71941
71943,16;1;11,16;-2;18,12;-6;22,18;-12;6,71943
72209,,,,,72209
72212,23;-1;21,12;-13;29,9;-4;19,21;5;7,72212
72478,,,,,72478
72480,18;-7;13,24;0;5,12;5;12,14;-3;4,72480
72741,,,,,72741
72763,21;-2;6,22;-11;3,19;0;1,15;-8;-3,72763
73029,,,,,73029
73031,19;-1;5,19;-1;4,16;-8;5,19;-4;-1,73031
73305,,,,,73305
73307,19;-10;1,20;-5;0,20;-3;13,16;-7;3,73307
73579,,,,,73579
73581,26;-1;-7,19;-5;8,19;-7;-6,17;-4;2,73581
73866,,,,,73866
73869,15;-1;4,21;3;9,18;-6;-4,21;-2;0,73869
74130,,,,,74130
74137,9;0;3,20;-13;0,14;-12;6,24;-13;15,74137
74405,,,,,74405
74407,23;-8;0,11;0;12,19;-11;14,17;-15;10,74407
74669,,,,,74669
74671,20;-5;11,18;-1;6,17;-6;8,23;-10;9,74671
74939,,,,,74939
74941,20;-6;5,20;-7;2,22;-10;9,18;-4;6,74941
75206,,,,,75206
75208,21;1;-8,23;1;-15,15;4;2,17;1;4,75208
75469,,,,,75469
75475,21;-4;6,5;-28;11,19;-12;13,32;-10;4,75475
75744,,,,,75744
75747,13;-32;12,14;-16;4,20;-9;3,21;-11;-1,75747
76007,,,,,76007
76009,21;-8;-3,15;-14;10,19;-12;2,11;-4;12,76009
76276,,,,,76276
76278,23;-9;12,13;-1;12,14;-8;6,12;-5;3,76278
76539,,,,,76539
76541,22;-4;5,30;-2;7,15;-4;14,13;-9;12,76541
76812,,,,,76812
76814,22;-8;0,18;-21;-1,21;6;-4,20;-8;10,76814
77083,,,,,77083
77085,25;-10;-8,19;-10;10,25;-5;0,16;-5;7,77085
77346,,,,,77346
77348,23;2;-1,21;-5;8,18;-11;6,15;-8;5,77348
77621,,,,,77621
77623,19;-14;-5,24;-8;-13,22;-8;-6,30;0;3,77623
77884,,,,,77884
77886,16;-4;1,18;-3;7,22;-2;-3,16;-7;5,77886
78150,,,,,78150
78152,21;-9;-12,20;-10;-5,19;-7;-7,18;0;9,78152
78422,,,,,78422
78425,24;-3;4,17;-8;6,18;-1;-2,22;-3;5,78425
78684,,,,,78684
78686,26;-9;4,18;0;5,18;-5;3,20;-6;10,78686
78960,,,,,78960
78962,12;2;10,17;0;11,23;-11;9,12;-5;0,78962
79222,,,,,79222
79224,25;-8;6,18;-12;15,17;-11;19,13;-4;12,79224
79491,,,,,79491
79493,15;-2;11,17;1;6,-3;-12;16,13;-4;13,79493
79761,,,,,79761
79763,9;-5;0,15;-6;6,17;-5;-6,19;-20;-1,79763
80024,,,,,80024
80026,16;-21;-15,21;-5;-6,20;-12;7,22;-12;6,80026
80294,,,,,80294
80296,12;1;9,19;-4;-7,17;-6;-3,14;-6;-8,80296
80563,,,,,80563
80565,14;-4;0,13;-3;-5,11;-4;2,15;-6;6,80565
80828,,,,,80828
80831,15;5;22,6;-3;10,13;-7;4,21;-8;-7,80831
81096,,,,,81096
81098,14;-14;1,15;0;9,14;-8;10,16;-8;1,81098
81361,,,,,81361
81364,6;-11;13,19;-7;8,15;-10;5,15;-6;7,81364
81633,,,,,81633
81635,11;-3;5,16;-13;12,10;-14;12,11;-16;16,81635
81896,,,,,81896
81898,10;-8;18,16;-11;13,11;-1;8,9;-4;4,81898
82167,,,,,82167
82169,10;-4;10,14;-3;10,14;-1;5,18;-7;4,82169
82438,,,,,82438
82440,13;-14;0,12;0;11,19;-8;0,18;-16;8,82440
82701,,,,,82701
82709,13;-12;13,6;-1;11,12;-11;9,13;-9;4,82709
82971,,,,,82971
82973,16;-12;1,11;-7;8,14;-10;-14,12;-8;3,82973
83238,,,,,83238
83241,24;-15;5,11;-3;20,21;-10;6,14;-2;14,83241
83514,,,,,83514
83516,19;-4;2,10;0;3,17;-2;-1,8;-12;4,83516
83783,,,,,83783
83785,15;-6;-7,13;2;1,22;-3;-3,16;-10;-1,83785
84045,,,,,84045
84054,16;-5;-4,22;-7;-10,19;-1;-2,15;-3;5,84054
84323,,,,,84323
84325,21;-2;7,15;-9;-6,14;-4;3,17;0;0,84325
84590,,,,,84590
84592,9;-2;2,16;-8;-10,15;-8;2,13;-1;4,84592
84858,,,,,84858
84861,15;3;22,15;-8;15,13;-11;15,9;-9;4,84861
85128,,,,,85128
85130,9;-4;-1,11;-1;3,11;-15;-1,14;-10;4,85130
85393,,,,,85393
85401,17;-8;11,14;-5;10,17;-5;0,11;-10;1,85401
85665,,,,,85665
85668,16;-6;3,25;1;3,12;-9;6,14;-9;-4,85668
85928,,,,,85928
85931,19;-5;-2,12;-5;10,18;-5;2,15;-5;5,85931
86205,,,,,86205
86207,22;-6;-4,9;1;8,9;-1;6,21;-4;-3,86207
86467,,,,,86467
86469,16;-5;7,20;-7;0,24;0;-7,15;-3;4,86469
86729,,,,,86729
86737,20;0;1,20;-13;-5,20;-12;-9,20;-8;6,86737
87005,,,,,87005
87007,14;-4;0,20;0;-2,20;-5;-3,22;-5;5,87007
87268,,,,,87268
87270,10;-3;4,18;0;12,18;-3;14,18;-2;9,87270
87537,,,,,87537
87540,21;2;2,25;5;3,16;1;9,20;-7;8,87540
87805,,,,,87805
87808,31;-4;4,17;3;3,16;2;0,21;0;6,87808
88069,,,,,88069
88077,27;-12;10,34;-15;5,29;-4;-3,15;-3;6,88077
88344,,,,,88344
88346,18;-8;-1,22;-1;-4,27;-1;1,10;-11;9,88346
88606,,,,,88606
88609,27;-6;4,26;-9;0,21;-6;3,19;-6;0,88609
88879,,,,,88879
88881,26;-4;6,25;0;4,21;-5;4,25;-5;0,88881
89145,,,,,89145
89147,19;-3;0,19;0;12,13;-7;1,24;0;9,89147
89408,,,,,89408
89415,23;-1;-16,19;-4;0,20;-11;0,18;-3;0,89415
89682,,,,,89682
89684,21;2;11,27;-10;12,24;-9;15,32;2;9,89684
89946,,,,,89946
89948,29;-9;4,24;-9;12,22;6;9,23;-7;13,89948
90215,,,,,90215
90217,26;-13;5,33;-18;4,25;-3;11,19;-1;-4,90217
90483,,,,,90483
90486,23;-19;4,21;1;7,19;-3;9,17;-12;0,90486
90746,,,,,90746
90755,31;-5;-4,22;5;1,25;-2;-4,25;-7;9,90755
91022,,,,,91022
91024,23;0;-4,18;-6;3,22;0;10,29;3;7,91024
91283,,,,,91283
91286,29;-15;17,22;-12;16,31;-27;-10,21;0;15,91286
91556,,,,,91556
91558,19;-17;-5,26;-9;8,28;6;2,24;-10;10,91558
91823,,,,,91823
91825,29;-16;0,25;-11;6,31;19;7,24;0;0,91825
92085,,,,,92085
92124,23;0;1,18;-6;6,34;-13;4,25;-6;6,92124
92386,,,,,92386
92388,26;-2;0,19;0;9,16;-2;-1,22;-3;12,92388
92648,,,,,92648
92650,17;-4;6,21;1;8,26;-1;8,21;4;10,92650
92916,,,,,92916
92918,21;2;10,31;-4;6,25;3;-3,25;-1;2,92918
93187,,,,,93187
93189,22;0;14,25;0;7,19;0;5,27;0;-3,93189
93449,,,,,93449
93457,27;1;0,27;0;-4,24;-1;8,26;-5;5,93457
93723,,,,,93723
93725,29;-7;-1,30;-6;11,30;-8;9,29;-8;5,93725
93986,,,,,93986
93988,24;-5;9,29;-2;5,27;-5;7,30;-3;6,93988
94249,,,,,94249
94252,31;-8;7,29;-8;11,29;-3;-6,25;-6;-2,94252
94513,,,,,94513
94515,32;-5;9,31;1;7,34;-14;7,32;-11;9,94515
94776,,,,,94776
94783,33;-16;10,30;-12;11,31;-6;14,31;-14;7,94783
95056,,,,,95056
95058,30;-15;13,32;-9;10,26;-12;9,29;-8;3,95058
95326,,,,,95326
95328,31;-9;5,28;-7;6,28;-9;13,31;-6;4,95328
95596,,,,,95596
95598,25;-7;8,26;-7;9,29;-10;5,33;-6;3,95598
95863,,,,,95863
95865,28;-5;8,31;-8;2,30;-8;6,33;-9;9,95865
96126,,,,,96126
96135,35;-9;9,31;-13;9,34;-6;4,35;-11;12,96135
96402,,,,,96402
96405,32;-9;3,29;-9;8,30;-5;9,27;-7;4,96405
96664,,,,,96664
96666,28;-7;5,26;-4;3,25;-5;4,27;-7;5,96666
96934,,,,,96934
96936,25;-6;5,26;-7;5,24;-11;6,28;-7;0,96936
97204,,,,,97204
97206,27;-8;2,23;-11;2,28;-10;4,23;-9;6,97206
97465,,,,,97465
97473,27;-12;4,30;-13;6,28;-8;7,29;-7;0,97473
97734,,,,,97734
97736,28;-8;3,27;-7;7,27;-16;4,28;-9;4,97736
97997,,,,,97997
97999,27;-7;6,30;-11;4,30;-12;8,30;-10;7,97999
98267,,,,,98267
98269,29;-11;5,31;-7;7,31;-11;6,31;-9;1,98269
98528,,,,,98528
98531,30;-10;7,34;-9;7,31;-8;11,28;-11;7,98531
98793,,,,,98793
98801,26;-12;1,27;-11;6,26;-9;2,26;-8;4,98801
99066,,,,,99066
99068,28;-8;8,28;-10;5,27;-11;7,26;-9;6,99068
99330,,,,,99330
99332,28;-10;9,28;-8;8,28;-9;7,27;-11;7,99332
99598,,,,,99598
99601,26;-8;6,26;-8;4,24;-8;7,22;-10;4,99601
99867,,,,,99867
99869,20;-10;0,16;-9;1,17;-8;2,17;-9;4,99869
100132,,,,,100132
100141,18;-10;3,17;-12;5,17;-10;6,15;-9;2,100141
100405,,,,,100405
100408,16;-9;5,12;-9;5,14;-10;3,16;-10;4,100408
100668,,,,,100668
100671,10;-7;-1,11;-10;1,12;-8;0,14;-10;1,100671
100932,,,,,100932
100934,13;-11;2,11;-8;-2,11;-9;-2,11;-9;1,100934
101193,,,,,101193
101195,13;-9;3,13;-9;2,11;-10;2,12;-9;0,101195
101462,,,,,101462
101465,11;-9;4,14;-9;4,13;-10;5,13;-9;4,101465
101732,,,,,101732
101735,11;-9;1,12;-8;1,12;-7;0,13;-8;-1,101735
101994,,,,,101994
102001,12;-10;4,14;-8;4,12;-9;4,14;-9;4,102001
102273,,,,,102273
102275,12;-10;0,13;-10;0,12;-8;0,12;-9;0,102275
102545,,,,,102545
102547,13;-10;2,14;-10;0,13;-10;2,12;-11;1,102547
102821,,,,,102821
102823,14;-10;5,12;-8;3,13;-9;4,12;-10;4,102823
103084,,,,,103084
103086,11;-10;2,12;-9;4,13;-9;5,15;-9;3,103086
103351,,,,,103351
103353,12;-10;0,13;-9;0,11;-9;0,12;-8;1,103353
103621,,,,,103621
103623,13;-10;2,12;-10;0,13;-9;-1,10;-8;1,103623
103884,,,,,103884
103892,13;-11;3,13;-9;2,12;-10;3,13;-11;2,103892
104159,,,,,104159
104162,12;-9;2,15;-9;3,15;-10;3,12;-10;1,104162
104422,,,,,104422
104424,14;-10;3,13;-10;5,14;-9;3,14;-10;4,104424
104684,,,,,104684
104686,12;-9;3,14;-10;4,13;-11;4,13;-10;3,104686
104947,,,,,104947
104949,13;-7;0,13;-9;3,14;-9;4,13;-8;3,104949
105219,,,,,105219
105221,12;-9;0,11;-10;0,11;-8;1,16;-8;3,105221
105485,,,,,105485
105487,13;-10;0,12;-8;-1,12;-9;3,12;-9;2,105487
105748,,,,,105748
105755,12;-9;1,12;-10;0,14;-9;-1,12;-8;-1,105755
106023,,,,,106023
106025,12;-8;3,13;-9;2,13;-11;0,11;-8;-1,106025
106286,,,,,106286
106289,13;-10;3,13;-10;1,13;-10;2,12;-11;1,106289
106561,,,,,106561
106563,11;-11;7,15;-12;5,13;-10;1,13;-9;1,106563
106824,,,,,106824
106826,14;-9;3,14;-10;3,12;-9;3,13;-11;1,106826
107091,,,,,107091
107094,11;-9;4,15;-9;5,14;-9;5,13;-9;2,107094
107362,,,,,107362
107364,12;-8;3,14;-8;3,12;-9;4,13;-9;4,107364
107625,,,,,107625
107633,12;-10;0,13;-9;2,12;-9;4,14;-9;4,107633
107904,,,,,107904
107907,9;-9;0,16;-9;-4,13;-6;1,12;-6;1,107907
108174,,,,,108174
108177,11;-9;2,14;-9;2,12;-8;2,13;-11;0,108177
108447,,,,,108447
108449,14;-9;3,13;-9;4,13;-10;4,12;-9;3,108449
108716,,,,,108716
108719,13;-8;5,12;-9;2,13;-9;2,14;-9;3,108719
108991,,,,,108991
108993,12;-9;0,13;-10;3,13;-11;2,14;-10;2,108993
109256,,,,,109256
109258,13;-9;0,13;-9;0,13;-8;1,13;-10;0,109258
109529,,,,,109529
109532,13;-10;1,12;-10;1,12;-9;1,11;-10;0,109532
109804,,,,,109804
109806,14;-9;4,13;-10;2,12;-9;-1,13;-12;0,109806
110083,,,,,110083
110086,13;-8;1,13;-9;3,13;-9;3,13;-8;3,110086
110349,,,,,110349
110352,13;-9;0,12;-8;1,12;-10;4,12;-8;3,110352
110623,,,,,110623
110646,12;-9;1,14;-9;3,13;-8;3,14;-10;3,110646
110914,,,,,110914
110916,11;-7;0,12;-9;3,12;-8;2,13;-10;3,110916
111186,,,,,111186
111196,13;-9;2,14;-10;0,13;-9;0,11;-9;2,111196
111463,,,,,111463
111465,13;-9;3,11;-9;1,12;-11;0,12;-9;0,111465
111733,,,,,111733
111736,13;-9;3,11;-9;4,13;-9;5,12;-9;3,111736
112007,,,,,112007
112010,12;-10;4,13;-8;3,13;-10;4,13;-9;3,112010
112281,,,,,112281
112284,12;-10;0,13;-10;4,13;-8;0,12;-8;4,112284
112557,,,,,112557
112560,12;-10;1,13;-10;0,13;-10;1,13;-9;0,112560
112833,,,,,112833
112835,13;-9;2,14;-11;4,12;-9;0,11;-9;2,112835
113106,,,,,113106
113110,13;-10;3,14;-10;4,12;-9;3,13;-10;3,113110
113383,,,,,113383
113385,11;-10;2,13;-9;4,12;-9;4,13;-11;3,113385
113662,,,,,113662
113666,13;-11;0,13;-10;0,12;-8;0,12;-8;0,113666
113934,,,,,113934
113936,11;-10;1,14;-9;3,10;-9;2,14;-9;-1,113936
114206,,,,,114206
114214,14;-10;3,14;-9;1,13;-9;5,13;-8;3,114214
114484,,,,,114484
114487,13;-8;4,12;-9;3,13;-10;3,12;-8;3,114487
114758,,,,,114758
114767,11;-10;2,12;-11;0,12;-9;1,13;-9;0,114767
115034,,,,,115034
115037,13;-10;1,14;-10;0,13;-10;0,11;-9;3,115037
115298,,,,,115298
115305,13;-9;2,12;-10;2,13;-9;-1,13;-10;0,115305
115572,,,,,115572
115575,14;-9;3,14;-8;3,12;-9;3,13;-9;2,115575
115848,,,,,115848
115850,14;-8;3,14;-9;2,14;-8;2,14;-9;3,115850
116122,,,,,116122
116125,12;-9;0,14;-9;3,13;-9;4,12;-10;2,116125
116385,,,,,116385
116388,13;-8;3,14;-8;2,14;-10;3,12;-10;2,116388
116647,,,,,116647
116651,14;-8;4,14;-11;2,11;-10;2,11;-10;0,116651
116911,,,,,116911
116914,13;-8;3,12;-9;1,13;-9;2,12;-10;2,116914
117180,,,,,117180
117182,14;-10;2,13;-9;3,12;-9;1,13;-11;1,117182
117448,,,,,117448
117451,14;-10;3,10;-9;3,7;-10;3,7;-6;-2,117451
117718,,,,,117718
117721,6;-9;1,5;-9;2,9;-11;2,6;-10;1,117721
117987,,,,,117987
117989,7;-9;2,8;-9;1,9;-11;2,5;-8;0,117989
118263,,,,,118263
118272,7;-9;3,6;-9;3,4;-9;2,3;-8;0,118272
118538,,,,,118538
118541,2;-10;-2,3;-10;0,1;-9;0,6;-10;1,118541
118814,,,,,118814
118821,3;-12;0,2;-12;0,4;-9;-4,-1;-9;0,118821
119088,,,,,119088
119091,0;-9;-1,0;-9;0,-2;-9;-2,-3;-11;-2,119091
119356,,,,,119356
119359,-3;-7;0,-5;-6;-4,-3;-11;-2,-4;-12;0,119359
119635,,,,,119635
119639,-7;-10;0,-2;-8;-3,-4;-9;-4,-1;-8;0,119639
119904,,,,,119904
119907,-2;-4;-1,0;-7;-3,-1;-13;1,-2;-2;0,119907
120177,,,,,120177
120179,-4;-9;-5,1;-7;0,-1;-8;-3,0;-3;0,120179
120445,,,,,120445
120449,-2;-4;0,1;-8;0,-3;-9;1,0;-9;-1,120449
120722,,,,,120722
120725,4;-8;0,1;-9;-2,7;-12;-12,5;-7;6,120725
120991,,,,,120991
120993,10;3;4,10;0;7,12;0;6,13;-3;4,120993
121270,,,,,121270
121273,14;-11;0,13;-3;-5,15;-3;0,16;-2;5,121273
121543,,,,,121543
121545,12;-7;-5,15;-11;-2,14;-3;0,9;0;8,121545
121817,,,,,121817
121820,10;4;8,10;0;14,13;-5;6,16;-3;0,121820
122085,,,,,122085
122088,9;-5;4,10;-2;-3,13;-6;-2,11;0;0,122088
122360,,,,,122360
122369,8;6;3,9;4;4,13;3;4,12;4;4,122369
122629,,,,,122629
122632,12;4;5,13;3;4,13;7;6,12;10;6,122632
122895,,,,,122895
122903,13;11;-4,14;8;-2,14;12;6,13;16;6,122903
123168,,,,,123168
123170,11;23;5,16;22;-3,17;16;0,18;20;10,123170
123444,,,,,123444
123451,16;30;12,24;31;-11,14;20;1,18;28;5,123451
123723,,,,,123723
123726,18;28;-1,18;20;3,21;24;8,18;19;5,123726
124000,,,,,124000
124003,18;20;0,19;22;2,22;26;15,17;23;8,124003
124282,,,,,124282
124285,15;22;2,19;18;0,20;14;8,16;22;4,124285
124550,,,,,124550
124553,17;30;-2,12;23;2,24;2;4,13;0;2,124553
124833,,,,,124833
124836,10;24;-2,9;35;4,-2;48;16,16;23;-11,124836
125107,,,,,125107
125110,7;8;0,9;16;-2,9;13;5,9;12;0,125110
125382,,,,,125382
125385,9;16;1,7;10;0,2;-3;-1,2;11;11,125385
125655,,,,,125655
125658,4;9;1,5;3;-4,9;-1;-1,8;-4;0,125658
125924,,,,,125924
125927,0;-1;2,3;-1;1,1;-1;1,4;-6;5,125927
126189,,,,,126189
126192,2;-1;0,4;-6;2,2;-9;2,6;-8;0,126192
126457,,,,,126457
126467,7;-9;2,5;-7;2,1;-6;1,2;-6;-1,126467
126734,,,,,126734
126736,2;-2;1,3;-2;-2,1;-2;2,2;-4;0,126736
127004,,,,,127004
127012,2;-7;3,2;-4;0,0;-5;-1,3;-5;-4,127012
127285,,,,,127285
127288,1;-1;0,2;-4;-1,-3;-2;0,-1;-4;0,127288
127559,,,,,127559
127561,-1;-2;-6,-2;-3;2,-2;-1;0,5;-4;-3,127561
127835,,,,,127835
127837,0;0;-2,4;-5;-4,0;-3;3,3;-1;-3,127837
128109,,,,,128109
128112,-3;0;0,1;-3;-1,-1;-6;-3,0;-1;0,128112
128378,,,,,128378
128381,0;-4;0,-1;-2;2,2;-2;-1,-3;-2;-2,128381
128649,,,,,128649
128652,-2;-2;0,1;-3;2,3;3;-2,0;0;-2,128652
128997,,,,,128997
129000,0;-3;-3,1;0;-1,0;5;-3,-1;0;1,129000
129268,,,,,129268
129270,-2;-1;2,-1;-4;3,0;-5;-1,5;-2;-3,129270
129549,,,,,129549
129552,4;-4;3,3;-6;4,7;-5;5,5;-6;5,129552
129823,,,,,129823
129826,5;-1;3,5;-1;-3,7;-2;3,7;-5;1,129826
130097,,,,,130097
130105,1;-5;-2,4;-4;0,-1;-3;1,2;1;1,130105
130369,,,,,130369
130371,0;-6;-3,3;-5;1,2;-8;0,0;-7;0,130371
130644,,,,,130644
130652,1;-1;-3,2;-3;2,-2;2;0,-1;-3;-5,130652
130924,,,,,130924
130927,0;-2;-6,0;-6;-4,0;1;-3,-1;3;0,130927
131201,,,,,131201
131237,-1;-2;3,1;-3;2,3;0;-2,0;-3;4,131237
131501,,,,,131501
131504,0;-6;0,-2;-2;0,0;-3;-2,-3;0;7,131504
131769,,,,,131769
131772,3;0;-4,5;0;1,-3;1;1,6;-3;0,131772
132055,,,,,132055
132058,-1;-4;3,-1;-6;7,0;-7;0,1;-7;6,132058
132324,,,,,132324
132327,14;-7;-9,4;-6;-8,-2;2;-1,4;-4;0,132327
132596,,,,,132596
132599,3;-6;-6,2;0;-9,5;-2;0,2;-3;1,132599
132865,,,,,132865
132868,10;-10;2,3;-4;5,2;0;7,3;-6;1,132868
133139,,,,,133139
133142,8;-4;5,3;-1;3,3;7;0,3;-1;3,133142
133414,,,,,133414
133417,6;-5;1,-1;1;3,3;0;2,3;-7;0,133417
133698,,,,,133698
133701,0;0;3,-2;-4;0,-2;0;3,2;0;-1,133701
133965,,,,,133965
133968,1;-3;-4,6;-10;-4,4;-1;-7,-1;-4;4,133968
134241,,,,,134241
134249,2;-11;1,-1;-6;3,-3;-3;2,-2;0;0,134249
134525,,,,,134525
