,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
78,0;0;-1,0;0;-2,0;0;0,-2;0;0,29686,21,2021-11-17
79,,,,,29957,21,2021-11-17
80,0;0;2,0;0;0,-1;1;-3,0;1;-2,29960,21,2021-11-17
81,,,,,30225,21,2021-11-17
82,0;0;3,0;0;-3,0;0;0,-1;1;-1,30228,21,2021-11-17
83,,,,,30494,21,2021-11-17
84,-1;0;1,1;0;0,0;0;-1,0;0;-4,30497,21,2021-11-17
85,,,,,30765,21,2021-11-17
86,0;0;2,1;0;3,-1;0;2,0;0;-2,30767,21,2021-11-17
87,,,,,31038,21,2021-11-17
88,-1;0;0,1;0;0,0;0;0,2;0;1,31045,21,2021-11-17
89,,,,,31314,21,2021-11-17
90,-1;0;-2,0;1;-1,-1;1;0,1;0;0,31318,21,2021-11-17
91,,,,,31590,21,2021-11-17
92,0;0;1,0;0;0,0;0;2,-1;0;-4,31593,21,2021-11-17
93,,,,,31864,21,2021-11-17
94,0;-1;2,0;0;0,1;0;-1,0;0;-2,31867,21,2021-11-17
95,,,,,32128,21,2021-11-17
96,1;0;3,1;-1;0,0;0;-2,0;0;0,32130,21,2021-11-17
97,,,,,32409,21,2021-11-17
98,-1;0;0,0;0;-1,-1;0;0,0;0;0,32411,21,2021-11-17
99,,,,,32691,21,2021-11-17
100,0;0;1,0;-1;-2,-1;1;-2,0;0;-3,32693,21,2021-11-17
101,,,,,32960,21,2021-11-17
102,1;0;1,0;0;1,2;0;1,0;0;2,32969,21,2021-11-17
103,,,,,33240,21,2021-11-17
104,-1;0;0,0;0;0,1;0;1,0;-1;2,33242,21,2021-11-17
105,,,,,33505,21,2021-11-17
106,0;1;0,0;1;-1,-2;0;0,1;0;1,33507,21,2021-11-17
107,,,,,33779,21,2021-11-17
108,0;-1;-3,0;0;-4,0;0;-2,-2;0;0,33782,21,2021-11-17
109,,,,,34055,21,2021-11-17
110,0;0;3,0;0;-3,-1;1;0,0;0;-1,34057,21,2021-11-17
111,,,,,34317,21,2021-11-17
112,1;-1;3,0;-2;-3,0;0;-3,0;1;-1,34326,21,2021-11-17
113,,,,,34592,21,2021-11-17
114,1;-2;0,0;0;-1,0;1;-2,-1;1;-4,34595,21,2021-11-17
115,,,,,34855,21,2021-11-17
116,0;0;2,0;0;1,0;1;1,1;0;0,34863,21,2021-11-17
117,,,,,35130,21,2021-11-17
118,1;0;1,0;0;2,1;0;0,1;0;-1,35133,21,2021-11-17
119,,,,,35393,21,2021-11-17
120,0;0;2,0;0;0,1;0;2,0;-1;0,35396,21,2021-11-17
121,,,,,35665,21,2021-11-17
122,0;0;0,1;0;0,-1;-4;0,0;6;5,35667,21,2021-11-17
123,,,,,35932,21,2021-11-17
124,2;-1;0,-4;1;6,-1;1;4,0;0;0,35934,21,2021-11-17
125,,,,,36194,21,2021-11-17
126,0;0;0,0;0;0,1;0;0,2;0;0,36201,21,2021-11-17
127,,,,,36469,21,2021-11-17
128,0;0;0,0;0;0,0;0;0,1;0;0,36472,21,2021-11-17
129,,,,,36741,21,2021-11-17
130,0;0;-1,-1;1;0,0;0;-2,0;0;0,36743,21,2021-11-17
131,,,,,37015,21,2021-11-17
132,4;-18;-24,-8;7;0,-1;0;-2,-2;0;-2,37018,21,2021-11-17
133,,,,,37291,21,2021-11-17
134,1;0;2,0;1;2,0;0;2,0;0;0,37293,21,2021-11-17
135,,,,,37563,21,2021-11-17
136,1;0;0,0;0;1,0;0;2,0;0;1,37565,21,2021-11-17
137,,,,,37826,21,2021-11-17
138,1;-1;1,1;1;3,0;-1;0,0;-1;0,37829,21,2021-11-17
139,,,,,38095,21,2021-11-17
140,-1;1;0,1;0;0,0;0;2,1;0;1,38104,21,2021-11-17
141,,,,,38371,21,2021-11-17
142,-1;1;-1,0;0;0,1;0;0,0;0;2,38374,21,2021-11-17
143,,,,,38636,21,2021-11-17
144,-1;0;0,2;2;0,1;0;2,2;0;1,38639,21,2021-11-17
145,,,,,38909,21,2021-11-17
146,-1;0;-1,33;-22;-17,-4;0;-1,-2;3;-1,38912,21,2021-11-17
147,,,,,39188,21,2021-11-17
148,1;1;3,0;0;2,0;2;0,0;-1;-1,39191,21,2021-11-17
149,,,,,39459,21,2021-11-17
150,0;0;0,0;0;0,0;0;0,2;0;0,39468,21,2021-11-17
151,,,,,39735,21,2021-11-17
152,0;0;0,0;1;1,1;0;1,0;0;4,39738,21,2021-11-17
153,,,,,39997,21,2021-11-17
154,0;2;-2,1;-1;0,0;1;0,0;0;0,40000,21,2021-11-17
155,,,,,40273,21,2021-11-17
156,0;0;-3,0;0;-2,0;0;2,1;0;0,40275,21,2021-11-17
157,,,,,40536,21,2021-11-17
158,0;0;-1,1;0;-1,0;0;3,2;0;0,40539,21,2021-11-17
159,,,,,40804,21,2021-11-17
160,0;1;-3,0;1;0,0;-1;1,0;-1;0,40807,21,2021-11-17
161,,,,,41074,21,2021-11-17
162,0;0;0,0;-1;-2,-1;0;0,-1;1;1,41076,21,2021-11-17
163,,,,,41346,21,2021-11-17
164,0;0;2,0;0;1,-1;0;0,-1;-1;0,41353,21,2021-11-17
165,,,,,41618,21,2021-11-17
166,0;-1;1,0;0;4,0;1;2,0;-1;-2,41621,21,2021-11-17
167,,,,,41894,21,2021-11-17
168,0;0;0,0;0;0,0;1;0,0;-2;0,41896,21,2021-11-17
169,,,,,42169,21,2021-11-17
170,0;0;-3,0;0;-1,-2;1;-2,0;0;0,42172,21,2021-11-17
171,,,,,42438,21,2021-11-17
172,0;0;-3,-1;1;-2,-1;1;-2,-1;0;0,42440,21,2021-11-17
173,,,,,42711,21,2021-11-17
174,0;1;0,1;0;4,0;-1;-2,0;0;-3,42714,21,2021-11-17
175,,,,,42982,21,2021-11-17
176,1;0;2,0;0;0,0;0;-2,0;0;0,42985,21,2021-11-17
177,,,,,43251,21,2021-11-17
178,0;-1;0,2;0;2,1;0;0,1;0;1,43259,21,2021-11-17
179,,,,,43526,21,2021-11-17
180,0;0;-1,1;0;2,0;0;2,0;1;0,43529,21,2021-11-17
181,,,,,43789,21,2021-11-17
182,1;-1;0,1;-1;1,2;0;2,0;-1;0,43792,21,2021-11-17
183,,,,,44070,21,2021-11-17
184,0;-1;-1,0;0;-1,-1;0;0,0;0;0,44073,21,2021-11-17
185,,,,,44340,21,2021-11-17
186,0;-2;-1,-1;0;-1,-1;0;-1,-1;2;-2,44343,21,2021-11-17
187,,,,,44615,21,2021-11-17
188,1;0;2,0;0;2,1;-1;1,0;0;2,44623,21,2021-11-17
189,,,,,44890,21,2021-11-17
190,1;-1;0,1;0;3,0;1;4,0;0;0,44893,21,2021-11-17
191,,,,,45153,21,2021-11-17
192,1;0;1,0;0;0,1;0;2,0;0;2,45156,21,2021-11-17
193,,,,,45424,21,2021-11-17
194,0;-1;1,0;0;0,0;0;2,0;0;2,45426,21,2021-11-17
195,,,,,45690,21,2021-11-17
196,-1;0;0,0;0;1,1;0;1,0;0;0,45693,21,2021-11-17
197,,,,,45960,21,2021-11-17
198,0;1;0,0;0;0,0;0;0,1;0;1,45963,21,2021-11-17
199,,,,,46229,21,2021-11-17
200,-1;0;1,0;0;0,0;0;-1,1;0;0,46231,21,2021-11-17
201,,,,,46499,21,2021-11-17
202,0;-1;-1,-1;1;-2,0;0;0,0;0;0,46507,21,2021-11-17
203,,,,,46767,21,2021-11-17
204,0;-1;-3,-1;1;0,0;0;0,1;0;1,46770,21,2021-11-17
205,,,,,47030,21,2021-11-17
206,0;0;-2,-1;0;-1,0;1;-2,1;0;-3,47033,21,2021-11-17
207,,,,,47305,21,2021-11-17
208,1;-1;-1,0;1;-3,0;0;-2,0;0;-1,47307,21,2021-11-17
209,,,,,47567,21,2021-11-17
210,0;0;-1,0;-2;-1,0;2;-1,0;0;-1,47570,21,2021-11-17
211,,,,,47842,21,2021-11-17
212,0;0;0,0;-2;-2,0;0;-2,-1;1;-1,47844,21,2021-11-17
213,,,,,48106,21,2021-11-17
214,1;0;0,-1;0;-3,0;1;0,-1;2;0,48109,21,2021-11-17
215,,,,,48369,21,2021-11-17
216,0;0;-2,0;0;0,0;0;0,0;0;-1,48397,21,2021-11-17
217,,,,,48665,21,2021-11-17
218,0;0;0,-1;1;-3,-1;1;-1,0;1;0,48667,21,2021-11-17
219,,,,,48931,21,2021-11-17
220,0;0;0,1;0;0,0;-1;1,-1;0;0,48934,21,2021-11-17
221,,,,,49207,21,2021-11-17
222,0;0;1,2;-1;0,1;0;0,-1;0;3,49210,21,2021-11-17
223,,,,,49487,21,2021-11-17
224,0;2;-1,0;1;-1,0;0;-1,0;0;0,49490,21,2021-11-17
225,,,,,49757,21,2021-11-17
226,1;0;-2,-1;0;-1,0;1;-1,0;1;-1,49765,21,2021-11-17
227,,,,,50034,21,2021-11-17
228,1;0;1,0;-1;0,1;0;0,-1;0;-1,50036,21,2021-11-17
229,,,,,50305,21,2021-11-17
230,0;0;0,0;1;-2,1;-2;1,1;0;2,50312,21,2021-11-17
231,,,,,50590,21,2021-11-17
232,0;-1;-1,-1;1;-2,-1;1;-1,0;0;-1,50592,21,2021-11-17
233,,,,,50859,21,2021-11-17
234,0;-1;-1,0;0;-1,-1;0;-2,0;0;0,50862,21,2021-11-17
235,,,,,51140,21,2021-11-17
236,1;0;0,2;-1;0,1;-1;1,0;0;0,51142,21,2021-11-17
237,,,,,51424,21,2021-11-17
238,0;-1;-2,-1;0;-1,0;1;-2,0;2;-2,51427,21,2021-11-17
239,,,,,51697,21,2021-11-17
240,1;0;3,0;0;0,0;0;-2,0;1;-3,51704,21,2021-11-17
241,,,,,51973,21,2021-11-17
242,0;0;0,0;0;0,2;0;0,0;1;0,51976,21,2021-11-17
243,,,,,52256,21,2021-11-17
244,0;0;-2,0;0;-2,-1;0;-1,0;0;0,52259,21,2021-11-17
245,,,,,52529,21,2021-11-17
246,0;0;0,0;0;0,0;0;-1,0;0;-2,52532,21,2021-11-17
247,,,,,52798,21,2021-11-17
248,0;0;1,0;0;1,0;0;0,0;0;2,52800,21,2021-11-17
249,,,,,53080,21,2021-11-17
250,0;0;0,1;0;0,0;0;1,0;0;2,53083,21,2021-11-17
251,,,,,53357,21,2021-11-17
252,0;0;-1,-1;2;0,0;0;0,0;-1;0,53359,21,2021-11-17
253,,,,,53623,21,2021-11-17
254,0;0;-1,1;0;-2,0;0;-4,-1;1;0,53633,21,2021-11-17
255,,,,,53899,21,2021-11-17
256,0;0;1,0;0;-2,-1;0;-1,-1;0;0,53901,21,2021-11-17
257,,,,,54164,21,2021-11-17
258,-1;-1;1,0;0;4,0;0;-1,0;0;-1,54166,21,2021-11-17
259,,,,,54436,21,2021-11-17
260,2;0;2,2;-1;2,1;-1;0,0;0;-1,54439,21,2021-11-17
261,,,,,54700,21,2021-11-17
262,1;1;0,0;0;-1,0;0;-3,-1;0;-1,54703,21,2021-11-17
263,,,,,54969,21,2021-11-17
264,0;0;3,0;0;1,0;-1;0,0;0;-2,54972,21,2021-11-17
265,,,,,55237,21,2021-11-17
266,0;0;2,1;0;2,0;0;0,0;0;1,55240,21,2021-11-17
267,,,,,55513,21,2021-11-17
268,2;0;-1,0;0;1,1;0;2,0;0;0,55520,21,2021-11-17
269,,,,,55788,21,2021-11-17
270,0;0;0,0;-1;-1,0;0;0,1;0;1,55790,21,2021-11-17
271,,,,,56059,21,2021-11-17
272,0;0;-1,0;0;-1,0;0;0,-2;0;-1,56062,21,2021-11-17
273,,,,,56336,21,2021-11-17
274,0;0;2,-1;-1;1,0;0;-1,0;0;-2,56338,21,2021-11-17
275,,,,,56604,21,2021-11-17
276,0;0;0,0;0;1,0;0;3,1;0;-1,56607,21,2021-11-17
277,,,,,56881,21,2021-11-17
278,0;0;0,0;0;1,0;0;1,0;0;2,56884,21,2021-11-17
279,,,,,57152,21,2021-11-17
280,0;2;-2,0;0;0,0;-1;0,1;-2;0,57155,21,2021-11-17
281,,,,,57421,21,2021-11-17
282,0;0;-1,1;0;-1,2;-1;-2,-1;1;-2,57431,21,2021-11-17
283,,,,,57697,21,2021-11-17
284,0;1;1,0;-1;-3,-1;0;-1,0;0;-1,57699,21,2021-11-17
285,,,,,57960,21,2021-11-17
286,0;0;-1,0;0;-4,0;-1;-3,-2;0;-2,57962,21,2021-11-17
287,,,,,58228,21,2021-11-17
288,0;-2;1,0;0;0,0;-1;-1,0;-1;-1,58231,21,2021-11-17
289,,,,,58498,21,2021-11-17
290,0;1;3,0;0;2,-1;0;0,1;0;-2,58500,21,2021-11-17
291,,,,,58767,21,2021-11-17
292,0;0;1,0;0;1,0;-1;0,0;-1;-2,58775,21,2021-11-17
293,,,,,59037,21,2021-11-17
294,0;0;2,0;0;0,0;0;0,0;0;0,59040,21,2021-11-17
295,,,,,59314,21,2021-11-17
296,0;0;1,1;0;-3,-1;0;0,0;1;0,59316,21,2021-11-17
297,,,,,59592,21,2021-11-17
298,0;0;0,0;0;-1,-1;0;0,-2;0;0,59595,21,2021-11-17
299,,,,,59866,21,2021-11-17
300,1;-1;2,0;0;4,0;-1;-2,0;0;-1,59868,21,2021-11-17
301,,,,,60136,21,2021-11-17
302,1;0;2,1;0;1,0;0;1,0;0;1,60139,21,2021-11-17
303,,,,,60405,21,2021-11-17
304,0;0;0,0;0;2,0;0;1,0;0;-2,60408,21,2021-11-17
305,,,,,60668,21,2021-11-17
306,0;-2;0,0;1;3,0;0;0,0;0;2,60676,21,2021-11-17
307,,,,,60943,21,2021-11-17
308,1;0;0,1;0;1,1;0;0,0;0;2,60946,21,2021-11-17
309,,,,,61214,21,2021-11-17
310,-2;0;0,0;1;0,0;0;3,0;0;-1,61217,21,2021-11-17
311,,,,,61539,21,2021-11-17
312,0;-1;0,0;0;0,1;1;3,2;0;2,61542,21,2021-11-17
313,,,,,61816,21,2021-11-17
314,-2;0;0,-1;0;-1,1;0;0,0;0;0,61819,21,2021-11-17
315,,,,,62091,21,2021-11-17
316,0;0;0,0;-1;-3,-2;0;0,0;-1;1,62094,21,2021-11-17
317,,,,,62357,21,2021-11-17
318,0;0;-2,0;0;-2,-1;0;-1,-1;0;-1,62360,21,2021-11-17
319,,,,,62640,21,2021-11-17
320,1;-1;1,0;0;1,0;0;2,1;0;0,62648,21,2021-11-17
321,,,,,62908,21,2021-11-17
322,0;0;0,1;0;2,0;0;1,1;0;2,62911,21,2021-11-17
323,,,,,63177,21,2021-11-17
324,0;0;0,2;0;1,2;0;2,0;0;3,63180,21,2021-11-17
325,,,,,63454,21,2021-11-17
326,0;1;0,0;0;-1,0;0;-1,0;1;0,63456,21,2021-11-17
327,,,,,63723,21,2021-11-17
328,0;0;-1,-2;0;-3,-1;0;0,-2;2;-1,63726,21,2021-11-17
329,,,,,63996,21,2021-11-17
330,1;0;2,2;1;3,0;0;0,0;0;0,64005,21,2021-11-17
331,,,,,64272,21,2021-11-17
332,0;0;1,2;0;3,0;0;3,0;0;0,64275,21,2021-11-17
333,,,,,64543,21,2021-11-17
334,0;0;0,0;1;1,1;1;0,0;0;2,64546,21,2021-11-17
335,,,,,64818,21,2021-11-17
336,-1;1;-1,0;0;0,0;-1;2,0;0;1,64820,21,2021-11-17
337,,,,,65093,21,2021-11-17
338,0;-1;-2,0;-1;-3,0;0;-1,0;0;-2,65096,21,2021-11-17
339,,,,,65370,21,2021-11-17
340,1;0;3,1;0;2,1;0;0,0;-1;0,65372,21,2021-11-17
341,,,,,65636,21,2021-11-17
342,1;0;1,0;0;1,1;0;3,0;0;2,65639,21,2021-11-17
343,,,,,65913,21,2021-11-17
344,0;0;-1,0;0;-3,-2;0;-1,-1;2;0,65921,21,2021-11-17
345,,,,,66194,21,2021-11-17
346,0;0;2,0;-1;-1,0;0;-2,0;0;-1,66197,21,2021-11-17
347,,,,,66464,21,2021-11-17
348,0;0;2,0;0;3,1;0;2,0;-1;2,66466,21,2021-11-17
349,,,,,66738,21,2021-11-17
350,0;0;0,0;0;0,0;0;1,0;-1;2,66740,21,2021-11-17
351,,,,,67005,21,2021-11-17
352,1;0;0,0;0;2,0;1;3,0;-3;-1,67008,21,2021-11-17
353,,,,,67273,21,2021-11-17
354,1;0;0,0;0;1,0;0;1,0;0;3,67276,21,2021-11-17
355,,,,,67538,21,2021-11-17
356,0;-1;0,0;1;0,0;0;1,1;-1;1,67540,21,2021-11-17
357,,,,,67813,21,2021-11-17
358,0;-1;-1,0;0;-1,0;0;-3,0;1;0,67822,21,2021-11-17
359,,,,,68088,21,2021-11-17
360,0;-1;-1,0;-1;-2,-1;0;-1,-1;2;-1,68090,21,2021-11-17
361,,,,,68357,21,2021-11-17
362,0;0;-3,1;0;-1,0;-1;-1,0;0;0,68360,21,2021-11-17
363,,,,,68639,21,2021-11-17
364,0;-1;3,2;0;1,1;0;0,0;0;-2,68641,21,2021-11-17
365,,,,,68903,21,2021-11-17
366,0;0;1,2;0;2,0;0;1,0;0;2,68905,21,2021-11-17
367,,,,,69182,21,2021-11-17
368,-1;1;0,0;0;0,0;-1;0,0;0;-1,69184,21,2021-11-17
369,,,,,69452,21,2021-11-17
370,-1;0;-3,0;0;0,-1;0;-1,1;0;1,69454,21,2021-11-17
371,,,,,69723,21,2021-11-17
372,0;0;0,0;-1;-3,0;0;-3,0;-1;-2,69731,21,2021-11-17
373,,,,,70003,21,2021-11-17
374,1;0;2,0;0;2,0;0;1,0;0;-2,70005,21,2021-11-17
375,,,,,70274,21,2021-11-17
376,0;0;0,1;1;3,1;0;2,1;0;3,70277,21,2021-11-17
377,,,,,70547,21,2021-11-17
378,0;1;0,-1;0;0,1;0;1,0;0;0,70550,21,2021-11-17
379,,,,,70816,21,2021-11-17
380,-1;1;-1,0;0;0,1;0;0,0;0;1,70818,21,2021-11-17
381,,,,,71078,21,2021-11-17
382,0;0;-1,0;0;1,0;0;0,0;0;0,71086,21,2021-11-17
383,,,,,71354,21,2021-11-17
384,0;0;-3,0;0;-1,-1;1;0,0;0;-1,71357,21,2021-11-17
385,,,,,71625,21,2021-11-17
386,1;0;0,0;-1;-2,1;-2;-3,0;0;-1,71627,21,2021-11-17
387,,,,,71898,21,2021-11-17
388,2;-1;2,1;0;2,0;0;2,1;-1;-1,71901,21,2021-11-17
389,,,,,72167,21,2021-11-17
390,0;0;0,0;0;2,1;0;2,0;-1;2,72170,21,2021-11-17
391,,,,,72440,21,2021-11-17
392,-1;0;-2,0;0;0,1;0;1,0;1;2,72443,21,2021-11-17
393,,,,,72705,21,2021-11-17
394,0;0;-2,1;0;2,0;0;3,0;0;0,72708,21,2021-11-17
395,,,,,72968,21,2021-11-17
396,0;0;0,1;0;0,0;0;1,0;0;2,72977,21,2021-11-17
397,,,,,73244,21,2021-11-17
398,-1;2;0,0;1;-1,-1;0;-2,0;0;0,73246,21,2021-11-17
399,,,,,73518,21,2021-11-17
400,0;0;0,-1;1;-1,-1;0;-2,-1;0;0,73521,21,2021-11-17
401,,,,,73788,21,2021-11-17
402,0;0;0,0;0;0,0;2;-2,-1;0;-2,73791,21,2021-11-17
403,,,,,74057,21,2021-11-17
404,0;0;3,0;0;1,0;-1;-1,0;-2;1,74059,21,2021-11-17
405,,,,,74339,21,2021-11-17
406,0;0;-2,-1;0;0,0;0;0,0;0;2,74341,21,2021-11-17
407,,,,,74608,21,2021-11-17
408,-1;0;-1,-2;0;0,1;0;0,-1;0;0,74610,21,2021-11-17
409,,,,,74876,21,2021-11-17
410,0;0;-2,0;0;0,0;0;0,0;0;0,74885,21,2021-11-17
411,,,,,75145,21,2021-11-17
412,-2;1;-3,-1;0;0,0;0;-1,0;0;2,75148,21,2021-11-17
413,,,,,75408,21,2021-11-17
414,0;0;-2,0;0;0,0;1;0,0;1;0,75411,21,2021-11-17
415,,,,,75689,21,2021-11-17
416,0;0;3,0;0;1,0;-2;-1,0;-2;-2,75693,21,2021-11-17
417,,,,,75959,21,2021-11-17
418,0;0;3,1;0;2,0;1;0,0;-1;2,75962,21,2021-11-17
419,,,,,76234,21,2021-11-17
420,0;0;0,-2;0;-1,-2;0;-1,1;-1;-1,76241,21,2021-11-17
421,,,,,76515,21,2021-11-17
422,0;0;-3,-1;1;0,0;0;-1,1;-1;1,76518,21,2021-11-17
423,,,,,76780,21,2021-11-17
424,0;-1;-2,0;0;-1,-1;1;0,-1;0;0,76788,21,2021-11-17
425,,,,,77053,21,2021-11-17
426,0;0;3,0;-2;-1,0;0;-1,-2;0;-1,77057,21,2021-11-17
427,,,,,77323,21,2021-11-17
428,0;0;1,0;0;3,0;0;2,0;0;1,77326,21,2021-11-17
429,,,,,77598,21,2021-11-17
430,1;0;1,1;0;2,0;0;3,-1;0;2,77600,21,2021-11-17
431,,,,,77873,21,2021-11-17
432,0;0;0,0;-1;0,1;0;0,0;0;2,77876,21,2021-11-17
433,,,,,78136,21,2021-11-17
434,0;0;0,0;1;0,-1;0;1,0;-1;0,78144,21,2021-11-17
435,,,,,78411,21,2021-11-17
436,0;0;-1,0;0;0,0;1;1,0;0;2,78414,21,2021-11-17
437,,,,,78687,21,2021-11-17
438,0;-1;0,0;0;2,0;-1;-1,0;0;-1,78690,21,2021-11-17
439,,,,,78962,21,2021-11-17
440,0;0;2,0;0;2,0;0;2,0;-1;0,78965,21,2021-11-17
441,,,,,79234,21,2021-11-17
442,1;0;0,1;0;1,0;0;1,0;0;0,79237,21,2021-11-17
443,,,,,79505,21,2021-11-17
444,0;0;1,0;0;-1,0;0;-1,0;0;0,79508,21,2021-11-17
445,,,,,79787,21,2021-11-17
446,-1;0;3,1;0;0,-1;-1;0,0;0;-1,79790,21,2021-11-17
447,,,,,80064,21,2021-11-17
448,0;0;0,1;0;0,0;-1;0,0;-2;-1,80090,21,2021-11-17
449,,,,,80369,21,2021-11-17
450,0;0;-1,1;0;0,1;0;0,0;0;2,80372,21,2021-11-17
451,,,,,80638,21,2021-11-17
452,-1;1;0,0;1;0,0;0;-1,-2;2;0,80642,21,2021-11-17
453,,,,,80920,21,2021-11-17
454,-1;1;1,0;-1;-1,-1;0;-1,-1;1;0,80922,21,2021-11-17
455,,,,,81187,21,2021-11-17
456,0;0;2,-1;0;0,-1;0;-2,-1;0;-1,81190,21,2021-11-17
457,,,,,81456,21,2021-11-17
458,0;0;2,0;0;1,0;0;0,-1;0;0,81459,21,2021-11-17
459,,,,,81727,21,2021-11-17
460,0;1;2,-4;10;0,1;0;0,0;0;0,81729,21,2021-11-17
461,,,,,81995,21,2021-11-17
462,1;0;0,0;0;1,-1;0;2,0;0;0,82004,21,2021-11-17
463,,,,,82265,21,2021-11-17
464,0;0;1,-1;0;2,1;0;0,0;-1;-2,82268,21,2021-11-17
465,,,,,82528,21,2021-11-17
466,0;0;2,-1;1;2,0;0;2,0;0;2,82530,21,2021-11-17
467,,,,,82802,21,2021-11-17
468,0;-1;0,0;0;3,0;0;1,0;1;1,82805,21,2021-11-17
469,,,,,83072,21,2021-11-17
470,0;0;0,0;1;2,0;0;3,0;0;2,83075,21,2021-11-17
471,,,,,83336,21,2021-11-17
472,0;0;-1,-1;1;0,0;1;0,0;0;0,83344,21,2021-11-17
473,,,,,83615,21,2021-11-17
474,0;0;-2,-1;0;1,0;0;1,0;-2;2,83618,21,2021-11-17
475,,,,,83878,21,2021-11-17
