,index,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
70,59719,0;-2;1,0;0;1,1;-1;0,0;0;2,59719,4,2021-10-27
71,59985,,,,,59985,4,2021-10-27
72,59987,0;0;1,0;0;-1,1;-1;0,1;0;0,59987,4,2021-10-27
73,60249,,,,,60249,4,2021-10-27
74,60257,1;-2;0,1;0;0,2;-2;1,0;0;0,60257,4,2021-10-27
75,60524,,,,,60524,4,2021-10-27
76,60527,0;-1;0,1;-2;1,1;-2;1,1;-1;0,60527,4,2021-10-27
77,60786,,,,,60786,4,2021-10-27
78,60788,1;-3;0,1;-2;-1,1;-1;0,1;-1;1,60788,4,2021-10-27
79,61054,,,,,61054,4,2021-10-27
80,61057,0;-1;-1,0;0;0,1;-2;0,0;-2;-1,61057,4,2021-10-27
81,61325,,,,,61325,4,2021-10-27
82,61327,1;-1;0,1;-1;0,0;0;0,0;-1;0,61327,4,2021-10-27
83,61588,,,,,61588,4,2021-10-27
84,61590,1;-1;0,0;0;0,1;-2;0,0;-2;1,61590,4,2021-10-27
85,61862,,,,,61862,4,2021-10-27
86,61864,0;-2;0,0;0;0,0;0;1,0;0;0,61864,4,2021-10-27
87,62126,,,,,62126,4,2021-10-27
88,62128,0;0;1,0;0;1,1;0;0,0;-1;3,62128,4,2021-10-27
89,62389,,,,,62389,4,2021-10-27
90,62395,0;-3;0,0;-1;0,1;-2;0,1;-2;0,62395,4,2021-10-27
91,62663,,,,,62663,4,2021-10-27
92,62665,0;-1;2,2;-1;1,1;-1;0,0;0;2,62665,4,2021-10-27
93,62926,,,,,62926,4,2021-10-27
94,62928,0;-1;0,0;-1;-1,0;-2;-1,0;-1;1,62928,4,2021-10-27
95,63196,,,,,63196,4,2021-10-27
96,63198,0;-1;0,0;0;0,0;-1;0,1;0;1,63198,4,2021-10-27
97,63458,,,,,63458,4,2021-10-27
98,63460,0;0;0,0;-1;0,1;0;-1,0;0;0,63460,4,2021-10-27
99,63724,,,,,63724,4,2021-10-27
100,63726,1;0;0,0;-1;0,0;0;1,0;-1;0,63726,4,2021-10-27
101,64003,,,,,64003,4,2021-10-27
102,64005,0;-1;1,0;0;0,0;0;0,0;-2;1,64005,4,2021-10-27
103,64276,,,,,64276,4,2021-10-27
104,64279,1;-2;0,0;-2;1,1;-1;0,0;0;0,64279,4,2021-10-27
105,64542,,,,,64542,4,2021-10-27
106,64550,0;0;0,0;0;1,0;-2;0,0;-1;0,64550,4,2021-10-27
107,64818,,,,,64818,4,2021-10-27
108,64820,0;0;2,0;-1;0,0;-1;0,1;0;-2,64820,4,2021-10-27
109,65080,,,,,65080,4,2021-10-27
110,65083,1;0;1,1;-2;3,0;0;3,0;-1;1,65083,4,2021-10-27
111,65355,,,,,65355,4,2021-10-27
112,65358,1;-3;-2,-2;1;-3,3;-2;11,0;-2;0,65358,4,2021-10-27
113,65618,,,,,65618,4,2021-10-27
114,65620,0;0;-2,3;-2;0,2;-1;-1,3;0;1,65620,4,2021-10-27
115,65886,,,,,65886,4,2021-10-27
116,65889,-5;0;-2,3;-1;2,-1;0;-8,7;0;28,65889,4,2021-10-27
117,66149,,,,,66149,4,2021-10-27
118,66152,-1;-3;-10,0;0;0,-1;-3;-3,0;0;2,66152,4,2021-10-27
119,66412,,,,,66412,4,2021-10-27
120,66419,0;0;-3,3;-2;10,0;-2;-1,2;-1;1,66419,4,2021-10-27
121,66681,,,,,66681,4,2021-10-27
122,66683,0;-2;-1,0;0;1,-1;0;-4,1;0;0,66683,4,2021-10-27
123,66945,,,,,66945,4,2021-10-27
124,66947,0;0;1,1;0;0,0;-1;-2,0;-1;0,66947,4,2021-10-27
125,67213,,,,,67213,4,2021-10-27
126,67216,4;1;6,0;0;0,0;-1;1,0;-1;0,67216,4,2021-10-27
127,67476,,,,,67476,4,2021-10-27
128,67479,-1;0;-3,1;0;0,1;-1;0,1;-1;0,67479,4,2021-10-27
129,67743,,,,,67743,4,2021-10-27
130,67746,1;-1;1,0;0;2,-4;0;-19,0;-1;-4,67746,4,2021-10-27
131,68008,,,,,68008,4,2021-10-27
132,68011,0;0;-2,1;-2;0,1;0;4,0;0;2,68011,4,2021-10-27
133,68270,,,,,68270,4,2021-10-27
134,68279,0;0;1,0;0;0,1;-1;0,1;0;1,68279,4,2021-10-27
135,68539,,,,,68539,4,2021-10-27
136,68542,0;-1;0,0;-1;-2,2;-2;2,0;0;-1,68542,4,2021-10-27
137,68802,,,,,68802,4,2021-10-27
138,68805,1;0;0,0;-1;2,0;-3;-1,0;-1;-3,68805,4,2021-10-27
139,69065,,,,,69065,4,2021-10-27
140,69067,0;0;1,0;-2;0,1;-2;1,0;-1;5,69067,4,2021-10-27
141,69328,,,,,69328,4,2021-10-27
142,69330,2;0;6,-1;0;5,1;0;11,1;-2;-1,69330,4,2021-10-27
143,69591,,,,,69591,4,2021-10-27
144,69599,1;-1;1,0;-3;-6,1;-2;-1,2;0;1,69599,4,2021-10-27
145,69860,,,,,69860,4,2021-10-27
146,69863,1;0;0,1;-1;0,1;-1;-1,1;0;-7,69863,4,2021-10-27
147,70128,,,,,70128,4,2021-10-27
148,70130,0;0;-4,0;0;3,1;-2;-1,1;-2;3,70130,4,2021-10-27
149,70391,,,,,70391,4,2021-10-27
150,70393,2;0;3,2;0;4,0;-2;-4,0;0;2,70393,4,2021-10-27
151,70653,,,,,70653,4,2021-10-27
152,70657,0;-1;-1,0;0;1,0;-1;-1,0;-1;2,70657,4,2021-10-27
153,70923,,,,,70923,4,2021-10-27
154,70926,0;0;0,0;0;0,0;-4;0,1;-1;1,70926,4,2021-10-27
155,71186,,,,,71186,4,2021-10-27
156,71189,0;0;0,0;-1;0,0;0;1,1;0;0,71189,4,2021-10-27
157,71449,,,,,71449,4,2021-10-27
158,71456,2;-1;0,-1;0;2,2;-1;0,6;13;14,71456,4,2021-10-27
159,71718,,,,,71718,4,2021-10-27
160,71720,9;-3;-4,1;0;0,2;-1;0,0;-1;2,71720,4,2021-10-27
161,71980,,,,,71980,4,2021-10-27
162,71983,0;0;1,0;0;-3,1;-1;0,9;-7;25,71983,4,2021-10-27
163,72249,,,,,72249,4,2021-10-27
164,72252,0;-1;2,4;-2;3,1;0;3,2;0;9,72252,4,2021-10-27
165,72512,,,,,72512,4,2021-10-27
166,72515,-1;3;5,1;0;3,2;-1;5,1;0;5,72515,4,2021-10-27
167,72775,,,,,72775,4,2021-10-27
168,72782,0;-2;-2,0;-2;3,1;-3;1,1;0;0,72782,4,2021-10-27
169,73043,,,,,73043,4,2021-10-27
170,73047,0;0;0,0;-1;1,0;0;-5,-1;3;5,73047,4,2021-10-27
171,73307,,,,,73307,4,2021-10-27
172,73310,1;0;0,1;-3;0,2;-2;2,2;0;3,73310,4,2021-10-27
173,73576,,,,,73576,4,2021-10-27
174,73578,1;1;3,0;-2;-2,0;0;0,1;0;-2,73578,4,2021-10-27
175,73839,,,,,73839,4,2021-10-27
176,73841,1;0;2,1;0;0,19;0;30,3;0;1,73841,4,2021-10-27
177,74105,,,,,74105,4,2021-10-27
178,74108,4;0;0,3;-2;2,3;-2;0,3;0;0,74108,4,2021-10-27
