,acc1,acc2,acc3,acc4,duration
32109,1;0;0,0;-1;0,0;0;0,0;0;0,32109
32374,,,,,32374
32377,0;-1;0,0;0;1,0;1;0,0;0;0,32377
32644,,,,,32644
32647,-1;0;-1,0;0;0,-1;0;-1,1;0;0,32647
32918,,,,,32918
32921,-2;0;-1,-1;0;0,0;0;0,1;0;0,32921
33187,,,,,33187
33190,0;0;1,0;0;0,0;0;1,0;1;0,33190
33455,,,,,33455
33472,0;0;0,0;0;0,0;0;0,0;0;-1,33472
33737,,,,,33737
33740,-1;0;1,0;1;0,0;0;0,-1;0;0,33740
34000,,,,,34000
34009,-1;0;0,0;1;0,0;0;0,-1;0;0,34009
34278,,,,,34278
34280,0;1;1,0;1;1,-1;0;0,0;0;0,34280
34547,,,,,34547
34550,-1;-1;0,0;0;0,0;0;0,0;0;1,34550
34814,,,,,34814
34832,0;0;1,0;0;1,1;0;0,-1;0;0,34832
35102,,,,,35102
35105,0;0;0,0;0;1,0;1;0,0;0;0,35105
35371,,,,,35371
35379,0;0;-1,0;0;0,0;0;1,1;1;2,35379
35640,,,,,35640
35642,0;1;-1,-1;0;2,0;0;0,0;0;0,35642
35902,,,,,35902
35905,0;0;0,0;0;1,0;0;0,0;0;0,35905
36167,,,,,36167
36185,2;0;0,0;0;0,0;0;-2,0;0;0,36185
36454,,,,,36454
36456,0;0;1,-1;-2;-1,0;0;0,0;0;0,36456
36728,,,,,36728
36731,0;0;0,-1;0;-2,0;0;0,0;0;-1,36731
36998,,,,,36998
37001,-1;1;0,0;0;0,0;0;0,0;0;0,37001
37261,,,,,37261
37282,-1;0;0,0;0;0,0;0;1,-1;0;1,37282
37541,,,,,37541
37544,2;0;0,-1;-1;1,0;0;1,0;2;0,37544
37807,,,,,37807
37809,0;0;0,0;0;2,0;0;1,0;0;1,37809
38088,,,,,38088
38091,0;0;1,-1;1;1,0;0;2,0;0;0,38091
38355,,,,,38355
38359,-1;-1;0,-1;0;0,0;-1;0,0;0;0,38359
38629,,,,,38629
38646,0;0;0,1;1;0,1;1;0,1;1;0,38646
38906,,,,,38906
38909,0;0;0,1;0;0,0;1;0,0;0;1,38909
39178,,,,,39178
39186,0;0;0,0;0;0,1;0;0,0;0;1,39186
39456,,,,,39456
39459,0;0;0,0;0;0,0;0;1,0;0;0,39459
39719,,,,,39719
39723,0;0;-1,0;0;0,1;0;0,1;1;0,39723
39994,,,,,39994
40011,-1;0;1,0;1;1,0;0;0,-1;1;0,40011
40283,,,,,40283
40285,0;0;0,0;0;0,0;0;1,0;0;1,40285
40547,,,,,40547
40556,0;0;0,0;0;0,0;0;-1,0;0;2,40556
40820,,,,,40820
40823,0;1;0,-1;0;1,1;-2;0,0;0;0,40823
41096,,,,,41096
41098,0;0;0,0;0;0,0;0;0,0;0;-1,41098
41367,,,,,41367
41384,1;0;1,0;0;0,1;0;0,0;0;0,41384
41647,,,,,41647
41650,0;1;1,0;0;0,0;0;0,0;1;0,41650
41927,,,,,41927
41930,0;0;0,0;0;0,0;1;0,0;0;0,41930
42196,,,,,42196
42200,-1;0;0,-1;0;-2,0;0;0,1;1;0,42200
42460,,,,,42460
42481,0;0;0,-1;0;1,-1;1;1,0;1;0,42481
42754,,,,,42754
42756,0;-1;0,0;0;0,0;0;0,0;0;1,42756
43022,,,,,43022
43025,0;0;0,0;0;2,0;1;1,0;0;1,43025
43291,,,,,43291
43294,-1;0;0,-1;0;0,0;0;0,0;0;0,43294
43560,,,,,43560
43564,-1;0;0,0;0;0,0;0;1,0;-1;1,43564
43836,,,,,43836
43857,0;-1;1,0;-1;0,0;0;2,0;1;1,43857
44123,,,,,44123
44126,2;1;-1,0;0;0,0;0;-2,0;0;0,44126
44387,,,,,44387
44390,0;0;0,1;0;0,0;0;-1,0;0;0,44390
44672,,,,,44672
44674,0;1;1,-1;0;0,0;0;-1,0;0;0,44674
44936,,,,,44936
44939,0;0;1,0;0;0,-1;0;0,0;0;0,44939
45204,,,,,45204
45220,0;0;0,0;0;1,0;0;0,-1;0;2,45220
45487,,,,,45487
45490,0;0;1,-2;1;1,0;0;0,1;1;1,45490
45750,,,,,45750
45759,0;0;0,0;0;0,0;0;1,0;0;2,45759
46021,,,,,46021
46024,0;0;0,1;0;0,0;0;0,1;0;2,46024
46288,,,,,46288
46290,0;0;0,0;0;1,1;0;1,0;0;0,46290
46571,,,,,46571
46588,0;0;0,0;0;1,1;1;0,0;0;0,46588
46851,,,,,46851
46854,0;0;0,0;0;0,0;0;-3,1;0;0,46854
47122,,,,,47122
47131,0;1;0,0;0;-1,0;0;-2,1;0;0,47131
47397,,,,,47397
47399,0;0;1,0;0;1,0;0;0,0;0;0,47399
47666,,,,,47666
47669,0;0;2,-1;0;0,0;0;1,0;0;0,47669
47939,,,,,47939
